,itinerary,ap_los,ond,travel_time,fare,provider,search_date
20852,AF7553-AF7540,22_7,MPLPAR,155.0,136.71,sabre,20180815
20853,AF7543-AF7540,22_7,MPLPAR,160.0,136.71,sabre,20180815
20854,AF7555-AF7540,22_7,MPLPAR,165.0,136.71,sabre,20180815
20855,AF7685-AF7540,22_7,MPLPAR,165.0,136.71,sabre,20180815
20856,AF7557-AF7540,22_7,MPLPAR,155.0,139.71,sabre,20180815
20857,AF7553-AF7548,22_7,MPLPAR,150.0,146.71,sabre,20180815
20858,AF7543-AF7548,22_7,MPLPAR,155.0,146.71,sabre,20180815
20859,AF7553-AF7538,22_7,MPLPAR,155.0,146.71,sabre,20180815
20860,AF7553-AF7550,22_7,MPLPAR,155.0,146.71,sabre,20180815
20861,AF7553-AF7554,22_7,MPLPAR,155.0,146.71,sabre,20180815
20862,AF7555-AF7548,22_7,MPLPAR,160.0,146.71,sabre,20180815
20863,AF7543-AF7538,22_7,MPLPAR,160.0,146.71,sabre,20180815
20864,AF7543-AF7550,22_7,MPLPAR,160.0,146.71,sabre,20180815
20865,AF7543-AF7554,22_7,MPLPAR,160.0,146.71,sabre,20180815
20866,AF7685-AF7548,22_7,MPLPAR,160.0,146.71,sabre,20180815
20867,AF7555-AF7550,22_7,MPLPAR,165.0,146.71,sabre,20180815
20868,AF7555-AF7554,22_7,MPLPAR,165.0,146.71,sabre,20180815
20869,AF7555-AF7538,22_7,MPLPAR,165.0,146.71,sabre,20180815
20870,AF7685-AF7554,22_7,MPLPAR,165.0,146.71,sabre,20180815
20871,AF7685-AF7550,22_7,MPLPAR,165.0,146.71,sabre,20180815
20872,AF7685-AF7538,22_7,MPLPAR,165.0,146.71,sabre,20180815
20873,AF7553-AF7684,22_7,MPLPAR,160.0,147.96,sabre,20180815
20874,AF7543-AF7684,22_7,MPLPAR,165.0,147.96,sabre,20180815
20875,AF7555-AF7684,22_7,MPLPAR,170.0,147.96,sabre,20180815
20876,AF7685-AF7684,22_7,MPLPAR,170.0,147.96,sabre,20180815
20877,AF7557-AF7548,22_7,MPLPAR,150.0,149.71,sabre,20180815
20878,AF7541-AF7540,22_7,MPLPAR,155.0,149.71,sabre,20180815
20879,AF7547-AF7540,22_7,MPLPAR,155.0,149.71,sabre,20180815
