,itinerary,ap_los,ond,travel_time,fare,provider,search_date
3425,AF6025-AF6022,15_3,MRSPAR,155.0,148.38,sabre,20180815
3426,AF6027-AF6022,15_3,MRSPAR,155.0,148.38,sabre,20180815
3427,AF6025-AF6014,15_3,MRSPAR,160.0,148.38,sabre,20180815
3428,AF6025-AF6016,15_3,MRSPAR,160.0,148.38,sabre,20180815
3429,AF6027-AF6014,15_3,MRSPAR,160.0,148.38,sabre,20180815
3430,AF6027-AF6016,15_3,MRSPAR,160.0,148.38,sabre,20180815
3431,AF6003-AF6022,15_3,MRSPAR,165.0,148.38,sabre,20180815
3432,AF6003-AF6014,15_3,MRSPAR,170.0,148.38,sabre,20180815
3433,AF6003-AF6016,15_3,MRSPAR,170.0,148.38,sabre,20180815
3434,AF6025-AF7672,15_3,MRSPAR,160.0,149.63,sabre,20180815
3435,AF6025-AF7670,15_3,MRSPAR,160.0,149.63,sabre,20180815
3436,AF6027-AF7672,15_3,MRSPAR,160.0,149.63,sabre,20180815
3437,AF6027-AF7670,15_3,MRSPAR,160.0,149.63,sabre,20180815
3438,AF6025-AF7660,15_3,MRSPAR,165.0,149.63,sabre,20180815
3439,AF6027-AF7660,15_3,MRSPAR,165.0,149.63,sabre,20180815
3440,AF6003-AF7672,15_3,MRSPAR,170.0,149.63,sabre,20180815
3441,AF6003-AF7670,15_3,MRSPAR,170.0,149.63,sabre,20180815
3442,AF6003-AF7660,15_3,MRSPAR,175.0,149.63,sabre,20180815
3443,AF6025-AF6006,15_3,MRSPAR,155.0,152.38,sabre,20180815
3444,AF6027-AF6006,15_3,MRSPAR,155.0,152.38,sabre,20180815
3445,AF6025-AF6012,15_3,MRSPAR,160.0,152.38,sabre,20180815
3446,AF6025-AF6026,15_3,MRSPAR,160.0,152.38,sabre,20180815
3447,AF6027-AF6012,15_3,MRSPAR,160.0,152.38,sabre,20180815
3448,AF6027-AF6026,15_3,MRSPAR,160.0,152.38,sabre,20180815
3449,AF6003-AF6006,15_3,MRSPAR,165.0,152.38,sabre,20180815
3450,AF6003-AF6012,15_3,MRSPAR,170.0,152.38,sabre,20180815
3451,AF6003-AF6026,15_3,MRSPAR,170.0,152.38,sabre,20180815
3452,AF6009-AF6022,15_3,MRSPAR,160.0,158.38,sabre,20180815
3453,AF7669-AF6022,15_3,MRSPAR,165.0,158.38,sabre,20180815
3454,AF6009-AF6014,15_3,MRSPAR,165.0,158.38,sabre,20180815
3455,AF6009-AF6016,15_3,MRSPAR,165.0,158.38,sabre,20180815
3456,AF7669-AF6014,15_3,MRSPAR,170.0,158.38,sabre,20180815
3457,AF7669-AF6016,15_3,MRSPAR,170.0,158.38,sabre,20180815
3458,AF6009-AF7672,15_3,MRSPAR,165.0,159.63,sabre,20180815
3459,AF6009-AF7670,15_3,MRSPAR,165.0,159.63,sabre,20180815
3460,AF7669-AF7670,15_3,MRSPAR,170.0,159.63,sabre,20180815
3461,AF7669-AF7672,15_3,MRSPAR,170.0,159.63,sabre,20180815
3462,AF6009-AF7660,15_3,MRSPAR,170.0,159.63,sabre,20180815
3463,AF7669-AF7660,15_3,MRSPAR,175.0,159.63,sabre,20180815
3464,AF6025-AF6010,15_3,MRSPAR,155.0,162.38,sabre,20180815
3465,AF6027-AF6010,15_3,MRSPAR,155.0,162.38,sabre,20180815
