,itinerary,ap_los,ond,travel_time,fare,provider,search_date
15495,UU0109-UU0979-UU0974-UU0104,22_14,MRUPAR,1885.0,858.76,sabre,20180815
15496,UU0109-UU0979-UU0974-UU0108,22_14,MRUPAR,2260.0,858.76,sabre,20180815
15497,UU0103-UU0979-UU0974-UU0104,22_14,MRUPAR,2470.0,858.76,sabre,20180815
15498,UU0103-UU0979-UU0974-UU0108,22_14,MRUPAR,2845.0,858.76,sabre,20180815
15499,UU0109-UU0979-UU0974-UU0102,22_14,MRUPAR,3115.0,858.76,sabre,20180815
15500,UU0103-UU0979-UU0974-UU0102,22_14,MRUPAR,3700.0,858.76,sabre,20180815
15501,HM0048-HM0018-HM5008-HM5017-HM0187-HM0049,22_14,MRUPAR,2475.0,996.6,sabre,20180815
15502,HM0048-HM5502-HM5008-HM5017-HM0187-HM0049,22_14,MRUPAR,3915.0,996.6,sabre,20180815
15503,HM0048-HM0018-HM5008-HM5017-HM5501-HM0049,22_14,MRUPAR,3915.0,997.8,sabre,20180815
15504,HM0048-HM5502-HM5008-HM5017-HM5501-HM0049,22_14,MRUPAR,5355.0,997.8,sabre,20180815
15505,HM0048-EY4118-EY0031-EY0032-EY4111-HM0049,22_14,MRUPAR,2475.0,1072.58,sabre,20180815
15506,HM0048-EY4118-EY0037-EY0032-EY4111-HM0049,22_14,MRUPAR,2875.0,1072.58,sabre,20180815
15507,MK0042-AF1681-MK0923,22_14,MRUPAR,1580.0,1103.18,sabre,20180815
15508,MK0042-AF1681-MK0045,22_14,MRUPAR,1595.0,1103.18,sabre,20180815
15509,MK0042-AF1581-MK0923,22_14,MRUPAR,1750.0,1103.18,sabre,20180815
15510,MK0042-AF1581-MK0045,22_14,MRUPAR,1765.0,1103.18,sabre,20180815
15511,MK0042-AF1081-MK0923,22_14,MRUPAR,2860.0,1103.18,sabre,20180815
15512,MK0042-AF1081-MK0045,22_14,MRUPAR,2875.0,1103.18,sabre,20180815
15513,MK0042-AF1381-MK0923,22_14,MRUPAR,2880.0,1103.18,sabre,20180815
15514,MK0042-AF1381-MK0045,22_14,MRUPAR,2895.0,1103.18,sabre,20180815
15515,EK0702-EK0071-EK0076-EK0703,22_14,MRUPAR,2135.0,1111.51,sabre,20180815
15516,EK0702-EK0071-EK0074-EK0701,22_14,MRUPAR,2150.0,1111.51,sabre,20180815
15517,EK0702-EK0073-EK0076-EK0703,22_14,MRUPAR,2380.0,1111.51,sabre,20180815
15518,EK0702-EK0073-EK0074-EK0701,22_14,MRUPAR,2395.0,1111.51,sabre,20180815
15519,EK0702-EK0071-EK0072-EK0701,22_14,MRUPAR,2400.0,1111.51,sabre,20180815
15520,EK0704-EK0075-EK0076-EK0703,22_14,MRUPAR,2455.0,1111.51,sabre,20180815
15521,EK0704-EK0075-EK0074-EK0701,22_14,MRUPAR,2470.0,1111.51,sabre,20180815
15522,EK0702-EK0071-EK0074-EK0703,22_14,MRUPAR,2515.0,1111.51,sabre,20180815
15523,EK0702-EK0073-EK0072-EK0701,22_14,MRUPAR,2645.0,1111.51,sabre,20180815
15524,EK0704-EK0075-EK0072-EK0701,22_14,MRUPAR,2720.0,1111.51,sabre,20180815
15525,EK0702-EK0073-EK0074-EK0703,22_14,MRUPAR,2760.0,1111.51,sabre,20180815
15526,EK0704-EK0075-EK0074-EK0703,22_14,MRUPAR,2835.0,1111.51,sabre,20180815
15527,EK0702-EK0071-EK0072-EK0703,22_14,MRUPAR,2765.0,1112.71,sabre,20180815
15528,EK0702-EK0075-EK0076-EK0703,22_14,MRUPAR,2770.0,1112.71,sabre,20180815
15529,EK0702-EK0075-EK0074-EK0701,22_14,MRUPAR,2785.0,1112.71,sabre,20180815
15530,EK0702-EK0073-EK0072-EK0703,22_14,MRUPAR,3010.0,1112.71,sabre,20180815
15531,EK0702-EK0075-EK0072-EK0701,22_14,MRUPAR,3035.0,1112.71,sabre,20180815
15532,EK0704-EK0075-EK0072-EK0703,22_14,MRUPAR,3085.0,1112.71,sabre,20180815
15533,EK0702-EK0075-EK0074-EK0703,22_14,MRUPAR,3150.0,1112.71,sabre,20180815
15534,EK0702-EK0071-EK0076-EK0701,22_14,MRUPAR,3210.0,1112.71,sabre,20180815
15535,EK0704-EK0071-EK0076-EK0703,22_14,MRUPAR,3260.0,1112.71,sabre,20180815
15536,EK0704-EK0071-EK0074-EK0701,22_14,MRUPAR,3275.0,1112.71,sabre,20180815
15537,EK0702-EK0073-EK0076-EK0701,22_14,MRUPAR,3455.0,1112.71,sabre,20180815
15538,EK0704-EK0071-EK0072-EK0701,22_14,MRUPAR,3525.0,1112.71,sabre,20180815
15539,EK0704-EK0075-EK0076-EK0701,22_14,MRUPAR,3530.0,1112.71,sabre,20180815
15540,EK0704-EK0071-EK0074-EK0703,22_14,MRUPAR,3640.0,1112.71,sabre,20180815
15541,EK0702-EK0075-EK0072-EK0703,22_14,MRUPAR,3400.0,1113.91,sabre,20180815
15542,EK0702-EK0075-EK0076-EK0701,22_14,MRUPAR,3845.0,1113.91,sabre,20180815
