,itinerary,ap_los,ond,travel_time,fare,provider,search_date
59356,EW1912-EW9406-EW9405-EW1919,15_3,MUCPAR,595.0,226.69,sabre,20180815
59357,EW1914-EW9408-EW9405-EW1919,15_3,MUCPAR,1635.0,229.73,sabre,20180815
59358,EW1912-EW9406-LH2231,15_3,MUCPAR,345.0,238.55,sabre,20180815
59359,EW1916-EW9408-EW9405-EW1919,15_3,MUCPAR,1375.0,239.73,sabre,20180815
59360,EW1912-EW9408-EW9405-EW1919,15_3,MUCPAR,1870.0,239.73,sabre,20180815
59361,EW1914-EW9408-LH2231,15_3,MUCPAR,1385.0,241.59,sabre,20180815
59362,EW1916-EW9408-LH2231,15_3,MUCPAR,1125.0,251.59,sabre,20180815
59363,EW1912-EW9408-LH2231,15_3,MUCPAR,1620.0,251.59,sabre,20180815
59364,EW1912-EW9406-LX0633-LX1104,15_3,MUCPAR,460.0,253.68,sabre,20180815
59365,EW1912-EW9406-LX0633-LX3620,15_3,MUCPAR,525.0,253.68,sabre,20180815
59366,EW1912-EW9406-LX0639-LX1110,15_3,MUCPAR,595.0,253.68,sabre,20180815
59367,EW1912-EW9406-LX0647-LX1104,15_3,MUCPAR,605.0,253.68,sabre,20180815
59368,EW1912-EW9406-LX0639-LX3626,15_3,MUCPAR,640.0,253.68,sabre,20180815
59369,EW1912-EW9406-LX0633-LX1108,15_3,MUCPAR,650.0,253.68,sabre,20180815
59370,EW1912-EW9406-LX0647-LX3620,15_3,MUCPAR,670.0,253.68,sabre,20180815
59371,EW1912-EW9406-LX0647-LX1108,15_3,MUCPAR,795.0,253.68,sabre,20180815
59372,EW1912-EW9406-LX0633-LX1110,15_3,MUCPAR,885.0,253.68,sabre,20180815
59373,EW1912-EW9406-LX0633-LX3626,15_3,MUCPAR,930.0,253.68,sabre,20180815
59374,EW1912-EW9406-LX0647-LX1110,15_3,MUCPAR,1030.0,253.68,sabre,20180815
59375,EW1912-EW9406-LX0647-LX3626,15_3,MUCPAR,1075.0,253.68,sabre,20180815
59376,EW1914-EW9408-LX0633-LX1104,15_3,MUCPAR,1500.0,256.72,sabre,20180815
59377,EW1914-EW9408-LX0633-LX3620,15_3,MUCPAR,1565.0,256.72,sabre,20180815
59378,EW1914-EW9408-LX0639-LX1110,15_3,MUCPAR,1635.0,256.72,sabre,20180815
59379,EW1914-EW9408-LX0647-LX1104,15_3,MUCPAR,1645.0,256.72,sabre,20180815
59380,EW1914-EW9408-LX0639-LX3626,15_3,MUCPAR,1680.0,256.72,sabre,20180815
59381,EW1914-EW9408-LX0633-LX1108,15_3,MUCPAR,1690.0,256.72,sabre,20180815
59382,EW1914-EW9408-LX0647-LX3620,15_3,MUCPAR,1710.0,256.72,sabre,20180815
59383,EW1914-EW9408-LX0647-LX1108,15_3,MUCPAR,1835.0,256.72,sabre,20180815
59384,EW1914-EW9408-LX0633-LX1110,15_3,MUCPAR,1925.0,256.72,sabre,20180815
59385,EW1914-EW9408-LX0633-LX3626,15_3,MUCPAR,1970.0,256.72,sabre,20180815
59386,EW1914-EW9408-LX0647-LX1110,15_3,MUCPAR,2070.0,256.72,sabre,20180815
59387,EW1914-EW9408-LX0647-LX3626,15_3,MUCPAR,2115.0,256.72,sabre,20180815
59388,EW1914-EW9408-LH2237,15_3,MUCPAR,1385.0,266.59,sabre,20180815
59389,EW1914-EW9408-LH2235,15_3,MUCPAR,1385.0,266.59,sabre,20180815
59390,EW1914-EW9408-LH2229,15_3,MUCPAR,1385.0,266.59,sabre,20180815
59391,EW1914-EW9408-LH2227,15_3,MUCPAR,1385.0,266.59,sabre,20180815
59392,EW1916-EW9408-LX0633-LX1104,15_3,MUCPAR,1240.0,266.72,sabre,20180815
59393,EW1916-EW9408-LX0633-LX3620,15_3,MUCPAR,1305.0,266.72,sabre,20180815
59394,EW1916-EW9408-LX0639-LX1110,15_3,MUCPAR,1375.0,266.72,sabre,20180815
59395,EW1916-EW9408-LX0647-LX1104,15_3,MUCPAR,1385.0,266.72,sabre,20180815
59396,EW1916-EW9408-LX0639-LX3626,15_3,MUCPAR,1420.0,266.72,sabre,20180815
59398,EW1916-EW9408-LX0633-LX1108,15_3,MUCPAR,1430.0,266.72,sabre,20180815
59400,EW1916-EW9408-LX0647-LX3620,15_3,MUCPAR,1450.0,266.72,sabre,20180815
59403,EW1916-EW9408-LX0647-LX1108,15_3,MUCPAR,1575.0,266.72,sabre,20180815
59405,EW1916-EW9408-LX0633-LX1110,15_3,MUCPAR,1665.0,266.72,sabre,20180815
