,itinerary,ap_los,ond,travel_time,fare,provider,search_date
2015,AF7025-AF7643-AF6236,15_3,NCEPAR,605.0,208.36,sabre,20180815
2016,AF7025-AF7643-AF6230,15_3,NCEPAR,605.0,208.36,sabre,20180815
2017,AF7025-AF7643-AF6204,15_3,NCEPAR,605.0,208.36,sabre,20180815
2018,AF7025-AF7643-AF6200,15_3,NCEPAR,610.0,208.36,sabre,20180815
2019,AF7025-AF7643-AF6234,15_3,NCEPAR,610.0,208.36,sabre,20180815
2020,AF7025-AF7643-AF7700,15_3,NCEPAR,610.0,209.61,sabre,20180815
2021,AF7025-AF7643-AF7702,15_3,NCEPAR,610.0,209.61,sabre,20180815
2022,AF7025-AF7643-AF7706,15_3,NCEPAR,610.0,209.61,sabre,20180815
2023,AF7025-AF7643-AF7708,15_3,NCEPAR,610.0,209.61,sabre,20180815
2024,AF7025-AF7643-AF7712,15_3,NCEPAR,610.0,209.61,sabre,20180815
2025,AF7025-AF7643-AF7714,15_3,NCEPAR,615.0,209.61,sabre,20180815
2026,AF7025-AF7643-AF6226,15_3,NCEPAR,605.0,217.36,sabre,20180815
2027,AF7025-AF7643-AF6222,15_3,NCEPAR,605.0,217.36,sabre,20180815
2028,AF7025-AF7643-AF6216,15_3,NCEPAR,605.0,217.36,sabre,20180815
2029,AF7025-AF7643-AF6214,15_3,NCEPAR,605.0,217.36,sabre,20180815
2030,AF7025-AF7643-AF6228,15_3,NCEPAR,605.0,217.36,sabre,20180815
2031,AF7025-AF7643-AF6218,15_3,NCEPAR,610.0,217.36,sabre,20180815
2032,AF7025-AF7643-AF6212,15_3,NCEPAR,610.0,217.36,sabre,20180815
2033,AF4335-AF7633-AF6236,15_3,NCEPAR,690.0,223.48,sabre,20180815
2034,AF4335-AF7633-AF6204,15_3,NCEPAR,690.0,223.48,sabre,20180815
2035,AF4335-AF7633-AF6230,15_3,NCEPAR,690.0,223.48,sabre,20180815
2036,AF4335-AF7633-AF6200,15_3,NCEPAR,695.0,223.48,sabre,20180815
2037,AF4335-AF7633-AF6234,15_3,NCEPAR,695.0,223.48,sabre,20180815
2038,AF4335-AF7633-AF7702,15_3,NCEPAR,695.0,224.73,sabre,20180815
2039,AF4335-AF7633-AF7700,15_3,NCEPAR,695.0,224.73,sabre,20180815
2040,AF4335-AF7633-AF7708,15_3,NCEPAR,695.0,224.73,sabre,20180815
2041,AF4335-AF7633-AF7706,15_3,NCEPAR,695.0,224.73,sabre,20180815
2042,AF4335-AF7633-AF7714,15_3,NCEPAR,700.0,224.73,sabre,20180815
2043,AF7025-AF7645-AF6230,15_3,NCEPAR,705.0,228.36,sabre,20180815
2044,AF7025-AF7645-AF6204,15_3,NCEPAR,705.0,228.36,sabre,20180815
2045,AF7025-AF7645-AF6236,15_3,NCEPAR,705.0,228.36,sabre,20180815
2046,AF7025-AF7645-AF6200,15_3,NCEPAR,710.0,228.36,sabre,20180815
2047,AF7025-AF7645-AF7700,15_3,NCEPAR,710.0,229.61,sabre,20180815
2048,AF7025-AF7645-AF7702,15_3,NCEPAR,710.0,229.61,sabre,20180815
2049,AF7025-AF7645-AF7706,15_3,NCEPAR,710.0,229.61,sabre,20180815
2050,AF7711-AF6204,15_3,NCEPAR,180.0,247.88,sabre,20180815
2051,AF7711-AF6230,15_3,NCEPAR,180.0,247.88,sabre,20180815
2052,AF7711-AF6236,15_3,NCEPAR,180.0,247.88,sabre,20180815
2053,AF7711-AF6234,15_3,NCEPAR,185.0,247.88,sabre,20180815
2054,AF7711-AF6200,15_3,NCEPAR,185.0,247.88,sabre,20180815
2055,AF7711-AF7706,15_3,NCEPAR,185.0,249.13,sabre,20180815
2056,AF7711-AF7708,15_3,NCEPAR,185.0,249.13,sabre,20180815
2057,AF7711-AF7712,15_3,NCEPAR,185.0,249.13,sabre,20180815
2058,AF7711-AF7700,15_3,NCEPAR,185.0,249.13,sabre,20180815
2059,AF7711-AF7702,15_3,NCEPAR,185.0,249.13,sabre,20180815
2060,AF7711-AF7714,15_3,NCEPAR,190.0,249.13,sabre,20180815
2061,AF7711-AF6214,15_3,NCEPAR,180.0,256.88,sabre,20180815
2062,AF7711-AF6216,15_3,NCEPAR,180.0,256.88,sabre,20180815
2063,AF7711-AF6222,15_3,NCEPAR,180.0,256.88,sabre,20180815
2064,AF7711-AF6226,15_3,NCEPAR,180.0,256.88,sabre,20180815
2065,AF7711-AF6228,15_3,NCEPAR,180.0,256.88,sabre,20180815
2066,AF7711-AF6212,15_3,NCEPAR,185.0,256.88,sabre,20180815
2067,AF7711-AF6218,15_3,NCEPAR,185.0,256.88,sabre,20180815
2068,AF6207-AF6230,15_3,NCEPAR,170.0,273.88,sabre,20180815
2069,AF6207-AF6236,15_3,NCEPAR,170.0,273.88,sabre,20180815
2070,AF6207-AF6204,15_3,NCEPAR,170.0,273.88,sabre,20180815
2071,AF6209-AF6204,15_3,NCEPAR,170.0,273.88,sabre,20180815
2072,AF6209-AF6236,15_3,NCEPAR,170.0,273.88,sabre,20180815
2073,AF6209-AF6230,15_3,NCEPAR,170.0,273.88,sabre,20180815
2074,AF6235-AF6230,15_3,NCEPAR,170.0,273.88,sabre,20180815
2075,AF6235-AF6204,15_3,NCEPAR,170.0,273.88,sabre,20180815
2076,AF6235-AF6236,15_3,NCEPAR,170.0,273.88,sabre,20180815
2077,AF6203-AF6230,15_3,NCEPAR,175.0,273.88,sabre,20180815
2078,AF6203-AF6236,15_3,NCEPAR,175.0,273.88,sabre,20180815
2079,AF6203-AF6204,15_3,NCEPAR,175.0,273.88,sabre,20180815
2080,AF6207-AF6200,15_3,NCEPAR,175.0,273.88,sabre,20180815
2081,AF6209-AF6200,15_3,NCEPAR,175.0,273.88,sabre,20180815
2082,AF6211-AF6236,15_3,NCEPAR,175.0,273.88,sabre,20180815
2083,AF6211-AF6204,15_3,NCEPAR,175.0,273.88,sabre,20180815
2084,AF6211-AF6230,15_3,NCEPAR,175.0,273.88,sabre,20180815
2085,AF6217-AF6204,15_3,NCEPAR,175.0,273.88,sabre,20180815
2086,AF6217-AF6236,15_3,NCEPAR,175.0,273.88,sabre,20180815
2087,AF6217-AF6230,15_3,NCEPAR,175.0,273.88,sabre,20180815
2088,AF6235-AF6234,15_3,NCEPAR,175.0,273.88,sabre,20180815
2089,AF6235-AF6200,15_3,NCEPAR,175.0,273.88,sabre,20180815
2090,AF6203-AF6200,15_3,NCEPAR,180.0,273.88,sabre,20180815
2091,AF6211-AF6200,15_3,NCEPAR,180.0,273.88,sabre,20180815
2092,AF6217-AF6234,15_3,NCEPAR,180.0,273.88,sabre,20180815
2093,AF6217-AF6200,15_3,NCEPAR,180.0,273.88,sabre,20180815
2094,AF6223-AF6234,15_3,NCEPAR,180.0,273.88,sabre,20180815
2095,AF6207-AF7700,15_3,NCEPAR,175.0,275.13,sabre,20180815
2096,AF6207-AF7702,15_3,NCEPAR,175.0,275.13,sabre,20180815
2097,AF6209-AF7700,15_3,NCEPAR,175.0,275.13,sabre,20180815
2098,AF6209-AF7702,15_3,NCEPAR,175.0,275.13,sabre,20180815
2099,AF6235-AF7702,15_3,NCEPAR,175.0,275.13,sabre,20180815
2100,AF6235-AF7708,15_3,NCEPAR,175.0,275.13,sabre,20180815
2101,AF6235-AF7706,15_3,NCEPAR,175.0,275.13,sabre,20180815
2102,AF6235-AF7700,15_3,NCEPAR,175.0,275.13,sabre,20180815
2103,AF6203-AF7700,15_3,NCEPAR,180.0,275.13,sabre,20180815
2104,AF6209-AF7714,15_3,NCEPAR,180.0,275.13,sabre,20180815
2105,AF6211-AF7706,15_3,NCEPAR,180.0,275.13,sabre,20180815
2106,AF6211-AF7702,15_3,NCEPAR,180.0,275.13,sabre,20180815
2107,AF6211-AF7700,15_3,NCEPAR,180.0,275.13,sabre,20180815
2108,AF6217-AF7702,15_3,NCEPAR,180.0,275.13,sabre,20180815
