,itinerary,ap_los,ond,travel_time,fare,provider,search_date
10389,SE0041-SE0040,8_7,NYCPAR,925.0,470.97,sabre,20180815
10390,H11926-H11925,8_7,NYCPAR,975.0,494.1,sabre,20180815
10391,DY7022-DY7021,8_7,NYCPAR,910.0,829.1,sabre,20180815
10392,SK0910-SK0565-SK0566-SK0901,8_7,NYCPAR,1610.0,1007.94,sabre,20180815
10393,B60395-DE5753-BE3127-BE3124-DE5752-B61294,8_7,NYCPAR,2405.0,1429.83,sabre,20180815
10394,B61895-DE5753-BE3127-BE3124-DE5752-B61294,8_7,NYCPAR,2638.0,1429.83,sabre,20180815
10395,TK0004-TK1821-TK1830-TK0001,8_7,NYCPAR,1830.0,2006.1,sabre,20180815
10396,TK0012-TK1821-TK1830-TK0001,8_7,NYCPAR,2570.0,2006.1,sabre,20180815
10397,TK0004-TK1829-TK1830-TK0001,8_7,NYCPAR,2580.0,2006.1,sabre,20180815
10398,UA3826-UA0987-UA0986-UA3793,8_7,NYCPAR,1896.0,2184.9,sabre,20180815
10399,UA3826-UA0987-SN9108-UA3793,8_7,NYCPAR,1896.0,2184.9,sabre,20180815
10400,UA3826-UA0987-LH9334-UA3793,8_7,NYCPAR,1896.0,2184.9,sabre,20180815
10401,DL2704-DL0082-DL0083-DL2703,8_7,NYCPAR,2189.0,2184.9,sabre,20180815
10402,UA3809-UA0987-SN9108-UA3793,8_7,NYCPAR,2196.0,2184.9,sabre,20180815
10403,UA3809-UA0987-LH9334-UA3793,8_7,NYCPAR,2196.0,2184.9,sabre,20180815
10404,UA3809-UA0987-UA0986-UA3793,8_7,NYCPAR,2196.0,2184.9,sabre,20180815
10405,DL4614-DL0096-DL0083-DL2703,8_7,NYCPAR,2264.0,2184.9,sabre,20180815
10406,DL3363-DL0082-DL0083-DL2703,8_7,NYCPAR,2269.0,2184.9,sabre,20180815
10407,DL2704-DL8517-DL0083-DL2703,8_7,NYCPAR,2289.0,2184.9,sabre,20180815
10408,DL4614-DL0098-DL0083-DL2703,8_7,NYCPAR,2399.0,2184.9,sabre,20180815
10409,DL3327-DL0084-DL0083-DL2703,8_7,NYCPAR,2430.0,2184.9,sabre,20180815
10410,DL2704-DL0082-DL0085-DL3327,8_7,NYCPAR,2471.0,2184.9,sabre,20180815
10411,DL4614-DL0096-DL0085-DL3327,8_7,NYCPAR,2546.0,2184.9,sabre,20180815
10412,DL3363-DL0082-DL0085-DL3327,8_7,NYCPAR,2551.0,2184.9,sabre,20180815
10413,DL2704-DL8517-DL0085-DL3327,8_7,NYCPAR,2571.0,2184.9,sabre,20180815
10414,DL3363-DL0082-DL8572-DL4167,8_7,NYCPAR,2640.0,2184.9,sabre,20180815
10415,DL3363-DL0082-DL8606-DL3327,8_7,NYCPAR,2641.0,2184.9,sabre,20180815
10416,DL2704-DL8517-DL8572-DL4167,8_7,NYCPAR,2660.0,2184.9,sabre,20180815
10417,DL2704-DL8517-DL8606-DL3327,8_7,NYCPAR,2661.0,2184.9,sabre,20180815
10418,DL4614-DL0098-DL0085-DL3327,8_7,NYCPAR,2681.0,2184.9,sabre,20180815
10419,DL3327-DL0084-DL0085-DL3327,8_7,NYCPAR,2712.0,2184.9,sabre,20180815
10420,UA3826-UA0987-LH9334-UA3826,8_7,NYCPAR,2714.0,2184.9,sabre,20180815
10421,UA3826-UA0987-UA0986-UA3826,8_7,NYCPAR,2714.0,2184.9,sabre,20180815
10422,UA3826-UA0987-SN9108-UA3826,8_7,NYCPAR,2714.0,2184.9,sabre,20180815
10423,DL4614-DL0098-DL0099-DL4167,8_7,NYCPAR,2940.0,2184.9,sabre,20180815
10424,DL4614-DL0098-DL8504-DL3327,8_7,NYCPAR,2951.0,2184.9,sabre,20180815
10425,UA3836-SN9107-SN9108-UA3793,8_7,NYCPAR,2961.0,2184.9,sabre,20180815
10426,UA3836-UA0987-SN9108-UA3793,8_7,NYCPAR,2961.0,2184.9,sabre,20180815
10427,UA3836-SN9107-LH9334-UA3793,8_7,NYCPAR,2961.0,2184.9,sabre,20180815
10428,UA3836-UA0987-LH9334-UA3793,8_7,NYCPAR,2961.0,2184.9,sabre,20180815
10429,DL3327-DL0084-DL0099-DL4167,8_7,NYCPAR,2971.0,2184.9,sabre,20180815
10430,DL3327-DL0084-DL0085-DL3376,8_7,NYCPAR,2990.0,2184.9,sabre,20180815
10431,UA3809-UA0987-UA0986-UA3826,8_7,NYCPAR,3014.0,2184.9,sabre,20180815
10432,DL4614-DL8573-DL0085-DL3376,8_7,NYCPAR,3129.0,2184.9,sabre,20180815
10433,DL4614-DL8573-DL8572-DL4695,8_7,NYCPAR,3164.0,2184.9,sabre,20180815
10434,DL2704-DL0084-DL8572-DL4695,8_7,NYCPAR,3214.0,2184.9,sabre,20180815
10435,DL2704-DL0084-DL8606-DL3376,8_7,NYCPAR,3269.0,2184.9,sabre,20180815
10436,DL3363-DL0084-DL8606-DL3376,8_7,NYCPAR,3349.0,2184.9,sabre,20180815
10437,UA3836-SN9107-SN9108-UA3826,8_7,NYCPAR,3779.0,2184.9,sabre,20180815
10438,DL4614-DL0098-DL0119-DL0981-DL5333,8_7,NYCPAR,2207.0,2184.9,sabre,20180815
10439,DL4614-DL0098-DL0405-DL1054-DL5333,8_7,NYCPAR,2207.0,2184.9,sabre,20180815
10440,UA3826-UA0987-UA9948-UA0973-UA3837,8_7,NYCPAR,1811.0,2186.84,sabre,20180815
10441,UA3826-UA0987-UA9981-UA0973-UA3837,8_7,NYCPAR,1811.0,2186.84,sabre,20180815
10442,UA3826-UA0987-SN3632-UA0973-UA3837,8_7,NYCPAR,1811.0,2186.84,sabre,20180815
10443,UA3826-UA0987-SN3634-UA0973-UA3837,8_7,NYCPAR,1811.0,2186.84,sabre,20180815
10444,UA3809-UA0987-UA9981-UA0973-UA3837,8_7,NYCPAR,2111.0,2186.84,sabre,20180815
10445,UA3809-UA0987-UA9948-UA0973-UA3837,8_7,NYCPAR,2111.0,2186.84,sabre,20180815
10446,UA3809-UA0987-SN3634-UA0973-UA3837,8_7,NYCPAR,2111.0,2186.84,sabre,20180815
10447,UA3809-UA0987-SN3632-UA0973-UA3837,8_7,NYCPAR,2111.0,2186.84,sabre,20180815
10448,UA3826-UA0987-UA9516-UA8836-UA3837,8_7,NYCPAR,1871.0,2198.49,sabre,20180815
10449,B00101-B00100,8_7,NYCPAR,970.0,2239.68,sabre,20180815
10450,UA0057-UA9768-UA0135,8_7,NYCPAR,1145.0,2336.45,sabre,20180815
10451,UA1992-UA0915-UA9768-UA0135,8_7,NYCPAR,1283.0,2336.45,sabre,20180815
10452,UA4272-UA0915-UA9768-UA0135,8_7,NYCPAR,1435.0,2336.45,sabre,20180815
10453,UA4931-UA0915-UA9768-UA0135,8_7,NYCPAR,1575.0,2336.45,sabre,20180815
10454,UA8157-UA8062-UA9768-UA0135,8_7,NYCPAR,1620.0,2336.45,sabre,20180815
10455,UA3634-UA0915-UA9768-UA0135,8_7,NYCPAR,1675.0,2336.45,sabre,20180815
10456,UA8157-UA8118-UA9768-UA0135,8_7,NYCPAR,1725.0,2336.45,sabre,20180815
10457,UA0997-UA0915-UA9768-UA0135,8_7,NYCPAR,1818.0,2336.45,sabre,20180815
10458,UA0057-UA0056,8_7,NYCPAR,955.0,2338.98,sabre,20180815
10459,UA0057-UA8121-UA8158,8_7,NYCPAR,1064.0,2338.98,sabre,20180815
10460,UA1992-UA0915-UA0056,8_7,NYCPAR,1093.0,2338.98,sabre,20180815
10461,UA0057-UA8092-UA8546,8_7,NYCPAR,1179.0,2338.98,sabre,20180815
10462,UA0057-UA8121-UA8170,8_7,NYCPAR,1229.0,2338.98,sabre,20180815
10463,UA4272-UA0915-UA0056,8_7,NYCPAR,1245.0,2338.98,sabre,20180815
10464,UA4931-UA0915-UA0056,8_7,NYCPAR,1385.0,2338.98,sabre,20180815
10465,UA0057-UA8121-UA8546,8_7,NYCPAR,1429.0,2338.98,sabre,20180815
10466,UA8157-UA8062-UA0056,8_7,NYCPAR,1430.0,2338.98,sabre,20180815
10467,UA3634-UA0915-UA0056,8_7,NYCPAR,1485.0,2338.98,sabre,20180815
10468,UA8157-UA8118-UA0056,8_7,NYCPAR,1535.0,2338.98,sabre,20180815
10469,UA0997-UA0915-UA0056,8_7,NYCPAR,1628.0,2338.98,sabre,20180815
10470,UA0057-UA8092-UA8154,8_7,NYCPAR,1929.0,2338.98,sabre,20180815
