,itinerary,ap_los,ond,travel_time,fare,provider,search_date
37485,ZI0312-ZI0315,15_3,OPOPAR,265.0,294.26,sabre,20180815
37486,LX2065-LX0632-LH2237-LH1794,15_3,OPOPAR,1700.0,301.3,sabre,20180815
37487,KL2588-KL2013-AF1428,15_3,OPOPAR,450.0,303.09,sabre,20180815
37488,UX1146-UX1029-UX3444-UX1147,15_3,OPOPAR,1810.0,307.75,sabre,20180815
37489,UX1146-UX1025-UX3444-UX1147,15_3,OPOPAR,2005.0,307.75,sabre,20180815
37490,LX2065-LX0632-LH2235-LH1794,15_3,OPOPAR,1840.0,308.76,sabre,20180815
37491,LX2065-LX0632-LH2231-LH1794,15_3,OPOPAR,2030.0,308.76,sabre,20180815
37492,LX2065-LX0632-LH2229-LH1794,15_3,OPOPAR,2180.0,308.76,sabre,20180815
37493,LX2065-LX0632-LH2227-LH1794,15_3,OPOPAR,2375.0,308.76,sabre,20180815
37494,UX1146-UX1027-UX3444-UX1147,15_3,OPOPAR,2855.0,315.28,sabre,20180815
37495,LX2065-LX0632-LH1027-LH1178,15_3,OPOPAR,1175.0,320.78,sabre,20180815
37496,LX2065-LX0632-LH1051-LH1178,15_3,OPOPAR,1270.0,320.78,sabre,20180815
37497,LH1795-LH2226-LH2237-LH1794,15_3,OPOPAR,2165.0,334.4,sabre,20180815
37498,LH1795-LH2226-LH2235-LH1794,15_3,OPOPAR,2305.0,341.86,sabre,20180815
37499,LH1795-LH2226-LH2231-LH1794,15_3,OPOPAR,2495.0,341.86,sabre,20180815
37500,LH1795-LH2226-LH2229-LH1794,15_3,OPOPAR,2645.0,341.86,sabre,20180815
37501,LH1795-LH2226-LH2227-LH1794,15_3,OPOPAR,2840.0,341.86,sabre,20180815
37502,TP1971-TP0436-TP0459,15_3,OPOPAR,810.0,350.91,sabre,20180815
37503,TP1959-TP0436-TP0459,15_3,OPOPAR,870.0,350.91,sabre,20180815
37504,TP1957-TP0436-TP0459,15_3,OPOPAR,930.0,350.91,sabre,20180815
37505,TP1949-TP0436-TP0459,15_3,OPOPAR,1170.0,350.91,sabre,20180815
37506,TP1939-TP0436-TP0459,15_3,OPOPAR,1290.0,350.91,sabre,20180815
37507,TP1937-TP0436-TP0459,15_3,OPOPAR,1350.0,350.91,sabre,20180815
37508,TP1935-TP0436-TP0459,15_3,OPOPAR,1410.0,350.91,sabre,20180815
37509,TP1941-TP0436-TP0459,15_3,OPOPAR,1590.0,353.17,sabre,20180815
37510,LH1795-LH2226-LH1027-LH1178,15_3,OPOPAR,1640.0,353.88,sabre,20180815
37511,LH1795-LH2226-LH1051-LH1178,15_3,OPOPAR,1735.0,353.88,sabre,20180815
37512,LX2065-LX0632-LX0639-LX2064,15_3,OPOPAR,1060.0,364.66,sabre,20180815
37513,LX2065-LX0632-LX0633-LX2064,15_3,OPOPAR,1350.0,364.66,sabre,20180815
37514,LX2065-LX0632-LX0647-LX2064,15_3,OPOPAR,1495.0,364.66,sabre,20180815
37515,IB5078-IB5077,15_3,OPOPAR,260.0,367.26,sabre,20180815
37516,ZI0312-ZI1171,15_3,OPOPAR,255.0,368.26,sabre,20180815
37517,LH1795-LH2238-LH2237-LH1794,15_3,OPOPAR,1650.0,368.74,sabre,20180815
37518,LX2065-LX0632-LH1051-LH1176,15_3,OPOPAR,1030.0,370.78,sabre,20180815
37519,LX2065-LX0632-LH1031-LH1178,15_3,OPOPAR,1055.0,370.78,sabre,20180815
37520,LX2065-LX0632-LH1041-LH1180,15_3,OPOPAR,1060.0,370.78,sabre,20180815
37521,LX2065-LX0632-LH1029-LH1178,15_3,OPOPAR,1105.0,370.78,sabre,20180815
37522,LX2065-LX0632-LH1053-LH1176,15_3,OPOPAR,1125.0,370.78,sabre,20180815
37523,LX2065-LX0632-LH1053-LH1178,15_3,OPOPAR,1365.0,370.78,sabre,20180815
37524,TP1971-TP0436-TP0457,15_3,OPOPAR,810.0,370.91,sabre,20180815
37525,TP1959-TP0436-TP0457,15_3,OPOPAR,870.0,370.91,sabre,20180815
37526,TP1957-TP0436-TP0457,15_3,OPOPAR,930.0,370.91,sabre,20180815
37527,TP1949-TP0436-TP0457,15_3,OPOPAR,1170.0,370.91,sabre,20180815
37528,LX2065-LX0638-LH2237-LH1794,15_3,OPOPAR,1995.0,371.3,sabre,20180815
37529,LH1181-LH1046-LH2237-LH1794,15_3,OPOPAR,1640.0,371.42,sabre,20180815
37530,LH1181-LH1050-LH2237-LH1794,15_3,OPOPAR,1820.0,371.42,sabre,20180815
37531,LX2065-LX0632-LX0647-LX2804-LX2078,15_3,OPOPAR,1240.0,372.95,sabre,20180815
37532,AF1529-AF1428,15_3,OPOPAR,275.0,375.4,sabre,20180815
37533,TP1971-TP0436-TP8443,15_3,OPOPAR,820.0,375.91,sabre,20180815
37534,TP1959-TP0436-TP8443,15_3,OPOPAR,880.0,375.91,sabre,20180815
37535,TP1957-TP0436-TP8443,15_3,OPOPAR,940.0,375.91,sabre,20180815
37536,LH1795-LH2238-LH2235-LH1794,15_3,OPOPAR,1790.0,376.2,sabre,20180815
37537,LH1795-LH2238-LH2231-LH1794,15_3,OPOPAR,1980.0,376.2,sabre,20180815
37538,LH1795-LH2238-LH2229-LH1794,15_3,OPOPAR,2130.0,376.2,sabre,20180815
37539,LH1795-LH2238-LH2227-LH1794,15_3,OPOPAR,2325.0,376.2,sabre,20180815
37540,LH1179-LH1026-LH2237-LH1794,15_3,OPOPAR,1855.0,376.65,sabre,20180815
37541,LX2065-LX0638-LH2235-LH1794,15_3,OPOPAR,2135.0,378.76,sabre,20180815
37542,LX2065-LX0638-LH2231-LH1794,15_3,OPOPAR,2325.0,378.76,sabre,20180815
37543,LX2065-LX0638-LH2229-LH1794,15_3,OPOPAR,2475.0,378.76,sabre,20180815
37544,LX2065-LX0638-LH2227-LH1794,15_3,OPOPAR,2670.0,378.76,sabre,20180815
37545,LH1181-LH1046-LH2235-LH1794,15_3,OPOPAR,1780.0,378.88,sabre,20180815
37546,LH1181-LH1050-LH2235-LH1794,15_3,OPOPAR,1960.0,378.88,sabre,20180815
37547,LH1181-LH1046-LH2231-LH1794,15_3,OPOPAR,1970.0,378.88,sabre,20180815
37548,LH1181-LH1046-LH2229-LH1794,15_3,OPOPAR,2120.0,378.88,sabre,20180815
37549,LH1181-LH1050-LH2231-LH1794,15_3,OPOPAR,2150.0,378.88,sabre,20180815
37550,LH1181-LH1050-LH2229-LH1794,15_3,OPOPAR,2300.0,378.88,sabre,20180815
37551,LH1181-LH1046-LH2227-LH1794,15_3,OPOPAR,2315.0,378.88,sabre,20180815
37552,LH1181-LH1050-LH2227-LH1794,15_3,OPOPAR,2495.0,378.88,sabre,20180815
37553,UX1146-UX1029-UX1028-UX1143,15_3,OPOPAR,615.0,379.08,sabre,20180815
37554,UX1146-UX1025-UX1028-UX1143,15_3,OPOPAR,810.0,379.08,sabre,20180815
37555,LH1795-LH2228-LH2237-LH1794,15_3,OPOPAR,2335.0,379.4,sabre,20180815
37556,UX1146-UX1029-UX3444-UX1143,15_3,OPOPAR,820.0,380.22,sabre,20180815
37557,UX1146-UX1025-UX3444-UX1143,15_3,OPOPAR,1015.0,380.22,sabre,20180815
37558,IB5078-IB3743-IB3090,15_3,OPOPAR,1605.0,381.84,sabre,20180815
37559,LH1179-LH1026-LH2235-LH1794,15_3,OPOPAR,1995.0,384.11,sabre,20180815
