,itinerary,ap_los,ond,travel_time,fare,provider,search_date
55403,ZI0868-ZI0263,8_7,ORNPAR,290.0,412.87,sabre,20180815
55404,ZI0462-ZI0263,8_7,ORNPAR,290.0,412.87,sabre,20180815
55405,ZI0264-ZI0263,8_7,ORNPAR,290.0,443.87,sabre,20180815
55406,VY7481-VY8036-VY8019-VY7480,8_7,ORNPAR,845.0,920.01,sabre,20180815
55407,VY7481-VY8012-VY8019-VY7480,8_7,ORNPAR,905.0,920.01,sabre,20180815
55408,VY7481-VY8036-VY8031-VY7480,8_7,ORNPAR,935.0,920.01,sabre,20180815
55409,VY7481-VY8242-VY8019-VY7480,8_7,ORNPAR,935.0,920.01,sabre,20180815
55410,VY7481-VY8024-VY8019-VY7480,8_7,ORNPAR,980.0,920.01,sabre,20180815
55411,VY7481-VY8012-VY8031-VY7480,8_7,ORNPAR,995.0,920.01,sabre,20180815
55412,VY7481-VY8242-VY8031-VY7480,8_7,ORNPAR,1025.0,920.01,sabre,20180815
55413,VY7481-VY8008-VY8019-VY7480,8_7,ORNPAR,1065.0,920.01,sabre,20180815
55414,VY7481-VY8024-VY8031-VY7480,8_7,ORNPAR,1070.0,920.01,sabre,20180815
55415,VY7481-VY8016-VY8019-VY7480,8_7,ORNPAR,1150.0,920.01,sabre,20180815
55416,VY7481-VY8008-VY8031-VY7480,8_7,ORNPAR,1155.0,920.01,sabre,20180815
55417,VY7481-VY8036-VY8015-VY7480,8_7,ORNPAR,1205.0,920.01,sabre,20180815
55418,VY7481-VY8016-VY8031-VY7480,8_7,ORNPAR,1240.0,920.01,sabre,20180815
55419,VY7481-VY8012-VY8015-VY7480,8_7,ORNPAR,1265.0,920.01,sabre,20180815
55420,VY7481-VY8036-VY8013-VY7480,8_7,ORNPAR,1280.0,920.01,sabre,20180815
55421,VY7481-VY8242-VY8015-VY7480,8_7,ORNPAR,1295.0,920.01,sabre,20180815
55422,VY7481-VY8036-VY8037-VY7480,8_7,ORNPAR,1305.0,920.01,sabre,20180815
55423,VY7481-VY8024-VY8015-VY7480,8_7,ORNPAR,1340.0,920.01,sabre,20180815
55424,VY7481-VY8012-VY8013-VY7480,8_7,ORNPAR,1340.0,920.01,sabre,20180815
55425,VY7481-VY8012-VY8037-VY7480,8_7,ORNPAR,1365.0,920.01,sabre,20180815
55426,VY7481-VY8242-VY8013-VY7480,8_7,ORNPAR,1370.0,920.01,sabre,20180815
55427,VY7481-VY8242-VY8037-VY7480,8_7,ORNPAR,1395.0,920.01,sabre,20180815
55428,VY7481-VY8036-VY8007-VY7480,8_7,ORNPAR,1415.0,920.01,sabre,20180815
55429,VY7481-VY8024-VY8013-VY7480,8_7,ORNPAR,1415.0,920.01,sabre,20180815
55430,VY7481-VY8008-VY8015-VY7480,8_7,ORNPAR,1425.0,920.01,sabre,20180815
55431,VY7481-VY8024-VY8037-VY7480,8_7,ORNPAR,1440.0,920.01,sabre,20180815
55432,VY7481-VY8012-VY8007-VY7480,8_7,ORNPAR,1475.0,920.01,sabre,20180815
55433,VY7481-VY8008-VY8013-VY7480,8_7,ORNPAR,1500.0,920.01,sabre,20180815
55434,VY7481-VY8242-VY8007-VY7480,8_7,ORNPAR,1505.0,920.01,sabre,20180815
55435,VY7481-VY8016-VY8015-VY7480,8_7,ORNPAR,1510.0,920.01,sabre,20180815
55436,VY7481-VY8008-VY8037-VY7480,8_7,ORNPAR,1525.0,920.01,sabre,20180815
55437,VY7481-VY8024-VY8007-VY7480,8_7,ORNPAR,1550.0,920.01,sabre,20180815
55438,VY7481-VY8016-VY8013-VY7480,8_7,ORNPAR,1585.0,920.01,sabre,20180815
55439,VY7481-VY8016-VY8037-VY7480,8_7,ORNPAR,1610.0,920.01,sabre,20180815
55440,VY7481-VY8008-VY8007-VY7480,8_7,ORNPAR,1635.0,920.01,sabre,20180815
55441,VY7481-VY8016-VY8007-VY7480,8_7,ORNPAR,1720.0,920.01,sabre,20180815
55442,VY7481-VY8036-VY8017-VY7480,8_7,ORNPAR,1035.0,940.01,sabre,20180815
55443,VY7481-VY8012-VY8017-VY7480,8_7,ORNPAR,1095.0,940.01,sabre,20180815
55444,VY7481-VY8242-VY8017-VY7480,8_7,ORNPAR,1125.0,940.01,sabre,20180815
55445,VY7481-VY8024-VY8017-VY7480,8_7,ORNPAR,1170.0,940.01,sabre,20180815
55446,VY7481-VY8008-VY8017-VY7480,8_7,ORNPAR,1255.0,940.01,sabre,20180815
55447,VY7481-VY8016-VY8017-VY7480,8_7,ORNPAR,1340.0,940.01,sabre,20180815
55448,VY7481-VY8036-VY8243-VY7480,8_7,ORNPAR,1245.0,941.15,sabre,20180815
55449,VY7481-VY8012-VY8243-VY7480,8_7,ORNPAR,1305.0,941.15,sabre,20180815
55450,VY7481-VY8242-VY8243-VY7480,8_7,ORNPAR,1335.0,941.15,sabre,20180815
