,itinerary,ap_los,ond,travel_time,fare,provider,search_date
40291,LX0645-LX1484-LX1499-LX0632,8_2,PARPRG,1565.0,245.32,sabre,20180815
40292,LX0657-LX1484-LX1499-LX0632,8_2,PARPRG,1685.0,245.32,sabre,20180815
40293,LX0639-LX1484-LX1499-LX0632,8_2,PARPRG,1910.0,245.32,sabre,20180815
40294,LH2229-LH1692-LX1499-LX0632,8_2,PARPRG,1005.0,249.76,sabre,20180815
40296,LH2227-LH1692-LX1499-LX0632,8_2,PARPRG,1200.0,249.76,sabre,20180815
40298,LH1029-LH1396-LX1499-LX0632,8_2,PARPRG,965.0,252.44,sabre,20180815
40300,LH1051-LH1394-LX1499-LX0632,8_2,PARPRG,985.0,252.44,sabre,20180815
40302,LH1047-LH1402-LX1499-LX0632,8_2,PARPRG,1010.0,252.44,sabre,20180815
40304,LH1053-LH1392-LX1499-LX0632,8_2,PARPRG,1015.0,252.44,sabre,20180815
40306,LH1027-LH1396-LX1499-LX0632,8_2,PARPRG,1035.0,252.44,sabre,20180815
40308,LH1041-LH1402-LX1499-LX0632,8_2,PARPRG,1070.0,252.44,sabre,20180815
40310,LH1053-LH1394-LX1499-LX0632,8_2,PARPRG,1080.0,252.44,sabre,20180815
40312,LH1051-LH1396-LX1499-LX0632,8_2,PARPRG,1130.0,252.44,sabre,20180815
40314,LH1031-LH1400-LX1499-LX0632,8_2,PARPRG,1155.0,252.44,sabre,20180815
40316,LH1029-LH1400-LX1499-LX0632,8_2,PARPRG,1205.0,252.44,sabre,20180815
40318,LH1053-LH1396-LX1499-LX0632,8_2,PARPRG,1225.0,252.44,sabre,20180815
40320,LH1027-LH1400-LX1499-LX0632,8_2,PARPRG,1275.0,252.44,sabre,20180815
40322,LH2227-LH1690-LX1499-LX0632,8_2,PARPRG,995.0,259.76,sabre,20180815
40324,LH2231-LH1694-LX1499-LX0632,8_2,PARPRG,1120.0,259.76,sabre,20180815
40326,LH2229-LH1694-LX1499-LX0632,8_2,PARPRG,1270.0,259.76,sabre,20180815
40328,LX0633-LX1486-LX1499-LX0632,8_2,PARPRG,1030.0,265.32,sabre,20180815
40330,LX0647-LX1486-LX1499-LX0632,8_2,PARPRG,1175.0,265.32,sabre,20180815
40332,OK4765-OK0758,8_2,PARPRG,210.0,273.06,sabre,20180815
40334,OK0767-OK0758,8_2,PARPRG,210.0,273.06,sabre,20180815
