,itinerary,ap_los,ond,travel_time,fare,provider,search_date
7624,AF0792-AF0604-AF0847,15_3,PARPTP,1375.0,597.64,sabre,20180815
7626,AF0792-AF4563-AF0841,15_3,PARPTP,2375.0,597.64,sabre,20180815
7628,AF0792-AF4578-AF0841,15_3,PARPTP,2405.0,597.64,sabre,20180815
7630,AF0842-AF4562-AF0604-AF0847,15_3,PARPTP,1490.0,616.58,sabre,20180815
7632,AF0848-AF4559-AF0604-AF0847,15_3,PARPTP,1525.0,616.58,sabre,20180815
7634,AF0848-AF0607-AF0604-AF0847,15_3,PARPTP,1630.0,616.58,sabre,20180815
7636,AF0842-AF4571-AF0604-AF0847,15_3,PARPTP,1640.0,616.58,sabre,20180815
7638,AF0842-AF4559-AF0604-AF0847,15_3,PARPTP,1700.0,616.58,sabre,20180815
7640,AF0842-AF0607-AF0604-AF0847,15_3,PARPTP,1805.0,616.58,sabre,20180815
7642,AF0848-AF4564-AF0604-AF0847,15_3,PARPTP,2140.0,616.58,sabre,20180815
7644,AF0848-AF4598-AF0604-AF0847,15_3,PARPTP,2215.0,616.58,sabre,20180815
7646,AF0848-AF4584-AF0604-AF0847,15_3,PARPTP,2275.0,616.58,sabre,20180815
7648,AF0842-AF4564-AF0604-AF0847,15_3,PARPTP,2315.0,616.58,sabre,20180815
7650,AF0842-AF4598-AF0604-AF0847,15_3,PARPTP,2390.0,616.58,sabre,20180815
7652,AF0842-AF4584-AF0604-AF0847,15_3,PARPTP,2450.0,616.58,sabre,20180815
7654,AF0848-AF4586-AF0604-AF0847,15_3,PARPTP,2455.0,616.58,sabre,20180815
7656,AF0842-AF4562-AF4563-AF0841,15_3,PARPTP,2490.0,616.58,sabre,20180815
7658,AF0842-AF4562-AF4578-AF0841,15_3,PARPTP,2520.0,616.58,sabre,20180815
7660,AF0848-AF4559-AF4563-AF0841,15_3,PARPTP,2525.0,616.58,sabre,20180815
7662,AF0848-AF4559-AF4578-AF0841,15_3,PARPTP,2555.0,616.58,sabre,20180815
7664,AF0848-AF0606-AF0604-AF0847,15_3,PARPTP,2600.0,616.58,sabre,20180815
7666,AF0842-AF4586-AF0604-AF0847,15_3,PARPTP,2630.0,616.58,sabre,20180815
7668,AF0848-AF0607-AF4563-AF0841,15_3,PARPTP,2630.0,616.58,sabre,20180815
7670,AF0848-AF4595-AF0604-AF0847,15_3,PARPTP,2635.0,616.58,sabre,20180815
7672,AF0842-AF4571-AF4563-AF0841,15_3,PARPTP,2640.0,616.58,sabre,20180815
7674,AF0848-AF0607-AF4578-AF0841,15_3,PARPTP,2660.0,616.58,sabre,20180815
7676,AF0842-AF4571-AF4578-AF0841,15_3,PARPTP,2670.0,616.58,sabre,20180815
7678,AF0842-AF4559-AF4563-AF0841,15_3,PARPTP,2700.0,616.58,sabre,20180815
7680,AF0842-AF4559-AF4578-AF0841,15_3,PARPTP,2730.0,616.58,sabre,20180815
7682,AF0848-AF4562-AF0604-AF0847,15_3,PARPTP,2755.0,616.58,sabre,20180815
7684,AF0842-AF0606-AF0604-AF0847,15_3,PARPTP,2775.0,616.58,sabre,20180815
7686,AF0842-AF0607-AF4563-AF0841,15_3,PARPTP,2805.0,616.58,sabre,20180815
7688,AF0842-AF4595-AF0604-AF0847,15_3,PARPTP,2810.0,616.58,sabre,20180815
7690,AF0842-AF0607-AF4578-AF0841,15_3,PARPTP,2835.0,616.58,sabre,20180815
7692,AF0848-AF4564-AF4563-AF0841,15_3,PARPTP,3140.0,616.58,sabre,20180815
7694,AF0848-AF4564-AF4578-AF0841,15_3,PARPTP,3170.0,616.58,sabre,20180815
7696,AF0848-AF4598-AF4563-AF0841,15_3,PARPTP,3215.0,616.58,sabre,20180815
7698,AF0848-AF4598-AF4578-AF0841,15_3,PARPTP,3245.0,616.58,sabre,20180815
7700,AF0848-AF4584-AF4563-AF0841,15_3,PARPTP,3275.0,616.58,sabre,20180815
7702,TX0544-TX0541,15_3,PARPTP,1005.0,619.98,sabre,20180815
7704,TX0540-TX0541,15_3,PARPTP,1010.0,619.98,sabre,20180815
7706,TX0542-TX0541,15_3,PARPTP,1010.0,619.98,sabre,20180815
7708,TX0544-TX0545,15_3,PARPTP,1015.0,619.98,sabre,20180815
7710,TX0540-TX0545,15_3,PARPTP,1020.0,619.98,sabre,20180815
7712,TX0542-TX0545,15_3,PARPTP,1020.0,619.98,sabre,20180815
7714,SS0926-SS4219-SS0925,15_3,PARPTP,2485.0,630.64,sabre,20180815
7716,SS3544-SS4219-SS0925,15_3,PARPTP,2495.0,635.64,sabre,20180815
7718,SS3540-SS4219-SS0925,15_3,PARPTP,2500.0,635.64,sabre,20180815
7720,SS3542-SS4219-SS0925,15_3,PARPTP,2500.0,635.64,sabre,20180815
7722,TX0544-TX0309-TX0515,15_3,PARPTP,1155.0,636.64,sabre,20180815
7724,TX0544-TX0303-TX0517,15_3,PARPTP,1155.0,636.64,sabre,20180815
7726,TX0540-TX0303-TX0517,15_3,PARPTP,1160.0,636.64,sabre,20180815
7728,TX0540-TX0309-TX0515,15_3,PARPTP,1160.0,636.64,sabre,20180815
7730,TX0542-TX0309-TX0515,15_3,PARPTP,1160.0,636.64,sabre,20180815
7731,TX0542-TX0303-TX0517,15_3,PARPTP,1160.0,636.64,sabre,20180815
7732,TX0544-TX0307-TX0515,15_3,PARPTP,1245.0,636.64,sabre,20180815
7733,TX0544-TX0409-TX0517,15_3,PARPTP,1245.0,636.64,sabre,20180815
7734,TX0540-TX0307-TX0515,15_3,PARPTP,1250.0,636.64,sabre,20180815
7735,TX0540-TX0409-TX0517,15_3,PARPTP,1250.0,636.64,sabre,20180815
7736,TX0544-TX0303-TX0511,15_3,PARPTP,1250.0,636.64,sabre,20180815
7737,TX0542-TX0307-TX0515,15_3,PARPTP,1250.0,636.64,sabre,20180815
7738,TX0542-TX0409-TX0517,15_3,PARPTP,1250.0,636.64,sabre,20180815
7739,TX0540-TX0303-TX0511,15_3,PARPTP,1255.0,636.64,sabre,20180815
7740,TX0542-TX0303-TX0511,15_3,PARPTP,1255.0,636.64,sabre,20180815
7741,TX0544-TX0407-TX0517,15_3,PARPTP,1335.0,636.64,sabre,20180815
7742,TX0540-TX0407-TX0517,15_3,PARPTP,1340.0,636.64,sabre,20180815
7743,TX0544-TX0409-TX0511,15_3,PARPTP,1340.0,636.64,sabre,20180815
7744,TX0542-TX0407-TX0517,15_3,PARPTP,1340.0,636.64,sabre,20180815
7745,TX0540-TX0409-TX0511,15_3,PARPTP,1345.0,636.64,sabre,20180815
7746,TX0542-TX0409-TX0511,15_3,PARPTP,1345.0,636.64,sabre,20180815
7747,TX0544-TX0303-TX0515,15_3,PARPTP,1425.0,636.64,sabre,20180815
7748,TX0540-TX0303-TX0515,15_3,PARPTP,1430.0,636.64,sabre,20180815
7749,TX0544-TX0407-TX0511,15_3,PARPTP,1430.0,636.64,sabre,20180815
7750,TX0542-TX0303-TX0515,15_3,PARPTP,1430.0,636.64,sabre,20180815
7751,TX0540-TX0407-TX0511,15_3,PARPTP,1435.0,636.64,sabre,20180815
7752,TX0542-TX0407-TX0511,15_3,PARPTP,1435.0,636.64,sabre,20180815
7753,TX0544-TX0405-TX0517,15_3,PARPTP,1455.0,636.64,sabre,20180815
7754,TX0540-TX0405-TX0517,15_3,PARPTP,1460.0,636.64,sabre,20180815
7755,TX0542-TX0405-TX0517,15_3,PARPTP,1460.0,636.64,sabre,20180815
7756,TX0544-TX0409-TX0515,15_3,PARPTP,1515.0,636.64,sabre,20180815
7757,TX0544-TX0403-TX0517,15_3,PARPTP,1515.0,636.64,sabre,20180815
7758,TX0540-TX0409-TX0515,15_3,PARPTP,1520.0,636.64,sabre,20180815
7759,TX0540-TX0403-TX0517,15_3,PARPTP,1520.0,636.64,sabre,20180815
7760,TX0542-TX0409-TX0515,15_3,PARPTP,1520.0,636.64,sabre,20180815
7761,TX0542-TX0403-TX0517,15_3,PARPTP,1520.0,636.64,sabre,20180815
7762,TX0544-TX0405-TX0511,15_3,PARPTP,1550.0,636.64,sabre,20180815
7763,TX0540-TX0405-TX0511,15_3,PARPTP,1555.0,636.64,sabre,20180815
7764,TX0542-TX0405-TX0511,15_3,PARPTP,1555.0,636.64,sabre,20180815
7765,TX0544-TX0407-TX0515,15_3,PARPTP,1605.0,636.64,sabre,20180815
7766,TX0540-TX0407-TX0515,15_3,PARPTP,1610.0,636.64,sabre,20180815
7767,TX0544-TX0403-TX0511,15_3,PARPTP,1610.0,636.64,sabre,20180815
7768,TX0542-TX0407-TX0515,15_3,PARPTP,1610.0,636.64,sabre,20180815
7769,TX0540-TX0403-TX0511,15_3,PARPTP,1615.0,636.64,sabre,20180815
7770,TX0542-TX0403-TX0511,15_3,PARPTP,1615.0,636.64,sabre,20180815
7771,TX0544-TX0405-TX0515,15_3,PARPTP,1725.0,636.64,sabre,20180815
7772,TX0540-TX0405-TX0515,15_3,PARPTP,1730.0,636.64,sabre,20180815
7773,TX0542-TX0405-TX0515,15_3,PARPTP,1730.0,636.64,sabre,20180815
7774,TX0544-TX0403-TX0515,15_3,PARPTP,1785.0,636.64,sabre,20180815
7775,TX0540-TX0403-TX0515,15_3,PARPTP,1790.0,636.64,sabre,20180815
7776,TX0542-TX0403-TX0515,15_3,PARPTP,1790.0,636.64,sabre,20180815
7777,TX0544-TX0543,15_3,PARPTP,1015.0,649.98,sabre,20180815
7778,TX0540-TX0543,15_3,PARPTP,1020.0,649.98,sabre,20180815
7779,TX0542-TX0543,15_3,PARPTP,1020.0,649.98,sabre,20180815
7780,AF0792-AF4563-AF0847,15_3,PARPTP,1115.0,657.64,sabre,20180815
7781,AF0792-AF4578-AF0847,15_3,PARPTP,1145.0,657.64,sabre,20180815
7782,AF0792-AF0604-AF0841,15_3,PARPTP,1195.0,657.64,sabre,20180815
7783,AF0792-AF4587-AF0847,15_3,PARPTP,1280.0,657.64,sabre,20180815
7784,AF0792-AF4576-AF0841,15_3,PARPTP,1340.0,657.64,sabre,20180815
7785,AF0792-AF4567-AF0841,15_3,PARPTP,1445.0,657.64,sabre,20180815
7786,AF0792-AF4576-AF0847,15_3,PARPTP,1520.0,657.64,sabre,20180815
7787,AF0792-AF4567-AF0847,15_3,PARPTP,1625.0,657.64,sabre,20180815
7788,AF0792-AF4554-AF0841,15_3,PARPTP,1625.0,657.64,sabre,20180815
7789,AF0792-AF4554-AF0847,15_3,PARPTP,1805.0,657.64,sabre,20180815
7790,TX5926-TX0541,15_3,PARPTP,995.0,659.98,sabre,20180815
7791,TX5926-TX0545,15_3,PARPTP,1005.0,659.98,sabre,20180815
7792,AF0842-AF4562-AF4563-AF0847,15_3,PARPTP,1230.0,676.58,sabre,20180815
7793,AF0842-AF4562-AF4578-AF0847,15_3,PARPTP,1260.0,676.58,sabre,20180815
7794,AF0848-AF4559-AF4563-AF0847,15_3,PARPTP,1265.0,676.58,sabre,20180815
7795,AF0848-AF4559-AF4578-AF0847,15_3,PARPTP,1295.0,676.58,sabre,20180815
7796,AF0842-AF4562-AF0604-AF0841,15_3,PARPTP,1310.0,676.58,sabre,20180815
7797,AF0848-AF4559-AF0604-AF0841,15_3,PARPTP,1345.0,676.58,sabre,20180815
7798,AF0848-AF0607-AF4563-AF0847,15_3,PARPTP,1370.0,676.58,sabre,20180815
7799,AF0842-AF4571-AF4563-AF0847,15_3,PARPTP,1380.0,676.58,sabre,20180815
7800,AF0842-AF4562-AF4587-AF0847,15_3,PARPTP,1395.0,676.58,sabre,20180815
7801,AF0848-AF0607-AF4578-AF0847,15_3,PARPTP,1400.0,676.58,sabre,20180815
7802,AF0842-AF4571-AF4578-AF0847,15_3,PARPTP,1410.0,676.58,sabre,20180815
7803,AF0848-AF4559-AF4587-AF0847,15_3,PARPTP,1430.0,676.58,sabre,20180815
7804,AF0842-AF4559-AF4563-AF0847,15_3,PARPTP,1440.0,676.58,sabre,20180815
7805,AF0848-AF0607-AF0604-AF0841,15_3,PARPTP,1450.0,676.58,sabre,20180815
7806,AF0842-AF4562-AF4576-AF0841,15_3,PARPTP,1455.0,676.58,sabre,20180815
7807,AF0842-AF4571-AF0604-AF0841,15_3,PARPTP,1460.0,676.58,sabre,20180815
7808,AF0842-AF4559-AF4578-AF0847,15_3,PARPTP,1470.0,676.58,sabre,20180815
7809,AF0848-AF4559-AF4576-AF0841,15_3,PARPTP,1490.0,676.58,sabre,20180815
7810,AF0842-AF4559-AF0604-AF0841,15_3,PARPTP,1520.0,676.58,sabre,20180815
7811,AF0848-AF0607-AF4587-AF0847,15_3,PARPTP,1535.0,676.58,sabre,20180815
7812,AF0842-AF4571-AF4587-AF0847,15_3,PARPTP,1545.0,676.58,sabre,20180815
7813,AF0842-AF0607-AF4563-AF0847,15_3,PARPTP,1545.0,676.58,sabre,20180815
7814,AF0842-AF0607-AF4578-AF0847,15_3,PARPTP,1575.0,676.58,sabre,20180815
7815,AF0842-AF4571-AF4576-AF0841,15_3,PARPTP,1605.0,676.58,sabre,20180815
7816,AF0842-AF4559-AF4587-AF0847,15_3,PARPTP,1605.0,676.58,sabre,20180815
7817,AF0842-AF0607-AF0604-AF0841,15_3,PARPTP,1625.0,676.58,sabre,20180815
7818,AF0842-AF4559-AF4576-AF0841,15_3,PARPTP,1665.0,676.58,sabre,20180815
7819,AF0842-AF0607-AF4587-AF0847,15_3,PARPTP,1710.0,676.58,sabre,20180815
7820,AF0842-AF4571-AF4567-AF0841,15_3,PARPTP,1710.0,676.58,sabre,20180815
7821,AF0792-AF0797,15_3,PARPTP,995.0,684.98,sabre,20180815
7822,SS0926-SS4217-SS0925,15_3,PARPTP,1185.0,685.64,sabre,20180815
7823,SS0926-SS4215-SS0925,15_3,PARPTP,1425.0,685.64,sabre,20180815
7824,SS0926-SS4211-SS0925,15_3,PARPTP,1530.0,685.64,sabre,20180815
