,itinerary,ap_los,ond,travel_time,fare,provider,search_date
46006,AF5437-AF5420,8_2,PARPUF,160.0,292.67,sabre,20180815
46007,AF7450-AF7453,8_2,PARPUF,160.0,292.86,sabre,20180815
46008,AF7456-AF7453,8_2,PARPUF,160.0,292.86,sabre,20180815
46009,AF7462-AF7453,8_2,PARPUF,160.0,292.86,sabre,20180815
46010,AF7450-AF7457,8_2,PARPUF,165.0,292.86,sabre,20180815
46011,AF7452-AF7453,8_2,PARPUF,165.0,292.86,sabre,20180815
46012,AF7456-AF7457,8_2,PARPUF,165.0,292.86,sabre,20180815
46013,AF7462-AF7457,8_2,PARPUF,165.0,292.86,sabre,20180815
46014,AF7450-AF7537,8_2,PARPUF,170.0,292.86,sabre,20180815
46015,AF7452-AF7457,8_2,PARPUF,170.0,292.86,sabre,20180815
46016,AF7456-AF7537,8_2,PARPUF,170.0,292.86,sabre,20180815
46017,AF7462-AF7537,8_2,PARPUF,170.0,292.86,sabre,20180815
46018,AF7450-AF7533,8_2,PARPUF,175.0,292.86,sabre,20180815
46019,AF7452-AF7537,8_2,PARPUF,175.0,292.86,sabre,20180815
46020,AF7456-AF7533,8_2,PARPUF,175.0,292.86,sabre,20180815
46021,AF7462-AF7533,8_2,PARPUF,175.0,292.86,sabre,20180815
46022,AF7452-AF7533,8_2,PARPUF,180.0,292.86,sabre,20180815
46023,AF7536-AF7453,8_2,PARPUF,165.0,294.11,sabre,20180815
46024,AF7536-AF7457,8_2,PARPUF,170.0,294.11,sabre,20180815
46025,AF7536-AF7537,8_2,PARPUF,175.0,294.11,sabre,20180815
46026,AF7536-AF7533,8_2,PARPUF,180.0,294.11,sabre,20180815
46027,AF7450-AF7535,8_2,PARPUF,175.0,312.86,sabre,20180815
46028,AF7456-AF7535,8_2,PARPUF,175.0,312.86,sabre,20180815
46029,AF7462-AF7535,8_2,PARPUF,175.0,312.86,sabre,20180815
46030,AF7452-AF7535,8_2,PARPUF,180.0,312.86,sabre,20180815
46031,AF7534-AF7453,8_2,PARPUF,175.0,314.11,sabre,20180815
46032,AF7532-AF7453,8_2,PARPUF,175.0,314.11,sabre,20180815
46033,AF7536-AF7535,8_2,PARPUF,180.0,314.11,sabre,20180815
46034,AF7534-AF7457,8_2,PARPUF,180.0,314.11,sabre,20180815
46035,AF7532-AF7457,8_2,PARPUF,180.0,314.11,sabre,20180815
46036,AF7534-AF7537,8_2,PARPUF,185.0,314.11,sabre,20180815
46037,AF7532-AF7537,8_2,PARPUF,185.0,314.11,sabre,20180815
46038,AF7534-AF7533,8_2,PARPUF,190.0,314.11,sabre,20180815
46039,AF7532-AF7533,8_2,PARPUF,190.0,314.11,sabre,20180815
46040,AF5430-AF5420,8_2,PARPUF,160.0,322.67,sabre,20180815
46041,AF7534-AF7535,8_2,PARPUF,190.0,334.11,sabre,20180815
46042,AF7532-AF7535,8_2,PARPUF,190.0,334.11,sabre,20180815
46043,AF5425-AF5420,8_2,PARPUF,160.0,352.67,sabre,20180815
46044,AF5437-AF5429,8_2,PARPUF,160.0,352.67,sabre,20180815
46045,AF5430-AF5429,8_2,PARPUF,160.0,382.67,sabre,20180815
46046,AF7644-AF5433-AF7453,8_2,PARPUF,510.0,401.7,sabre,20180815
46047,AF7644-AF5433-AF7457,8_2,PARPUF,515.0,401.7,sabre,20180815
46048,AF7644-AF5433-AF7537,8_2,PARPUF,520.0,401.7,sabre,20180815
46049,AF7644-AF5433-AF7533,8_2,PARPUF,525.0,401.7,sabre,20180815
46050,AF7648-AF5427-AF7453,8_2,PARPUF,860.0,406.59,sabre,20180815
46051,AF7648-AF5427-AF7457,8_2,PARPUF,865.0,406.59,sabre,20180815
46052,AF7648-AF5427-AF7537,8_2,PARPUF,870.0,406.59,sabre,20180815
46053,AF7648-AF5427-AF7533,8_2,PARPUF,875.0,406.59,sabre,20180815
46054,AF7644-AF5427-AF7453,8_2,PARPUF,1280.0,406.59,sabre,20180815
46055,AF7644-AF5427-AF7457,8_2,PARPUF,1285.0,406.59,sabre,20180815
46056,AF7644-AF5427-AF7537,8_2,PARPUF,1290.0,406.59,sabre,20180815
46057,AF7644-AF5427-AF7533,8_2,PARPUF,1295.0,406.59,sabre,20180815
46058,AF7648-AF5433-AF7453,8_2,PARPUF,1530.0,406.59,sabre,20180815
46059,AF7648-AF5433-AF7457,8_2,PARPUF,1535.0,406.59,sabre,20180815
46060,AF7648-AF5433-AF7537,8_2,PARPUF,1540.0,406.59,sabre,20180815
