,itinerary,ap_los,ond,travel_time,fare,provider,search_date
49333,LX0647-LX8034-LX8035-LX0644,22_14,PARPUJ,2110.0,532.4,sabre,20180815
49334,LX0647-LX8034-LX8035-LX0632,22_14,PARPUJ,2885.0,532.4,sabre,20180815
49335,UX1028-UX0033-UX0034-UX1027,22_14,PARPUJ,2720.0,537.01,sabre,20180815
49336,UX1020-UX0033-UX0034-UX1027,22_14,PARPUJ,2905.0,537.01,sabre,20180815
49337,AF0741-AF0741,22_14,PARPUJ,1205.0,548.8,sabre,20180815
49338,AA0787-AA1965-AA1965-AA0732-AA6257,22_14,PARPUJ,3274.0,578.82,sabre,20180815
49339,AA0063-AA1502-AA1965-AA0732-AA6257,22_14,PARPUJ,3310.0,578.82,sabre,20180815
49340,AA0063-AA2468-AA1965-AA0732-AA6257,22_14,PARPUJ,3400.0,578.82,sabre,20180815
49341,AA0755-AA0845-AA1965-AA0732-AA6257,22_14,PARPUJ,3481.0,578.82,sabre,20180815
49342,AA0787-AA1682-AA1502-AA1965-AA0732-AA6257,22_14,PARPUJ,3245.0,578.82,sabre,20180815
49343,AA0787-AA2700-AA1502-AA1965-AA0732-AA6257,22_14,PARPUJ,3245.0,578.82,sabre,20180815
49344,AA0787-AA1682-AA2468-AA1965-AA0732-AA6257,22_14,PARPUJ,3335.0,578.82,sabre,20180815
49345,AA0787-AA1965-AA2468-AA6161-AA6257,22_14,PARPUJ,3233.0,580.13,sabre,20180815
49346,AA0787-AA1965-AA0845-AA0728-AA6257,22_14,PARPUJ,3241.0,580.13,sabre,20180815
49347,AA0063-AA1502-AA2468-AA6161-AA6257,22_14,PARPUJ,3269.0,580.13,sabre,20180815
49348,AA0063-AA1502-AA0845-AA0728-AA6257,22_14,PARPUJ,3277.0,580.13,sabre,20180815
49349,AA0063-AA2468-AA2468-AA6161-AA6257,22_14,PARPUJ,3359.0,580.13,sabre,20180815
49350,AA0063-AA2468-AA0845-AA0728-AA6257,22_14,PARPUJ,3367.0,580.13,sabre,20180815
49351,AA0755-AA0845-AA2468-AA6161-AA6257,22_14,PARPUJ,3440.0,580.13,sabre,20180815
49352,AA0755-AA0845-AA0845-AA0728-AA6257,22_14,PARPUJ,3448.0,580.13,sabre,20180815
49353,AA0787-AA1682-AA1502-AA2468-AA6161-AA6257,22_14,PARPUJ,3204.0,580.13,sabre,20180815
49354,AA0787-AA2700-AA1502-AA2468-AA6161-AA6257,22_14,PARPUJ,3204.0,580.13,sabre,20180815
49355,AA0787-AA1682-AA1502-AA0845-AA0728-AA6257,22_14,PARPUJ,3212.0,580.13,sabre,20180815
49356,AA0787-AA2700-AA1502-AA0845-AA0728-AA6257,22_14,PARPUJ,3212.0,580.13,sabre,20180815
49357,AA0787-AA1682-AA2468-AA2468-AA6161-AA6257,22_14,PARPUJ,3294.0,580.13,sabre,20180815
49358,AA0787-AA1682-AA2468-AA0845-AA0728-AA6257,22_14,PARPUJ,3302.0,580.13,sabre,20180815
49359,LX0647-LX8034-LX8035-LX0638,22_14,PARPUJ,1740.0,587.4,sabre,20180815
49360,LX0647-LX8034-LX8035-LX0656,22_14,PARPUJ,1990.0,587.4,sabre,20180815
49361,LX0647-LX8034-LX8035-LX0646,22_14,PARPUJ,2230.0,587.4,sabre,20180815
49362,AC0871-AC1986-AC1713-AC0842-EI0526,22_14,PARPUJ,2955.0,589.33,sabre,20180815
49363,AC0881-AC1712-AC1713-AC0842-EI0526,22_14,PARPUJ,3035.0,592.36,sabre,20180815
49364,AC0881-AC0424-AC1986-AC1713-AC0842-EI0526,22_14,PARPUJ,2830.0,592.36,sabre,20180815
49365,AC0881-AC0426-AC1986-AC1713-AC0842-EI0526,22_14,PARPUJ,2830.0,592.36,sabre,20180815
49366,AC0881-AC0428-AC1986-AC1713-AC0842-EI0526,22_14,PARPUJ,2830.0,592.36,sabre,20180815
49367,AC0881-AC0430-AC1986-AC1713-AC0842-EI0526,22_14,PARPUJ,2830.0,592.36,sabre,20180815
49368,AC0881-AC0834-AC1986-AC1713-AC0842-EI0526,22_14,PARPUJ,2830.0,592.36,sabre,20180815
49369,AC0881-AC7562-AC1986-AC1713-AC0842-EI0526,22_14,PARPUJ,2830.0,592.36,sabre,20180815
