,itinerary,ap_los,ond,travel_time,fare,provider,search_date
32815,IB3417-IB3340-IB5763-IB5272,8_2,PARRAK,745.0,556.42,sabre,20180815
32816,IB3417-IB3340-IB5763-IB5294,8_2,PARRAK,895.0,556.42,sabre,20180815
32817,IB3417-IB3340-IB5763-IB5276,8_2,PARRAK,1060.0,556.42,sabre,20180815
32818,IB3417-IB3340-IB5763-IB5278,8_2,PARRAK,1135.0,556.42,sabre,20180815
32820,IB3417-IB3340-IB5763-IB5268,8_2,PARRAK,1760.0,563.54,sabre,20180815
32822,IB3417-IB3340-IB5763-IB5292,8_2,PARRAK,1790.0,563.54,sabre,20180815
32824,IB3417-IB3340-IB5763-IB5270,8_2,PARRAK,2005.0,563.54,sabre,20180815
32826,IB3445-IB3340-IB5763-IB5272,8_2,PARRAK,1515.0,566.4,sabre,20180815
32828,IB3443-IB3340-IB5763-IB5272,8_2,PARRAK,1610.0,566.4,sabre,20180815
32830,IB3445-IB3340-IB5763-IB5294,8_2,PARRAK,1665.0,566.4,sabre,20180815
32832,IB3443-IB3340-IB5763-IB5294,8_2,PARRAK,1760.0,566.4,sabre,20180815
32834,IB3405-IB3340-IB5763-IB5272,8_2,PARRAK,1770.0,566.4,sabre,20180815
32836,IB3445-IB3340-IB5763-IB5276,8_2,PARRAK,1830.0,566.4,sabre,20180815
32838,IB3435-IB3340-IB5763-IB5272,8_2,PARRAK,1890.0,566.4,sabre,20180815
32840,IB3445-IB3340-IB5763-IB5278,8_2,PARRAK,1905.0,566.4,sabre,20180815
32842,IB3405-IB3340-IB5763-IB5294,8_2,PARRAK,1920.0,566.4,sabre,20180815
32844,IB3443-IB3340-IB5763-IB5276,8_2,PARRAK,1925.0,566.4,sabre,20180815
32846,IB3443-IB3340-IB5763-IB5278,8_2,PARRAK,2000.0,566.4,sabre,20180815
32848,IB3403-IB3340-IB5763-IB5272,8_2,PARRAK,2040.0,566.4,sabre,20180815
32850,IB3435-IB3340-IB5763-IB5294,8_2,PARRAK,2040.0,566.4,sabre,20180815
32852,IB3405-IB3340-IB5763-IB5276,8_2,PARRAK,2085.0,566.4,sabre,20180815
32854,IB3405-IB3340-IB5763-IB5278,8_2,PARRAK,2160.0,566.4,sabre,20180815
32856,IB3403-IB3340-IB5763-IB5294,8_2,PARRAK,2190.0,566.4,sabre,20180815
32858,IB3435-IB3340-IB5763-IB5276,8_2,PARRAK,2205.0,566.4,sabre,20180815
32860,IB3435-IB3340-IB5763-IB5278,8_2,PARRAK,2280.0,566.4,sabre,20180815
32862,IB3403-IB3340-IB5763-IB5276,8_2,PARRAK,2355.0,566.4,sabre,20180815
32864,IB3403-IB3340-IB5763-IB5278,8_2,PARRAK,2430.0,566.4,sabre,20180815
32866,IB3445-IB3340-IB5763-IB5268,8_2,PARRAK,2530.0,573.52,sabre,20180815
32868,IB3445-IB3340-IB5763-IB5292,8_2,PARRAK,2560.0,573.52,sabre,20180815
32870,IB3443-IB3340-IB5763-IB5268,8_2,PARRAK,2625.0,573.52,sabre,20180815
32872,IB3443-IB3340-IB5763-IB5292,8_2,PARRAK,2655.0,573.52,sabre,20180815
32874,IB3445-IB3340-IB5763-IB5270,8_2,PARRAK,2775.0,573.52,sabre,20180815
32876,IB3405-IB3340-IB5763-IB5268,8_2,PARRAK,2785.0,573.52,sabre,20180815
32878,IB3405-IB3340-IB5763-IB5292,8_2,PARRAK,2815.0,573.52,sabre,20180815
32880,IB3443-IB3340-IB5763-IB5270,8_2,PARRAK,2870.0,573.52,sabre,20180815
32882,IB3435-IB3340-IB5763-IB5268,8_2,PARRAK,2905.0,573.52,sabre,20180815
32884,IB3435-IB3340-IB5763-IB5292,8_2,PARRAK,2935.0,573.52,sabre,20180815
32886,IB3405-IB3340-IB5763-IB5270,8_2,PARRAK,3030.0,573.52,sabre,20180815
32888,IB3403-IB3340-IB5763-IB5268,8_2,PARRAK,3055.0,573.52,sabre,20180815
32890,IB3403-IB3340-IB5763-IB5292,8_2,PARRAK,3085.0,573.52,sabre,20180815
32892,IB3435-IB3340-IB5763-IB5270,8_2,PARRAK,3150.0,573.52,sabre,20180815
32894,IB3403-IB3340-IB5763-IB5270,8_2,PARRAK,3300.0,573.52,sabre,20180815
32896,IB3741-IB3340-IB5763-IB5272,8_2,PARRAK,1415.0,575.54,sabre,20180815
32898,IB3741-IB3340-IB5763-IB5294,8_2,PARRAK,1565.0,575.54,sabre,20180815
32900,IB3741-IB3340-IB5763-IB5276,8_2,PARRAK,1730.0,575.54,sabre,20180815
32902,IB3741-IB3340-IB5763-IB5278,8_2,PARRAK,1805.0,575.54,sabre,20180815
32904,IB3417-IB3340-IB3343-IB3436,8_2,PARRAK,1325.0,580.29,sabre,20180815
32906,IB3741-IB3340-IB5763-IB5268,8_2,PARRAK,2430.0,582.66,sabre,20180815
32908,IB3741-IB3340-IB5763-IB5292,8_2,PARRAK,2460.0,582.66,sabre,20180815
32910,IB3741-IB3340-IB5763-IB5270,8_2,PARRAK,2675.0,582.66,sabre,20180815
32912,IB3445-IB3340-IB3343-IB3436,8_2,PARRAK,2095.0,590.27,sabre,20180815
32913,IB3443-IB3340-IB3343-IB3436,8_2,PARRAK,2190.0,590.27,sabre,20180815
32915,IB3405-IB3340-IB3343-IB3436,8_2,PARRAK,2350.0,590.27,sabre,20180815
32917,IB3435-IB3340-IB3343-IB3436,8_2,PARRAK,2470.0,590.27,sabre,20180815
32919,IB3403-IB3340-IB3343-IB3436,8_2,PARRAK,2620.0,590.27,sabre,20180815
32921,AT0643-AT0642,8_2,PARRAK,370.0,590.84,sabre,20180815
32923,AT0641-AT0642,8_2,PARRAK,370.0,590.84,sabre,20180815
32925,IB3741-IB3340-IB3343-IB3436,8_2,PARRAK,1995.0,599.41,sabre,20180815
32927,AT0643-AT0400-AT0760,8_2,PARRAK,465.0,603.17,sabre,20180815
32929,AT0643-AT0404-AT0770,8_2,PARRAK,465.0,603.17,sabre,20180815
32931,AT0641-AT0400-AT0760,8_2,PARRAK,465.0,603.17,sabre,20180815
32933,AT0641-AT0404-AT0770,8_2,PARRAK,465.0,603.17,sabre,20180815
32934,AT0643-AT0400-AT0778,8_2,PARRAK,485.0,603.17,sabre,20180815
32936,AT0641-AT0400-AT0778,8_2,PARRAK,485.0,603.17,sabre,20180815
32938,AT0643-AT0400-AT0752,8_2,PARRAK,495.0,603.17,sabre,20180815
32940,AT0641-AT0400-AT0752,8_2,PARRAK,495.0,603.17,sabre,20180815
32942,AT0643-AT0400-AT0774,8_2,PARRAK,605.0,603.17,sabre,20180815
32944,AT0641-AT0400-AT0774,8_2,PARRAK,605.0,603.17,sabre,20180815
32946,AT0643-AT0400-AT0770,8_2,PARRAK,855.0,603.17,sabre,20180815
32948,AT0641-AT0400-AT0770,8_2,PARRAK,855.0,603.17,sabre,20180815
32950,AT0643-AT0410-AT0752,8_2,PARRAK,970.0,603.17,sabre,20180815
32952,AT0641-AT0410-AT0752,8_2,PARRAK,970.0,603.17,sabre,20180815
32954,AT0643-AT0410-AT0762,8_2,PARRAK,1400.0,603.17,sabre,20180815
32955,AT0641-AT0410-AT0762,8_2,PARRAK,1400.0,603.17,sabre,20180815
32957,AT0643-AT0404-AT0752,8_2,PARRAK,1535.0,603.17,sabre,20180815
18784,AT0643-AT0642,8_2,PARRAK,370,616.84,competitor,20180815
18785,AT0641-AT0642,8_2,PARRAK,370,616.84,competitor,20180815
