,itinerary,ap_los,ond,travel_time,fare,provider,search_date
35454,LX0645-LX1726-LX1733-LX0632,8_2,PARROM,1505.0,259.76,sabre,20180815
35455,LX0657-LX1726-LX1733-LX0632,8_2,PARROM,1625.0,259.76,sabre,20180815
35456,LX0645-LX1726-LX1737-LX0632,8_2,PARROM,1810.0,259.76,sabre,20180815
35457,LX0639-LX1726-LX1733-LX0632,8_2,PARROM,1850.0,259.76,sabre,20180815
35458,LX0657-LX1726-LX1737-LX0632,8_2,PARROM,1930.0,259.76,sabre,20180815
35459,LX0645-LX1726-LX1727-LX0632,8_2,PARROM,2125.0,259.76,sabre,20180815
35460,LX0639-LX1726-LX1737-LX0632,8_2,PARROM,2155.0,259.76,sabre,20180815
35461,LX0633-LX1726-LX1733-LX0632,8_2,PARROM,2160.0,259.76,sabre,20180815
35462,LX0657-LX1726-LX1727-LX0632,8_2,PARROM,2245.0,259.76,sabre,20180815
35463,LX0633-LX1726-LX1737-LX0632,8_2,PARROM,2465.0,259.76,sabre,20180815
35464,LX0639-LX1726-LX1727-LX0632,8_2,PARROM,2470.0,259.76,sabre,20180815
35465,LX0633-LX1726-LX1727-LX0632,8_2,PARROM,2780.0,259.76,sabre,20180815
35466,LX0633-LX1736-LX1733-LX0632,8_2,PARROM,1050.0,269.76,sabre,20180815
35467,LX0647-LX1736-LX1733-LX0632,8_2,PARROM,1195.0,269.76,sabre,20180815
35468,LX0633-LX1736-LX1737-LX0632,8_2,PARROM,1355.0,269.76,sabre,20180815
35469,LX0647-LX1736-LX1737-LX0632,8_2,PARROM,1500.0,269.76,sabre,20180815
35470,LX0633-LX1736-LX1727-LX0632,8_2,PARROM,1670.0,269.76,sabre,20180815
35471,LX0647-LX1736-LX1727-LX0632,8_2,PARROM,1815.0,269.76,sabre,20180815
35472,LH1027-LH0234-LX1733-LX0632,8_2,PARROM,1055.0,272.88,sabre,20180815
35473,LH1051-LH0234-LX1733-LX0632,8_2,PARROM,1150.0,272.88,sabre,20180815
35474,LH1053-LH0234-LX1733-LX0632,8_2,PARROM,1245.0,272.88,sabre,20180815
35475,LH1027-LH0234-LX1737-LX0632,8_2,PARROM,1360.0,272.88,sabre,20180815
35476,LH1051-LH0234-LX1737-LX0632,8_2,PARROM,1455.0,272.88,sabre,20180815
35477,LH1053-LH0234-LX1737-LX0632,8_2,PARROM,1550.0,272.88,sabre,20180815
35478,LH1027-LH0234-LX1727-LX0632,8_2,PARROM,1675.0,272.88,sabre,20180815
35479,LH1051-LH0234-LX1727-LX0632,8_2,PARROM,1770.0,272.88,sabre,20180815
35480,LH1053-LH0234-LX1727-LX0632,8_2,PARROM,1865.0,272.88,sabre,20180815
35481,LX0639-LX1732-LX1733-LX0632,8_2,PARROM,1035.0,279.76,sabre,20180815
35482,LX0639-LX1732-LX1737-LX0632,8_2,PARROM,1340.0,279.76,sabre,20180815
35483,LX0633-LX1732-LX1733-LX0632,8_2,PARROM,1345.0,279.76,sabre,20180815
35484,LX0647-LX1732-LX1733-LX0632,8_2,PARROM,1490.0,279.76,sabre,20180815
35485,LX0633-LX1732-LX1737-LX0632,8_2,PARROM,1650.0,279.76,sabre,20180815
35486,LX0639-LX1732-LX1727-LX0632,8_2,PARROM,1655.0,279.76,sabre,20180815
35487,LX0647-LX1732-LX1737-LX0632,8_2,PARROM,1795.0,279.76,sabre,20180815
35488,LX0633-LX1732-LX1727-LX0632,8_2,PARROM,1965.0,279.76,sabre,20180815
35489,LX0647-LX1732-LX1727-LX0632,8_2,PARROM,2110.0,279.76,sabre,20180815
35490,LH2229-LH1846-LX1733-LX0632,8_2,PARROM,1120.0,280.2,sabre,20180815
35491,LH2227-LH1846-LX1733-LX0632,8_2,PARROM,1315.0,280.2,sabre,20180815
35492,LH2229-LH1846-LX1737-LX0632,8_2,PARROM,1425.0,280.2,sabre,20180815
35493,LH2227-LH1846-LX1737-LX0632,8_2,PARROM,1620.0,280.2,sabre,20180815
35494,LH2229-LH1846-LX1727-LX0632,8_2,PARROM,1740.0,280.2,sabre,20180815
35495,LH2227-LH1846-LX1727-LX0632,8_2,PARROM,1935.0,280.2,sabre,20180815
35496,LH1047-LH0242-LX1733-LX0632,8_2,PARROM,1030.0,282.88,sabre,20180815
35497,LH1041-LH0242-LX1733-LX0632,8_2,PARROM,1090.0,282.88,sabre,20180815
35498,LH1047-LH0242-LX1737-LX0632,8_2,PARROM,1335.0,282.88,sabre,20180815
35499,LH1041-LH0242-LX1737-LX0632,8_2,PARROM,1395.0,282.88,sabre,20180815
35500,LH1047-LH0242-LX1727-LX0632,8_2,PARROM,1650.0,282.88,sabre,20180815
35501,LH1041-LH0242-LX1727-LX0632,8_2,PARROM,1710.0,282.88,sabre,20180815
35502,LH2227-LH1844-LX1733-LX0632,8_2,PARROM,1090.0,295.2,sabre,20180815
35503,LH2231-LH1848-LX1733-LX0632,8_2,PARROM,1155.0,295.2,sabre,20180815
35504,LH2229-LH1848-LX1733-LX0632,8_2,PARROM,1305.0,295.2,sabre,20180815
35505,LH2227-LH1844-LX1737-LX0632,8_2,PARROM,1395.0,295.2,sabre,20180815
35506,LH2231-LH1848-LX1737-LX0632,8_2,PARROM,1460.0,295.2,sabre,20180815
35507,LH2229-LH1848-LX1737-LX0632,8_2,PARROM,1610.0,295.2,sabre,20180815
35508,LH2227-LH1844-LX1727-LX0632,8_2,PARROM,1710.0,295.2,sabre,20180815
35509,LH2231-LH1848-LX1727-LX0632,8_2,PARROM,1775.0,295.2,sabre,20180815
35510,LH2229-LH1848-LX1727-LX0632,8_2,PARROM,1925.0,295.2,sabre,20180815
35511,KL2008-KL1603-AF1005,8_2,PARROM,420.0,306.19,sabre,20180815
35512,IB5212-IB5213,8_2,PARROM,240.0,313.36,sabre,20180815
35513,AF1104-AF1005,8_2,PARROM,255.0,313.5,sabre,20180815
