,itinerary,ap_los,ond,travel_time,fare,provider,search_date
16241,TX6702-TX6703,15_3,PARRUN,1355.0,728.01,sabre,20180815
16242,UU0974-UU0975,15_3,PARRUN,1330.0,837.15,sabre,20180815
16243,UU0974-UU0979,15_3,PARRUN,1330.0,837.15,sabre,20180815
16244,UU0972-UU0979,15_3,PARRUN,1330.0,837.15,sabre,20180815
16245,UU0972-UU0975,15_3,PARRUN,1330.0,837.15,sabre,20180815
16246,AF0644-AF0671,15_3,PARRUN,1330.0,870.01,sabre,20180815
16247,AF0642-AF0671,15_3,PARRUN,1330.0,870.01,sabre,20180815
16248,TX6702-TX6701,15_3,PARRUN,1325.0,878.01,sabre,20180815
16249,AF0460-AF7942-AF0671,15_3,PARRUN,1555.0,890.86,sabre,20180815
16250,AF5098-AF7940-AF0671,15_3,PARRUN,1665.0,890.86,sabre,20180815
16251,AF5100-AF7942-AF0671,15_3,PARRUN,1690.0,890.86,sabre,20180815
16252,AF5098-AF7942-AF0671,15_3,PARRUN,1990.0,890.86,sabre,20180815
16253,AF0460-AF7940-AF0671,15_3,PARRUN,2670.0,890.86,sabre,20180815
16254,AF5100-AF7940-AF0671,15_3,PARRUN,2805.0,890.86,sabre,20180815
16255,AF0460-MK0238-AF0671,15_3,PARRUN,1555.0,900.86,sabre,20180815
16256,AF5098-MK0218-AF0671,15_3,PARRUN,1665.0,900.86,sabre,20180815
16257,AF5100-MK0238-AF0671,15_3,PARRUN,1690.0,900.86,sabre,20180815
16258,AF5098-MK0238-AF0671,15_3,PARRUN,1990.0,900.86,sabre,20180815
16259,AF0460-MK0218-AF0671,15_3,PARRUN,2670.0,900.86,sabre,20180815
16260,AF5100-MK0218-AF0671,15_3,PARRUN,2805.0,900.86,sabre,20180815
16261,MK0923-MK0238-MK0219-MK0062-MK9393,15_3,PARRUN,3800.0,1180.34,sabre,20180815
16262,MK0923-MK0238-MK0219-MK0062-MK9395,15_3,PARRUN,3870.0,1180.34,sabre,20180815
16263,MK0045-MK0218-MK0219-MK0062-MK9393,15_3,PARRUN,3910.0,1180.34,sabre,20180815
16264,MK0047-MK0238-MK0219-MK0062-MK9393,15_3,PARRUN,3935.0,1180.34,sabre,20180815
16265,MK0045-MK0218-MK0219-MK0062-MK9395,15_3,PARRUN,3980.0,1180.34,sabre,20180815
16266,MK0047-MK0238-MK0219-MK0062-MK9395,15_3,PARRUN,4005.0,1180.34,sabre,20180815
16267,MK0923-MK0238-MK0219-MK0062-MK9399,15_3,PARRUN,4065.0,1180.34,sabre,20180815
16268,MK0923-MK0238-MK0219-MK0062-MK9501,15_3,PARRUN,4110.0,1180.34,sabre,20180815
16269,MK0045-MK0218-MK0219-MK0062-MK9399,15_3,PARRUN,4175.0,1180.34,sabre,20180815
16270,MK0047-MK0238-MK0219-MK0062-MK9399,15_3,PARRUN,4200.0,1180.34,sabre,20180815
16271,MK0923-MK0248-MK0219-MK0062-MK9393,15_3,PARRUN,4205.0,1180.34,sabre,20180815
16272,MK0045-MK0218-MK0219-MK0062-MK9501,15_3,PARRUN,4220.0,1180.34,sabre,20180815
16273,MK0045-MK0238-MK0219-MK0062-MK9393,15_3,PARRUN,4235.0,1180.34,sabre,20180815
16274,MK0047-MK0238-MK0219-MK0062-MK9501,15_3,PARRUN,4245.0,1180.34,sabre,20180815
16275,MK0923-MK0248-MK0219-MK0062-MK9395,15_3,PARRUN,4275.0,1180.34,sabre,20180815
16276,MK0045-MK0238-MK0219-MK0062-MK9395,15_3,PARRUN,4305.0,1180.34,sabre,20180815
16277,MK0047-MK0248-MK0219-MK0062-MK9393,15_3,PARRUN,4340.0,1180.34,sabre,20180815
16278,MK0047-MK0248-MK0219-MK0062-MK9395,15_3,PARRUN,4410.0,1180.34,sabre,20180815
16279,MK0923-MK0248-MK0219-MK0062-MK9399,15_3,PARRUN,4470.0,1180.34,sabre,20180815
16280,MK0045-MK0238-MK0219-MK0062-MK9399,15_3,PARRUN,4500.0,1180.34,sabre,20180815
16281,MK0923-MK0248-MK0219-MK0062-MK9501,15_3,PARRUN,4515.0,1180.34,sabre,20180815
16282,MK0045-MK0238-MK0219-MK0062-MK9501,15_3,PARRUN,4545.0,1180.34,sabre,20180815
16283,MK0047-MK0248-MK0219-MK0062-MK9399,15_3,PARRUN,4605.0,1180.34,sabre,20180815
16284,MK0045-MK0248-MK0219-MK0062-MK9393,15_3,PARRUN,4640.0,1180.34,sabre,20180815
16285,MK0047-MK0248-MK0219-MK0062-MK9501,15_3,PARRUN,4650.0,1180.34,sabre,20180815
16286,MK0045-MK0248-MK0219-MK0062-MK9395,15_3,PARRUN,4710.0,1180.34,sabre,20180815
16287,MK0045-MK0248-MK0219-MK0062-MK9399,15_3,PARRUN,4905.0,1180.34,sabre,20180815
16288,MK0923-MK0218-MK0219-MK0062-MK9393,15_3,PARRUN,4915.0,1180.34,sabre,20180815
16289,MK0045-MK0248-MK0219-MK0062-MK9501,15_3,PARRUN,4950.0,1180.34,sabre,20180815
16290,MK0923-MK0218-MK0219-MK0062-MK9395,15_3,PARRUN,4985.0,1180.34,sabre,20180815
16291,MK0047-MK0218-MK0219-MK0062-MK9393,15_3,PARRUN,5050.0,1180.34,sabre,20180815
16292,MK0047-MK0218-MK0219-MK0062-MK9395,15_3,PARRUN,5120.0,1180.34,sabre,20180815
16293,MK0923-MK0226-MK0257-MK0062-MK9393,15_3,PARRUN,3215.0,1185.23,sabre,20180815
16294,MK0923-MK0226-MK0257-MK0062-MK9395,15_3,PARRUN,3285.0,1185.23,sabre,20180815
16295,MK0047-MK0226-MK0257-MK0062-MK9393,15_3,PARRUN,3350.0,1185.23,sabre,20180815
16296,MK0047-MK0226-MK0257-MK0062-MK9395,15_3,PARRUN,3420.0,1185.23,sabre,20180815
16297,MK0923-MK0226-MK0257-MK0062-MK9399,15_3,PARRUN,3480.0,1185.23,sabre,20180815
16298,MK0923-MK0256-MK0257-MK0062-MK9393,15_3,PARRUN,3515.0,1185.23,sabre,20180815
16299,MK0923-MK0226-MK0257-MK0062-MK9501,15_3,PARRUN,3525.0,1185.23,sabre,20180815
16300,MK0923-MK0256-MK0257-MK0062-MK9395,15_3,PARRUN,3585.0,1185.23,sabre,20180815
16301,MK0047-MK0226-MK0257-MK0062-MK9399,15_3,PARRUN,3615.0,1185.23,sabre,20180815
16302,MK0045-MK0226-MK0257-MK0062-MK9393,15_3,PARRUN,3650.0,1185.23,sabre,20180815
16303,MK0047-MK0256-MK0257-MK0062-MK9393,15_3,PARRUN,3650.0,1185.23,sabre,20180815
16304,MK0047-MK0226-MK0257-MK0062-MK9501,15_3,PARRUN,3660.0,1185.23,sabre,20180815
16305,MK0045-MK0226-MK0257-MK0062-MK9395,15_3,PARRUN,3720.0,1185.23,sabre,20180815
16306,MK0047-MK0256-MK0257-MK0062-MK9395,15_3,PARRUN,3720.0,1185.23,sabre,20180815
16307,MK0923-MK0256-MK0257-MK0062-MK9399,15_3,PARRUN,3780.0,1185.23,sabre,20180815
16308,MK0923-MK0226-MK0227-MK0062-MK9393,15_3,PARRUN,3815.0,1185.23,sabre,20180815
16309,MK0923-MK0256-MK0257-MK0062-MK9501,15_3,PARRUN,3825.0,1185.23,sabre,20180815
16310,MK0923-MK0226-MK0227-MK0062-MK9395,15_3,PARRUN,3885.0,1185.23,sabre,20180815
16311,MK0045-MK0226-MK0257-MK0062-MK9399,15_3,PARRUN,3915.0,1185.23,sabre,20180815
16312,MK0047-MK0256-MK0257-MK0062-MK9399,15_3,PARRUN,3915.0,1185.23,sabre,20180815
16313,MK0045-MK0256-MK0257-MK0062-MK9393,15_3,PARRUN,3950.0,1185.23,sabre,20180815
16314,MK0047-MK0226-MK0227-MK0062-MK9393,15_3,PARRUN,3950.0,1185.23,sabre,20180815
16315,MK0045-MK0226-MK0257-MK0062-MK9501,15_3,PARRUN,3960.0,1185.23,sabre,20180815
16316,MK0047-MK0256-MK0257-MK0062-MK9501,15_3,PARRUN,3960.0,1185.23,sabre,20180815
16317,MK0045-MK0256-MK0257-MK0062-MK9395,15_3,PARRUN,4020.0,1185.23,sabre,20180815
16318,MK0047-MK0226-MK0227-MK0062-MK9395,15_3,PARRUN,4020.0,1185.23,sabre,20180815
16319,MK0923-MK0226-MK0227-MK0062-MK9399,15_3,PARRUN,4080.0,1185.23,sabre,20180815
16320,MK0923-MK0256-MK0227-MK0062-MK9393,15_3,PARRUN,4115.0,1185.23,sabre,20180815
16321,MK0923-MK0226-MK0227-MK0062-MK9501,15_3,PARRUN,4125.0,1185.23,sabre,20180815
16322,MK0923-MK0256-MK0227-MK0062-MK9395,15_3,PARRUN,4185.0,1185.23,sabre,20180815
16323,MK0045-MK0256-MK0257-MK0062-MK9399,15_3,PARRUN,4215.0,1185.23,sabre,20180815
16324,MK0047-MK0226-MK0227-MK0062-MK9399,15_3,PARRUN,4215.0,1185.23,sabre,20180815
16325,MK0045-MK0226-MK0227-MK0062-MK9393,15_3,PARRUN,4250.0,1185.23,sabre,20180815
16326,MK0047-MK0256-MK0227-MK0062-MK9393,15_3,PARRUN,4250.0,1185.23,sabre,20180815
16327,MK0045-MK0256-MK0257-MK0062-MK9501,15_3,PARRUN,4260.0,1185.23,sabre,20180815
16328,MK0047-MK0226-MK0227-MK0062-MK9501,15_3,PARRUN,4260.0,1185.23,sabre,20180815
16329,MK0045-MK0226-MK0227-MK0062-MK9395,15_3,PARRUN,4320.0,1185.23,sabre,20180815
16330,MK0047-MK0256-MK0227-MK0062-MK9395,15_3,PARRUN,4320.0,1185.23,sabre,20180815
16331,MK0923-MK0256-MK0227-MK0062-MK9399,15_3,PARRUN,4380.0,1185.23,sabre,20180815
16332,MK0923-MK0256-MK0227-MK0062-MK9501,15_3,PARRUN,4425.0,1185.23,sabre,20180815
