,itinerary,ap_los,ond,travel_time,fare,provider,search_date
65041,MU0554-MU0281-MU0282-MU8663,8_7,PARSGN,3005.0,917.8,sabre,20180815
65042,MU0554-MU0281-MU0282-MU8661,8_7,PARSGN,3795.0,917.8,sabre,20180815
65043,QR0042-QR0972-QR0973-QR0039,8_7,PARSGN,3075.0,951.01,sabre,20180815
65044,QR0042-QR0970-QR0973-QR0039,8_7,PARSGN,3460.0,951.01,sabre,20180815
65045,MU0554-MU0281-MU0282-MU0569,8_7,PARSGN,3170.0,1018.8,sabre,20180815
65046,QR0042-QR0972-QR0973-QR0037,8_7,PARSGN,2090.0,1018.85,sabre,20180815
65047,QR0042-QR0970-QR0973-QR0037,8_7,PARSGN,2475.0,1018.85,sabre,20180815
65048,QR0038-QR0972-QR0973-QR0039,8_7,PARSGN,3690.0,1019.17,sabre,20180815
65049,QR0038-QR0970-QR0973-QR0039,8_7,PARSGN,4075.0,1019.17,sabre,20180815
65050,QR0042-QR0972-QR0973-QR0041,8_7,PARSGN,2670.0,1022.01,sabre,20180815
65051,QR0042-QR0970-QR0973-QR0041,8_7,PARSGN,3055.0,1022.01,sabre,20180815
65052,MU0570-MU0281-MU0282-MU8663,8_7,PARSGN,2530.0,1027.8,sabre,20180815
65053,MU0570-MU0281-MU0282-MU8661,8_7,PARSGN,3320.0,1027.8,sabre,20180815
65054,TG0931-TG0550-TG0557-TG0930,8_7,PARSGN,1780.0,1048.88,sabre,20180815
65055,BR0088-BR0391-BR0396-BR0087,8_7,PARSGN,2395.0,1064.82,sabre,20180815
65056,BR0088-BR2381-BR0396-BR0087,8_7,PARSGN,3015.0,1064.82,sabre,20180815
65057,BR0088-BR0391-BR0382-BR0087,8_7,PARSGN,3240.0,1064.82,sabre,20180815
65058,BR0088-BR2381-BR0382-BR0087,8_7,PARSGN,3860.0,1064.82,sabre,20180815
65059,TG0931-TG0556-TG0557-TG0930,8_7,PARSGN,2420.0,1068.25,sabre,20180815
65060,QR0040-QR0972-QR0973-QR0039,8_7,PARSGN,4090.0,1084.17,sabre,20180815
65061,QR0038-QR0972-QR0973-QR0037,8_7,PARSGN,2705.0,1087.01,sabre,20180815
65062,QR0038-QR0970-QR0973-QR0037,8_7,PARSGN,3090.0,1087.01,sabre,20180815
65063,CX0278-CX0799-CX1762-CX0261,8_7,PARSGN,2460.0,1088.22,sabre,20180815
65064,CX0278-CX0721-CX1762-CX0261,8_7,PARSGN,2835.0,1088.22,sabre,20180815
65065,CX0260-CX0799-CX1762-CX0261,8_7,PARSGN,2940.0,1088.22,sabre,20180815
65066,CX0260-CX0721-CX1762-CX0261,8_7,PARSGN,3315.0,1088.22,sabre,20180815
65067,BR0088-BR0395-BR0396-BR0087,8_7,PARSGN,2280.0,1088.82,sabre,20180815
65068,BR0088-BR0395-BR0382-BR0087,8_7,PARSGN,3125.0,1088.82,sabre,20180815
65069,QR0038-QR0972-QR0973-QR0041,8_7,PARSGN,3285.0,1090.17,sabre,20180815
65070,QR0038-QR0970-QR0973-QR0041,8_7,PARSGN,3670.0,1090.17,sabre,20180815
65071,QR0040-QR0970-QR0973-QR0039,8_7,PARSGN,3035.0,1096.01,sabre,20180815
65072,CX0278-CX0767-CX1762-CX0261,8_7,PARSGN,3440.0,1101.64,sabre,20180815
65073,QR0042-QR0972-QR0971-QR0039,8_7,PARSGN,2460.0,1117.85,sabre,20180815
65074,QR0042-QR0970-QR0971-QR0039,8_7,PARSGN,2845.0,1117.85,sabre,20180815
