,itinerary,ap_los,ond,travel_time,fare,provider,search_date
1,AF6114-AF6115,15_7,PARTLS,155.0,137.11,sabre,20180815
3,AF6114-AF6119,15_7,PARTLS,155.0,137.11,sabre,20180815
5,AF6114-AF6121,15_7,PARTLS,155.0,137.11,sabre,20180815
7,AF6114-AF6125,15_7,PARTLS,155.0,137.11,sabre,20180815
10,AF6114-AF6147,15_7,PARTLS,155.0,137.11,sabre,20180815
13,AF6114-AF6149,15_7,PARTLS,155.0,137.11,sabre,20180815
16,AF6116-AF6119,15_7,PARTLS,155.0,137.11,sabre,20180815
19,AF6116-AF6115,15_7,PARTLS,155.0,137.11,sabre,20180815
22,AF6116-AF6121,15_7,PARTLS,155.0,137.11,sabre,20180815
25,AF6116-AF6125,15_7,PARTLS,155.0,137.11,sabre,20180815
28,AF6116-AF6147,15_7,PARTLS,155.0,137.11,sabre,20180815
31,AF6116-AF6149,15_7,PARTLS,155.0,137.11,sabre,20180815
34,AF6148-AF6121,15_7,PARTLS,155.0,137.11,sabre,20180815
37,AF6148-AF6125,15_7,PARTLS,155.0,137.11,sabre,20180815
40,AF6148-AF6147,15_7,PARTLS,155.0,137.11,sabre,20180815
43,AF6148-AF6149,15_7,PARTLS,155.0,137.11,sabre,20180815
46,AF6148-AF6119,15_7,PARTLS,155.0,137.11,sabre,20180815
49,AF6148-AF6115,15_7,PARTLS,155.0,137.11,sabre,20180815
52,AF6114-AF7523,15_7,PARTLS,165.0,137.11,sabre,20180815
55,AF6114-AF7527,15_7,PARTLS,165.0,137.11,sabre,20180815
58,AF6116-AF7523,15_7,PARTLS,165.0,137.11,sabre,20180815
61,AF6116-AF7527,15_7,PARTLS,165.0,137.11,sabre,20180815
63,AF6148-AF7523,15_7,PARTLS,165.0,137.11,sabre,20180815
66,AF6148-AF7527,15_7,PARTLS,165.0,137.11,sabre,20180815
69,AF6114-AF7517,15_7,PARTLS,170.0,137.11,sabre,20180815
73,AF6116-AF7517,15_7,PARTLS,170.0,137.11,sabre,20180815
76,AF6148-AF7517,15_7,PARTLS,170.0,137.11,sabre,20180815
79,AF5510-AF5511,15_7,PARTLS,200.0,138.26,sabre,20180815
82,AF5510-AF5509,15_7,PARTLS,200.0,138.26,sabre,20180815
85,AF5508-AF5509,15_7,PARTLS,200.0,138.26,sabre,20180815
88,AF5508-AF5511,15_7,PARTLS,200.0,138.26,sabre,20180815
91,AF5505-AF5509,15_7,PARTLS,200.0,138.26,sabre,20180815
94,AF5505-AF5511,15_7,PARTLS,200.0,138.26,sabre,20180815
98,AF6114-AF6127,15_7,PARTLS,155.0,141.11,sabre,20180815
101,AF6114-AF6129,15_7,PARTLS,155.0,141.11,sabre,20180815
104,AF6116-AF6127,15_7,PARTLS,155.0,141.11,sabre,20180815
107,AF6116-AF6129,15_7,PARTLS,155.0,141.11,sabre,20180815
110,AF6148-AF6127,15_7,PARTLS,155.0,141.11,sabre,20180815
113,AF6148-AF6129,15_7,PARTLS,155.0,141.11,sabre,20180815
116,AF6120-AF6115,15_7,PARTLS,155.0,147.11,sabre,20180815
119,AF6120-AF6119,15_7,PARTLS,155.0,147.11,sabre,20180815
123,AF6120-AF6121,15_7,PARTLS,155.0,147.11,sabre,20180815
127,AF6120-AF6125,15_7,PARTLS,155.0,147.11,sabre,20180815
130,AF6120-AF6147,15_7,PARTLS,155.0,147.11,sabre,20180815
133,AF6120-AF6149,15_7,PARTLS,155.0,147.11,sabre,20180815
136,AF6120-AF7523,15_7,PARTLS,165.0,147.11,sabre,20180815
139,AF6120-AF7527,15_7,PARTLS,165.0,147.11,sabre,20180815
142,AF6120-AF7517,15_7,PARTLS,170.0,147.11,sabre,20180815
145,AF7522-AF6125,15_7,PARTLS,160.0,148.36,sabre,20180815
148,AF7522-AF6147,15_7,PARTLS,160.0,148.36,sabre,20180815
152,AF7522-AF6149,15_7,PARTLS,160.0,148.36,sabre,20180815
155,AF7522-AF6119,15_7,PARTLS,160.0,148.36,sabre,20180815
158,AF7522-AF6115,15_7,PARTLS,160.0,148.36,sabre,20180815
161,AF7522-AF6121,15_7,PARTLS,160.0,148.36,sabre,20180815
164,AF7522-AF7523,15_7,PARTLS,170.0,148.36,sabre,20180815
167,AF7522-AF7527,15_7,PARTLS,170.0,148.36,sabre,20180815
170,AF7522-AF7517,15_7,PARTLS,175.0,148.36,sabre,20180815
173,AF6120-AF6127,15_7,PARTLS,155.0,151.11,sabre,20180815
176,AF6120-AF6129,15_7,PARTLS,155.0,151.11,sabre,20180815
179,AF7522-AF6127,15_7,PARTLS,160.0,152.36,sabre,20180815
182,AF7522-AF6129,15_7,PARTLS,160.0,152.36,sabre,20180815
185,AF6114-AF6145,15_7,PARTLS,155.0,161.11,sabre,20180815
188,AF6114-AF6113,15_7,PARTLS,155.0,161.11,sabre,20180815
191,AF6114-AF6111,15_7,PARTLS,155.0,161.11,sabre,20180815
194,AF6116-AF6145,15_7,PARTLS,155.0,161.11,sabre,20180815
197,AF6116-AF6111,15_7,PARTLS,155.0,161.11,sabre,20180815
200,AF6116-AF6113,15_7,PARTLS,155.0,161.11,sabre,20180815
203,AF6148-AF6111,15_7,PARTLS,155.0,161.11,sabre,20180815
206,AF6148-AF6113,15_7,PARTLS,155.0,161.11,sabre,20180815
209,AF6148-AF6145,15_7,PARTLS,155.0,161.11,sabre,20180815
212,AF6114-AF6143,15_7,PARTLS,160.0,161.11,sabre,20180815
215,AF6116-AF6143,15_7,PARTLS,160.0,161.11,sabre,20180815
218,AF6148-AF6143,15_7,PARTLS,160.0,161.11,sabre,20180815
221,AF6146-AF6115,15_7,PARTLS,155.0,162.11,sabre,20180815
224,AF6146-AF6121,15_7,PARTLS,155.0,162.11,sabre,20180815
227,AF6146-AF6125,15_7,PARTLS,155.0,162.11,sabre,20180815
230,AF6146-AF6119,15_7,PARTLS,155.0,162.11,sabre,20180815
233,AF6146-AF6147,15_7,PARTLS,155.0,162.11,sabre,20180815
236,AF6146-AF6149,15_7,PARTLS,155.0,162.11,sabre,20180815
239,AF6146-AF7523,15_7,PARTLS,165.0,162.11,sabre,20180815
242,AF6146-AF7527,15_7,PARTLS,165.0,162.11,sabre,20180815
245,AF6146-AF7517,15_7,PARTLS,170.0,162.11,sabre,20180815
248,AF6146-AF6127,15_7,PARTLS,155.0,166.11,sabre,20180815
251,AF6146-AF6129,15_7,PARTLS,155.0,166.11,sabre,20180815
254,AF6120-AF6111,15_7,PARTLS,155.0,171.11,sabre,20180815
257,AF6120-AF6113,15_7,PARTLS,155.0,171.11,sabre,20180815
260,AF6120-AF6145,15_7,PARTLS,155.0,171.11,sabre,20180815
263,AF6120-AF6143,15_7,PARTLS,160.0,171.11,sabre,20180815
266,AF7522-AF6113,15_7,PARTLS,160.0,172.36,sabre,20180815
269,AF7522-AF6111,15_7,PARTLS,160.0,172.36,sabre,20180815
272,AF7522-AF6145,15_7,PARTLS,160.0,172.36,sabre,20180815
275,AF7522-AF6143,15_7,PARTLS,165.0,172.36,sabre,20180815
278,AF6114-AF7529,15_7,PARTLS,165.0,176.11,sabre,20180815
281,AF6116-AF7529,15_7,PARTLS,165.0,176.11,sabre,20180815
284,AF6148-AF7529,15_7,PARTLS,165.0,176.11,sabre,20180815
287,AF6124-AF6147,15_7,PARTLS,155.0,177.11,sabre,20180815
290,AF6124-AF6149,15_7,PARTLS,155.0,177.11,sabre,20180815
293,AF6124-AF6121,15_7,PARTLS,155.0,177.11,sabre,20180815
296,AF6124-AF6115,15_7,PARTLS,155.0,177.11,sabre,20180815
299,AF6124-AF6119,15_7,PARTLS,155.0,177.11,sabre,20180815
302,AF6124-AF6125,15_7,PARTLS,155.0,177.11,sabre,20180815
305,AF6124-AF7523,15_7,PARTLS,165.0,177.11,sabre,20180815
308,AF6124-AF7527,15_7,PARTLS,165.0,177.11,sabre,20180815
311,AF6124-AF7517,15_7,PARTLS,170.0,177.11,sabre,20180815
314,AF7528-AF6115,15_7,PARTLS,160.0,178.36,sabre,20180815
317,AF7528-AF6147,15_7,PARTLS,160.0,178.36,sabre,20180815
320,AF7528-AF6125,15_7,PARTLS,160.0,178.36,sabre,20180815
323,AF7528-AF6119,15_7,PARTLS,160.0,178.36,sabre,20180815
327,AF7528-AF6121,15_7,PARTLS,160.0,178.36,sabre,20180815
330,AF7528-AF6149,15_7,PARTLS,160.0,178.36,sabre,20180815
