,itinerary,ap_los,ond,travel_time,fare,provider,search_date
26631,PC1134-PC0779-PC0780-PC1135,22_14,PARTLV,1280.0,371.36,sabre,20180815
26632,PC1136-PC0783-PC0780-PC1135,22_14,PARTLV,1860.0,371.36,sabre,20180815
26633,PC1134-PC0783-PC0780-PC1135,22_14,PARTLV,2145.0,371.36,sabre,20180815
26634,PC1134-PC0779-PC0796-PC1133,22_14,PARTLV,2160.0,371.36,sabre,20180815
26635,PC1134-PC0779-PC0780-PC1133,22_14,PARTLV,2425.0,371.36,sabre,20180815
26636,PC1136-PC0783-PC0796-PC1133,22_14,PARTLV,2740.0,371.36,sabre,20180815
26637,PC1136-PC0783-PC0780-PC1133,22_14,PARTLV,3005.0,371.36,sabre,20180815
26638,PC1134-PC0783-PC0796-PC1133,22_14,PARTLV,3025.0,371.36,sabre,20180815
26639,PC1134-PC0783-PC0780-PC1133,22_14,PARTLV,3290.0,371.36,sabre,20180815
26640,PC1134-PC0785-PC0780-PC1135,22_14,PARTLV,1185.0,398.92,sabre,20180815
26641,PC1136-PC0795-PC0780-PC1135,22_14,PARTLV,1610.0,398.92,sabre,20180815
26642,PC1134-PC0795-PC0780-PC1135,22_14,PARTLV,1895.0,398.92,sabre,20180815
26643,PC1134-PC0785-PC0796-PC1133,22_14,PARTLV,2065.0,398.92,sabre,20180815
26644,PC1134-PC0785-PC0780-PC1133,22_14,PARTLV,2330.0,398.92,sabre,20180815
26645,PC1136-PC0795-PC0796-PC1133,22_14,PARTLV,2490.0,398.92,sabre,20180815
26646,PC1136-PC0795-PC0780-PC1133,22_14,PARTLV,2755.0,398.92,sabre,20180815
26647,PC1134-PC0795-PC0796-PC1133,22_14,PARTLV,2775.0,398.92,sabre,20180815
26648,PC1134-PC0795-PC0780-PC1133,22_14,PARTLV,3040.0,398.92,sabre,20180815
26649,A30613-A30928-A30925-A30610,22_14,PARTLV,1510.0,412.06,sabre,20180815
26650,A30619-A30924-A30925-A30610,22_14,PARTLV,1595.0,412.06,sabre,20180815
26651,A30611-A30928-A30925-A30610,22_14,PARTLV,1775.0,412.06,sabre,20180815
26652,A30619-A30928-A30925-A30610,22_14,PARTLV,2045.0,412.06,sabre,20180815
26653,A30615-A30924-A30925-A30610,22_14,PARTLV,2165.0,412.06,sabre,20180815
