,itinerary,ap_los,ond,travel_time,fare,provider,search_date
19324,LH1031-LH1326-LH1327-LH1028,22_7,PARTUN,1165.0,223.32,sabre,20180815
19326,LH1029-LH1326-LH1327-LH1028,22_7,PARTUN,1215.0,223.32,sabre,20180815
19329,LH1027-LH1326-LH1327-LH1028,22_7,PARTUN,1285.0,223.32,sabre,20180815
19332,LH1051-LH1326-LH1327-LH1028,22_7,PARTUN,1380.0,230.78,sabre,20180815
19335,LH1053-LH1326-LH1327-LH1028,22_7,PARTUN,1475.0,230.78,sabre,20180815
19338,LH1031-LH1326-LH1327-LH1026,22_7,PARTUN,1105.0,248.32,sabre,20180815
19341,LH1029-LH1326-LH1327-LH1026,22_7,PARTUN,1155.0,248.32,sabre,20180815
19344,LH1027-LH1326-LH1327-LH1026,22_7,PARTUN,1225.0,248.32,sabre,20180815
19345,LH1051-LH1326-LH1327-LH1026,22_7,PARTUN,1320.0,255.78,sabre,20180815
19348,LH1053-LH1326-LH1327-LH1026,22_7,PARTUN,1415.0,255.78,sabre,20180815
19351,AF1184-AF1785,22_7,PARTUN,290.0,258.48,sabre,20180815
19354,AF1284-AF1785,22_7,PARTUN,295.0,258.48,sabre,20180815
19357,AF1084-AF1785,22_7,PARTUN,300.0,258.48,sabre,20180815
19360,AF1184-AF1085,22_7,PARTUN,295.0,263.48,sabre,20180815
19363,AF1284-AF1085,22_7,PARTUN,300.0,263.48,sabre,20180815
19366,AF1084-AF1085,22_7,PARTUN,305.0,263.48,sabre,20180815
19369,LH1031-LH1326-LH1327-LH1030,22_7,PARTUN,1230.0,268.32,sabre,20180815
19372,LH1029-LH1326-LH1327-LH1030,22_7,PARTUN,1280.0,268.32,sabre,20180815
19375,LH1027-LH1326-LH1327-LH1030,22_7,PARTUN,1350.0,268.32,sabre,20180815
19377,LH1031-LH1326-LH1327-LH1034,22_7,PARTUN,1415.0,268.32,sabre,20180815
19379,LH1029-LH1326-LH1327-LH1034,22_7,PARTUN,1465.0,268.32,sabre,20180815
19382,LH1027-LH1326-LH1327-LH1034,22_7,PARTUN,1535.0,268.32,sabre,20180815
19385,LH1051-LH1326-LH1327-LH1030,22_7,PARTUN,1445.0,275.78,sabre,20180815
19388,LH1053-LH1326-LH1327-LH1030,22_7,PARTUN,1540.0,275.78,sabre,20180815
19391,LH1051-LH1326-LH1327-LH1034,22_7,PARTUN,1630.0,275.78,sabre,20180815
19394,LH1053-LH1326-LH1327-LH1034,22_7,PARTUN,1725.0,275.78,sabre,20180815
19396,LH1031-LH1326-LH1327-LH1040,22_7,PARTUN,1645.0,288.32,sabre,20180815
19399,LH1029-LH1326-LH1327-LH1040,22_7,PARTUN,1695.0,288.32,sabre,20180815
19402,LH1031-LH1326-LH1327-LH1046,22_7,PARTUN,1705.0,288.32,sabre,20180815
19406,LH1029-LH1326-LH1327-LH1046,22_7,PARTUN,1755.0,288.32,sabre,20180815
19408,LH1027-LH1326-LH1327-LH1040,22_7,PARTUN,1765.0,288.32,sabre,20180815
19411,LH1027-LH1326-LH1327-LH1046,22_7,PARTUN,1825.0,288.32,sabre,20180815
19414,LH1051-LH1326-LH1327-LH1040,22_7,PARTUN,1860.0,295.78,sabre,20180815
19417,LH1051-LH1326-LH1327-LH1046,22_7,PARTUN,1920.0,295.78,sabre,20180815
19420,LH1053-LH1326-LH1327-LH1040,22_7,PARTUN,1955.0,295.78,sabre,20180815
19423,LH1053-LH1326-LH1327-LH1046,22_7,PARTUN,2015.0,295.78,sabre,20180815
19426,LH1047-LH1326-LH1327-LH1028,22_7,PARTUN,675.0,313.32,sabre,20180815
19429,LH1041-LH1326-LH1327-LH1028,22_7,PARTUN,735.0,313.32,sabre,20180815
19432,LH1031-LH1326-LH1327-LH1050,22_7,PARTUN,1885.0,320.78,sabre,20180815
19435,LH1029-LH1326-LH1327-LH1050,22_7,PARTUN,1935.0,320.78,sabre,20180815
19438,LH1031-LH1326-LH1327-LH1052,22_7,PARTUN,1955.0,320.78,sabre,20180815
19441,LH1027-LH1326-LH1327-LH1050,22_7,PARTUN,2005.0,320.78,sabre,20180815
19444,LH1029-LH1326-LH1327-LH1052,22_7,PARTUN,2005.0,320.78,sabre,20180815
19447,LH1027-LH1326-LH1327-LH1052,22_7,PARTUN,2075.0,320.78,sabre,20180815
19450,BJ0521-BJ0520,22_7,PARTUN,305.0,327.48,sabre,20180815
19453,LH1051-LH1326-LH1327-LH1050,22_7,PARTUN,2100.0,328.24,sabre,20180815
19455,LH1051-LH1326-LH1327-LH1052,22_7,PARTUN,2170.0,328.24,sabre,20180815
19457,LH1053-LH1326-LH1327-LH1050,22_7,PARTUN,2195.0,328.24,sabre,20180815
19460,LH1053-LH1326-LH1327-LH1052,22_7,PARTUN,2265.0,328.24,sabre,20180815
19463,AZ0317-AZ0864-AZ0867-AZ0332,22_7,PARTUN,535.0,329.24,sabre,20180815
19466,AZ0317-AZ0864-AZ0863-AZ0324,22_7,PARTUN,590.0,329.24,sabre,20180815
19469,AZ0317-AZ0866-AZ0867-AZ0332,22_7,PARTUN,970.0,329.24,sabre,20180815
19472,AZ0317-AZ0866-AZ0863-AZ0324,22_7,PARTUN,1025.0,329.24,sabre,20180815
19475,AZ0317-AZ0864-AZ0867-AZ0316,22_7,PARTUN,1190.0,329.24,sabre,20180815
19478,AZ0317-AZ0864-AZ0867-AZ0318,22_7,PARTUN,1320.0,329.24,sabre,20180815
19481,AZ0317-AZ0864-AZ0867-AZ0324,22_7,PARTUN,1620.0,329.24,sabre,20180815
19482,AZ0317-AZ0866-AZ0867-AZ0316,22_7,PARTUN,1625.0,329.24,sabre,20180815
19484,AZ0317-AZ0866-AZ0867-AZ0318,22_7,PARTUN,1755.0,329.24,sabre,20180815
