,itinerary,ap_los,ond,travel_time,fare,provider,search_date
41579,BR0088-BR0198-BR0197-BR0087,8_2,PARTYO,2590.0,754.23,sabre,20180815
41580,BR0088-BR0198-BR0191-BR0087,8_2,PARTYO,2685.0,754.71,sabre,20180815
41581,BR0088-BR0198-BR0189-BR0087,8_2,PARTYO,2795.0,754.71,sabre,20180815
41582,BR0088-BR0196-BR0197-BR0087,8_2,PARTYO,2975.0,875.23,sabre,20180815
41583,BR0088-BR0196-BR0191-BR0087,8_2,PARTYO,3070.0,875.71,sabre,20180815
41584,BR0088-BR0196-BR0189-BR0087,8_2,PARTYO,3180.0,875.71,sabre,20180815
41585,CI9238-CI0104-CI0109-CI9237,8_2,PARTYO,2980.0,1083.23,sabre,20180815
41586,CI9238-CI0108-CI0109-CI9237,8_2,PARTYO,3095.0,1083.23,sabre,20180815
41587,CI9238-CI0106-CI0109-CI9237,8_2,PARTYO,3195.0,1083.23,sabre,20180815
41588,MU0554-MU0523-MU0576-MU0569,8_2,PARTYO,2040.0,1568.49,sabre,20180815
41589,MU0570-MU0271-MU0576-MU0569,8_2,PARTYO,2050.0,1568.49,sabre,20180815
41590,MU0554-MU0539-MU0576-MU0569,8_2,PARTYO,2275.0,1568.49,sabre,20180815
41591,MU0554-MU0523-MU8720-MU8665,8_2,PARTYO,2110.0,1622.01,sabre,20180815
41592,MU0570-MU0271-MU8720-MU8665,8_2,PARTYO,2120.0,1622.01,sabre,20180815
41593,MU0554-MU0539-MU8720-MU8665,8_2,PARTYO,2345.0,1622.01,sabre,20180815
41594,MU0554-MU0523-MU8720-MU8667,8_2,PARTYO,2595.0,1622.01,sabre,20180815
41595,MU0570-MU0271-MU8720-MU8667,8_2,PARTYO,2605.0,1622.01,sabre,20180815
41596,MU0554-MU0539-MU8720-MU8667,8_2,PARTYO,2830.0,1622.01,sabre,20180815
41597,MU0554-MU0523-MU0540-MU8663,8_2,PARTYO,2755.0,1681.49,sabre,20180815
41598,MU0570-MU0271-MU0540-MU8663,8_2,PARTYO,2765.0,1681.49,sabre,20180815
41599,MU0554-MU0539-MU0540-MU8663,8_2,PARTYO,2990.0,1681.49,sabre,20180815
41600,MU0554-MU0523-MU0524-MU8661,8_2,PARTYO,2355.0,1688.01,sabre,20180815
41601,MU0570-MU0271-MU0524-MU8661,8_2,PARTYO,2365.0,1688.01,sabre,20180815
41602,MU0554-MU0523-MU0272-MU8661,8_2,PARTYO,2530.0,1688.01,sabre,20180815
41603,MU0570-MU0271-MU0272-MU8661,8_2,PARTYO,2540.0,1688.01,sabre,20180815
41604,MU0554-MU0539-MU0524-MU8661,8_2,PARTYO,2590.0,1688.01,sabre,20180815
41605,MU0554-MU0539-MU0272-MU8661,8_2,PARTYO,2765.0,1688.01,sabre,20180815
41606,MU0554-MU0523-MU0524-MU8663,8_2,PARTYO,2995.0,1688.01,sabre,20180815
41607,MU0570-MU0271-MU0524-MU8663,8_2,PARTYO,3005.0,1688.01,sabre,20180815
41608,MU0554-MU0523-MU0272-MU8663,8_2,PARTYO,3170.0,1688.01,sabre,20180815
41609,MU0570-MU0271-MU0272-MU8663,8_2,PARTYO,3180.0,1688.01,sabre,20180815
41610,MU0554-MU0539-MU0524-MU8663,8_2,PARTYO,3230.0,1688.01,sabre,20180815
41611,MU0554-MU0539-MU0272-MU8663,8_2,PARTYO,3405.0,1688.01,sabre,20180815
41612,MU0554-MU0523-MU0538-MU8661,8_2,PARTYO,2315.0,1688.49,sabre,20180815
41613,MU0570-MU0271-MU0538-MU8661,8_2,PARTYO,2325.0,1688.49,sabre,20180815
41614,MU0554-MU0523-MU0538-MU0553,8_2,PARTYO,2365.0,1688.49,sabre,20180815
41615,MU0570-MU0271-MU0538-MU0553,8_2,PARTYO,2375.0,1688.49,sabre,20180815
41616,MU0554-MU0539-MU0538-MU8661,8_2,PARTYO,2550.0,1688.49,sabre,20180815
41617,MU0554-MU0539-MU0538-MU0553,8_2,PARTYO,2600.0,1688.49,sabre,20180815
41618,MU0554-MU0523-MU0576-MU8661,8_2,PARTYO,2665.0,1688.49,sabre,20180815
41619,MU0570-MU0271-MU0576-MU8661,8_2,PARTYO,2675.0,1688.49,sabre,20180815
41620,MU0554-MU0523-MU0576-MU0553,8_2,PARTYO,2715.0,1688.49,sabre,20180815
41621,MU0570-MU0271-MU0576-MU0553,8_2,PARTYO,2725.0,1688.49,sabre,20180815
41622,MU0554-MU0539-MU0576-MU8661,8_2,PARTYO,2900.0,1688.49,sabre,20180815
41623,MU0554-MU0539-MU0576-MU0553,8_2,PARTYO,2950.0,1688.49,sabre,20180815
41624,MU0554-MU0523-MU0576-MU8663,8_2,PARTYO,3305.0,1688.49,sabre,20180815
41625,MU0570-MU0271-MU0576-MU8663,8_2,PARTYO,3315.0,1688.49,sabre,20180815
41626,MU0554-MU0539-MU0576-MU8663,8_2,PARTYO,3540.0,1688.49,sabre,20180815
41627,BR0088-BR0190-BR0197-BR0087,8_2,PARTYO,2990.0,1690.03,sabre,20180815
41628,BR0088-BR0190-BR0191-BR0087,8_2,PARTYO,3085.0,1690.51,sabre,20180815
41629,BR0088-BR0190-BR0189-BR0087,8_2,PARTYO,3195.0,1690.51,sabre,20180815
41630,CX0260-CX6320-CX6323-CX0279,8_2,PARTYO,3175.0,1703.05,sabre,20180815
41631,CX0260-CX6320-CX6321-CX0279,8_2,PARTYO,3665.0,1703.53,sabre,20180815
41632,MU0554-MU0523-MU0272-MU8665,8_2,PARTYO,2545.0,1749.01,sabre,20180815
41633,MU0570-MU0271-MU0272-MU8665,8_2,PARTYO,2555.0,1749.01,sabre,20180815
41634,MU0554-MU0539-MU0272-MU8665,8_2,PARTYO,2780.0,1749.01,sabre,20180815
41635,MU0554-MU0523-MU0272-MU8667,8_2,PARTYO,3030.0,1749.01,sabre,20180815
41636,MU0570-MU0271-MU0272-MU8667,8_2,PARTYO,3040.0,1749.01,sabre,20180815
41637,MU0554-MU0539-MU0272-MU8667,8_2,PARTYO,3265.0,1749.01,sabre,20180815
41638,KE0910-KE0001-KE0720-KE0903,8_2,PARTYO,2220.0,1765.55,sabre,20180815
41639,KE0910-KE0705-KE0720-KE0903,8_2,PARTYO,2285.0,1765.55,sabre,20180815
41640,KE0910-KE0719-KE0720-KE0903,8_2,PARTYO,2390.0,1765.55,sabre,20180815
41641,KE0910-KE2711-KE0720-KE0903,8_2,PARTYO,2285.0,1779.48,sabre,20180815
41642,MU0570-MU0575-MU0576-MU0569,8_2,PARTYO,2075.0,1811.49,sabre,20180815
41643,CX0260-CX0522-CX6323-CX0279,8_2,PARTYO,3185.0,1818.05,sabre,20180815
41644,CX0260-CX0522-CX6321-CX0279,8_2,PARTYO,3675.0,1818.53,sabre,20180815
41645,SK0566-SK0983-SK0984-SK0567,8_2,PARTYO,2930.0,1835.75,sabre,20180815
41646,MU0554-MU0523-MU8738-MU8665,8_2,PARTYO,2190.0,1845.49,sabre,20180815
41647,MU0554-MU0539-MU8738-MU8665,8_2,PARTYO,2425.0,1845.49,sabre,20180815
41648,MU0554-MU0523-MU8738-MU8667,8_2,PARTYO,2675.0,1845.49,sabre,20180815
41649,MU0554-MU0539-MU8738-MU8667,8_2,PARTYO,2910.0,1845.49,sabre,20180815
41650,MU0554-MU0523-MU0522-MU8661,8_2,PARTYO,2170.0,1871.01,sabre,20180815
41651,MU0570-MU0271-MU0522-MU8661,8_2,PARTYO,2180.0,1871.01,sabre,20180815
41652,MU0554-MU0539-MU0522-MU8661,8_2,PARTYO,2405.0,1871.01,sabre,20180815
41653,MU0554-MU0523-MU0522-MU8663,8_2,PARTYO,2810.0,1871.01,sabre,20180815
41654,MU0570-MU0271-MU0522-MU8663,8_2,PARTYO,2820.0,1871.01,sabre,20180815
41655,MU0554-MU0539-MU0522-MU8663,8_2,PARTYO,3045.0,1871.01,sabre,20180815
41656,MU0554-MU0523-MU0540-MU8661,8_2,PARTYO,2115.0,1871.49,sabre,20180815
41657,MU0570-MU0271-MU0540-MU8661,8_2,PARTYO,2125.0,1871.49,sabre,20180815
41658,MU0554-MU0523-MU0540-MU0553,8_2,PARTYO,2165.0,1871.49,sabre,20180815
41659,MU0570-MU0271-MU0540-MU0553,8_2,PARTYO,2175.0,1871.49,sabre,20180815
41660,MU0554-MU0539-MU0540-MU8661,8_2,PARTYO,2350.0,1871.49,sabre,20180815
41661,MU0554-MU0539-MU0540-MU0553,8_2,PARTYO,2400.0,1871.49,sabre,20180815
41662,CX0278-CX5396-CX6321-CX0279,8_2,PARTYO,3725.0,1873.29,sabre,20180815
41663,CX0260-CX5396-CX6321-CX0279,8_2,PARTYO,4205.0,1873.29,sabre,20180815
41664,CX0278-CX5396-CX6323-CX0279,8_2,PARTYO,3235.0,1883.05,sabre,20180815
41665,CX0260-CX5396-CX6323-CX0279,8_2,PARTYO,3715.0,1883.05,sabre,20180815
41666,MU0554-MU0521-MU0576-MU0569,8_2,PARTYO,2225.0,1928.49,sabre,20180815
41667,MU0554-MU0271-MU0576-MU0569,8_2,PARTYO,2525.0,1928.49,sabre,20180815
