,itinerary,ap_los,ond,travel_time,fare,provider,search_date
49920,CZ0348-CZ3811-CZ3770-CZ0655-AF1845,8_7,PARWNZ,2795.0,683.66,sabre,20180815
49921,CZ0348-CZ3763-CZ3770-CZ0655-AF1845,8_7,PARWNZ,3000.0,683.66,sabre,20180815
49922,CZ0348-CZ3809-CZ3770-CZ0655-AF1845,8_7,PARWNZ,3355.0,683.66,sabre,20180815
49923,CZ0348-CZ3769-CZ3770-CZ0655-AF1845,8_7,PARWNZ,3650.0,683.66,sabre,20180815
49924,AF0116-MU5501-CZ6708-AF0139,8_7,PARWNZ,3345.0,707.81,sabre,20180815
49925,AF0116-AF5211-CZ6708-AF0139,8_7,PARWNZ,3345.0,707.81,sabre,20180815
49926,AF0116-FM9517-CZ6708-AF0139,8_7,PARWNZ,3375.0,717.81,sabre,20180815
49927,AF0382-AF4416-CZ6708-AF0139,8_7,PARWNZ,3630.0,719.3,sabre,20180815
49928,AF0116-MU5501-AF7780-AF7782-AF0139,8_7,PARWNZ,3485.0,736.47,sabre,20180815
49929,AF0116-AF5211-AF7780-AF7782-AF0139,8_7,PARWNZ,3485.0,736.47,sabre,20180815
49930,AF1640-AF8443-AF4416-CZ6708-AF0139,8_7,PARWNZ,2885.0,744.33,sabre,20180815
49931,AF0116-FM9517-AF7780-AF7782-AF0139,8_7,PARWNZ,3515.0,747.47,sabre,20180815
49932,AF0382-AF4416-AF7780-AF7782-AF0139,8_7,PARWNZ,3770.0,748.96,sabre,20180815
49933,AF7760-AF7777-CZ6708-AF0139,8_7,PARWNZ,2470.0,749.3,sabre,20180815
49934,AF7760-CZ3811-CZ6708-AF0139,8_7,PARWNZ,2470.0,749.3,sabre,20180815
49935,AF7760-CZ3763-CZ6708-AF0139,8_7,PARWNZ,2675.0,749.3,sabre,20180815
49936,AF0128-AF4416-CZ6708-AF0139,8_7,PARWNZ,2755.0,749.3,sabre,20180815
49937,AF7760-CZ3769-CZ6708-AF0139,8_7,PARWNZ,3325.0,749.3,sabre,20180815
49938,AF7760-AF7778-CZ6708-AF0139,8_7,PARWNZ,3325.0,749.3,sabre,20180815
49939,AF8234-AF8443-AF4416-CZ6708-AF0139,8_7,PARWNZ,2720.0,768.33,sabre,20180815
49940,AF1640-AF8443-AF4416-AF7780-AF7782-AF0139,8_7,PARWNZ,3025.0,773.99,sabre,20180815
49941,AF7760-AF7777-AF7780-AF7782-AF0139,8_7,PARWNZ,2610.0,778.96,sabre,20180815
49942,AF7760-CZ3811-AF7780-AF7782-AF0139,8_7,PARWNZ,2610.0,778.96,sabre,20180815
49943,AF7760-CZ3763-AF7780-AF7782-AF0139,8_7,PARWNZ,2815.0,778.96,sabre,20180815
49944,AF0128-AF4416-AF7780-AF7782-AF0139,8_7,PARWNZ,2895.0,778.96,sabre,20180815
49945,AF7760-CZ3769-AF7780-AF7782-AF0139,8_7,PARWNZ,3465.0,778.96,sabre,20180815
49946,AF7760-AF7778-AF7780-AF7782-AF0139,8_7,PARWNZ,3465.0,778.96,sabre,20180815
49947,AF8234-AF8443-AF4416-AF7780-AF7782-AF0139,8_7,PARWNZ,2860.0,797.99,sabre,20180815
49948,AF0138-AF4402-CZ6708-AF0139,8_7,PARWNZ,2660.0,798.3,sabre,20180815
49949,AF0116-MU5501-MU9518-MU8661,8_7,PARWNZ,2740.0,819.32,sabre,20180815
49950,AF0116-MU5501-FM9518-MU8661,8_7,PARWNZ,2740.0,819.32,sabre,20180815
49951,AF0116-AF5211-FM9518-MU8661,8_7,PARWNZ,2740.0,819.32,sabre,20180815
49952,AF0116-AF5211-MU9518-MU8661,8_7,PARWNZ,2740.0,819.32,sabre,20180815
49953,AF0116-AF5211-MU9516-MU8661,8_7,PARWNZ,2975.0,819.32,sabre,20180815
49954,AF0116-MU5501-MU9516-MU8661,8_7,PARWNZ,2975.0,819.32,sabre,20180815
49955,AF0116-MU5501-MU9526-MU8661,8_7,PARWNZ,2985.0,819.32,sabre,20180815
49956,AF0116-AF5211-MU9526-MU8661,8_7,PARWNZ,2985.0,819.32,sabre,20180815
49957,AF0116-MU5501-MU9520-MU8661,8_7,PARWNZ,3465.0,819.32,sabre,20180815
49958,AF0116-AF5211-MU9520-MU8661,8_7,PARWNZ,3465.0,819.32,sabre,20180815
49959,AF0116-MU5501-MU5586-MU8661,8_7,PARWNZ,3480.0,819.32,sabre,20180815
49960,AF0116-AF5211-MU5586-MU8661,8_7,PARWNZ,3480.0,819.32,sabre,20180815
49961,AF0116-MU5501-FM9518-MU0569,8_7,PARWNZ,3555.0,819.32,sabre,20180815
