,itinerary,ap_los,ond,travel_time,fare,provider,search_date
24054,IB2687-IB2688,3_2,PARYMQ,875.0,909.34,sabre,20180815
24055,TS0567-TS0110,3_2,PARYMQ,875.0,943.86,sabre,20180815
24056,TS0511-TS0110,3_2,PARYMQ,880.0,943.86,sabre,20180815
24057,TS0567-TS0150,3_2,PARYMQ,865.0,973.86,sabre,20180815
24058,TS0511-TS0150,3_2,PARYMQ,870.0,973.86,sabre,20180815
24059,WS0081-WS3452-WS3453-WS0080,3_2,PARYMQ,1330.0,1055.86,sabre,20180815
24060,WS0081-WS3452-WS3451-WS0080,3_2,PARYMQ,1870.0,1055.86,sabre,20180815
24061,SS0900-SS0901,3_2,PARYMQ,875.0,1088.34,sabre,20180815
24062,WS0081-WS3450-WS3453-WS0080,3_2,PARYMQ,2216.0,1128.86,sabre,20180815
24063,WS0081-WS3450-WS3451-WS0080,3_2,PARYMQ,2756.0,1128.86,sabre,20180815
24064,WS0081-WS0212-WS3451-WS0080,3_2,PARYMQ,3142.0,1393.86,sabre,20180815
24065,WS0081-WS3450-WS0215-WS0080,3_2,PARYMQ,2831.0,1466.86,sabre,20180815
24066,WS0081-WS3452-WS0215-WS0080,3_2,PARYMQ,1945.0,1476.86,sabre,20180815
24067,WS0081-WS3452-WS0217-WS0080,3_2,PARYMQ,2815.0,1495.86,sabre,20180815
24068,WS0081-WS3452-WS0213-WS0080,3_2,PARYMQ,3130.0,1495.86,sabre,20180815
24069,WS0081-WS3450-WS0217-WS0080,3_2,PARYMQ,3701.0,1568.86,sabre,20180815
24070,WS0081-WS3450-WS0213-WS0080,3_2,PARYMQ,4016.0,1568.86,sabre,20180815
24071,WS0081-WS0214-WS3453-WS0080,3_2,PARYMQ,2102.0,1614.86,sabre,20180815
24072,WS0081-WS0214-WS3451-WS0080,3_2,PARYMQ,2642.0,1614.86,sabre,20180815
24073,AT0761-AT0208-AT0209-AT0788,3_2,PARYMQ,1545.0,1823.54,sabre,20180815
24074,AT0777-AT0208-AT0209-AT0788,3_2,PARYMQ,1855.0,1823.54,sabre,20180815
24075,AT0761-AT0208-AT0209-AT0778,3_2,PARYMQ,2670.0,1823.54,sabre,20180815
24076,AT0761-AT0208-AT0209-AT0774,3_2,PARYMQ,2800.0,1823.54,sabre,20180815
24077,AT0777-AT0208-AT0209-AT0778,3_2,PARYMQ,2980.0,1823.54,sabre,20180815
24078,AT0777-AT0208-AT0209-AT0774,3_2,PARYMQ,3110.0,1823.54,sabre,20180815
24079,AT0779-AT0208-AT0209-AT0788,3_2,PARYMQ,1545.0,1826.06,sabre,20180815
24080,AT0787-AT0208-AT0209-AT0788,3_2,PARYMQ,1895.0,1826.06,sabre,20180815
24081,AT0779-AT0208-AT0209-AT0778,3_2,PARYMQ,2670.0,1826.06,sabre,20180815
24082,AT0779-AT0208-AT0209-AT0774,3_2,PARYMQ,2800.0,1826.06,sabre,20180815
24083,AT0787-AT0208-AT0209-AT0778,3_2,PARYMQ,3020.0,1826.06,sabre,20180815
24084,AT0787-AT0208-AT0209-AT0774,3_2,PARYMQ,3150.0,1826.06,sabre,20180815
24085,BA0315-BA0095-IB2688,3_2,PARYMQ,1110.0,1838.04,sabre,20180815
24086,BA0307-BA0095-IB2688,3_2,PARYMQ,1325.0,1838.04,sabre,20180815
24087,BA0303-BA0095-IB2688,3_2,PARYMQ,1515.0,1838.04,sabre,20180815
24088,BA0315-IB7599-IB2688,3_2,PARYMQ,1110.0,1841.54,sabre,20180815
24089,BA0307-IB7599-IB2688,3_2,PARYMQ,1325.0,1841.54,sabre,20180815
24090,BA0303-IB7599-IB2688,3_2,PARYMQ,1515.0,1841.54,sabre,20180815
24091,BA8752-BA0095-IB2688,3_2,PARYMQ,1490.0,1849.31,sabre,20180815
24092,BA8003-AA4127-IB2688,3_2,PARYMQ,1312.0,1858.8,sabre,20180815
