,ap_los,both,competitor_cheapest,competitor_cxr_div,competitor_fare_mean,competitor_fare_std,competitor_min_carrier,competitor_only,competitor_time_max,competitor_time_mean,competitor_time_min,competitor_time_std,cxr_div,file_name,lfe,lfe_fare_difference,ond,overlap,quickest,sabre_cheapest,sabre_cxr_div,sabre_fare_mean,sabre_fare_std,sabre_min_carrier,sabre_only,sabre_time_max,sabre_time_mean_sabre,sabre_time_min,sabre_time_std,search_date
0,15_315_3,150,362.34,3,511.329347826087,122.42076986392256,"{'A5-AF': 647.34, 'AF': 362.34, 'XK': 621.11}",92,1440.0,465.8152173913044,275.0,203.93421312366837,sabre,20180815_AJAPAR_15_3-processed,sabre,0.11823149528067554,AJAPAR,-129.31034482758622,sabre,319.5,2,381.6004347826086,25.766308861308787,"{'AF': 360.34, 'XK': 319.5}",92,1650.0,424.07608695652175,185.0,366.5895160367196,20180815
1,15_715_7,93,360.12,1,491.27223214285704,45.72304559602581,{'AF': 360.12},112,1420.0,459.24107142857144,265.0,225.86790548985311,competitor,20180815_AJAPAR_15_7-processed,sabre,0.005109407975119493,AJAPAR,244.73684210526315,sabre,358.28,2,404.76214285714286,19.44304222240674,"{'AF': 379.02, 'XK': 358.28}",112,1640.0,891.2053571428571,185.0,406.2114821854877,20180815
2,22_1422_14,63,310.92,2,420.10832116788316,36.74720262601317,"{'AF': 310.92, 'XK': 392.08}",137,1015.0,387.22627737226276,190.0,99.15251121828982,tie,20180815_AJAPAR_22_14-processed,sabre,0.2327286761868005,AJAPAR,42.567567567567565,tie,238.56,2,319.5452554744526,17.871248684125042,"{'AF': 262.0, 'XK': 238.56}",137,1640.0,759.5985401459855,190.0,357.30458377424776,20180815
3,22_722_7,66,310.92,1,427.87000000000006,34.5388060927964,{'AF': 310.92},134,750.0,402.53731343283584,190.0,106.35757936068745,competitor,20180815_AJAPAR_22_7-processed,sabre,0.1693040010292038,AJAPAR,48.529411764705884,tie,258.28,2,329.0755970149253,13.185186921396733,"{'AF': 281.72, 'XK': 258.28}",134,1430.0,768.8059701492538,190.0,313.30411077537906,20180815
4,3_2,91,423.12,2,563.0132704402516,109.47772804245527,"{'AF': 423.12, 'XK': 423.12}",159,1630.0,318.1446540880503,190.0,184.83789807020773,tie,20180815_AJAPAR_3_2-processed,sabre,0.2950463225562489,AJAPAR,66.91176470588235,sabre,298.28,2,392.081320754717,28.839946894059317,"{'AF': 321.72, 'XK': 298.28}",159,3070.0,1062.8930817610062,185.0,700.505103399357,20180815
5,8_2,111,428.12,3,521.9074820143886,84.10789323531633,"{'A5-AF': 592.35, 'AF': 450.12, 'XK': 428.12}",139,805.0,351.8705035971223,190.0,162.4520814312293,sabre,20180815_AJAPAR_8_2-processed,sabre,0.3266373913855929,AJAPAR,198.21428571428572,sabre,288.28,2,346.28345323741,38.24524348018071,"{'AF': 311.72, 'XK': 288.28}",139,1705.0,569.0647482014389,185.0,475.31971252055655,20180815
6,8_7,97,368.12,2,504.7367320261438,96.20781226369238,"{'AF': 388.55, 'XK': 368.12}",153,495.0,332.32026143790847,190.0,101.63632623455806,tie,20180815_AJAPAR_8_7-processed,sabre,0.32554601760295554,AJAPAR,86.60714285714286,sabre,248.28,2,305.324183006536,29.748095950001556,"{'AF': 253.94, 'XK': 248.28}",153,2035.0,737.5163398692811,185.0,455.53399989484814,20180815
7,15_3,75,980.87,2,997.3033606557378,11.599251586761318,"{'AT': 988.75, 'IB': 980.87}",122,3220.0,1966.5573770491803,885.0,585.7520002284035,competitor,20180815_ALGPAR_15_3-processed,sabre,0.25866832505836657,ALGPAR,79.7872340425532,sabre,727.15,9,1102.3326229508198,246.0931322759614,"{'AF-AH-AZ-UX': 727.15, 'AF-AH-KQ-UX': 1330.47, 'AF-AH-UX': 784.34, 'AH-KQ-UX': 1319.47, 'AH-UX': 1318.83, 'AT': 917.27, 'IB': 934.1, 'TK': 1531.29, 'VY': 1135.75}",122,2870.0,1206.844262295082,575.0,685.2610652966027,20180815
8,15_7,109,988.75,3,991.9962637362636,3.5822654682792425,"{'AT': 988.75, 'IB': 988.75, 'VY': 989.89}",91,3230.0,2015.3296703296703,1270.0,541.0847141508139,competitor,20180815_ALGPAR_15_7-processed,sabre,0.26457648546144125,ALGPAR,-302.77777777777777,sabre,727.15,8,1147.4090109890108,245.51509615072527,"{'AF-AH-AZ-UX': 727.15, 'AF-AH-KQ-UX': 1330.47, 'AF-AH-UX': 784.34, 'AH-KQ-UX': 1319.47, 'AH-UX': 1318.83, 'AT': 1032.27, 'TK': 1531.29, 'VY': 1030.75}",91,2695.0,975.3296703296703,575.0,584.7790666367571,20180815
9,22_1422_14,103,304.89,14,718.4821100917434,219.45417501945417,"{'5O': 342.13, '5O-AH': 795.49, 'AF': 620.13, 'AF-AH': 756.75, 'AF-AH-AZ': 722.56, 'AF-AZ': 675.94, 'AH': 486.37, 'AH-LH': 1091.74, 'AT': 829.27, 'AZ': 304.89, 'IB': 384.19, 'LH': 482.97, 'TK': 856.19, 'VY': 484.75}",109,2055.0,522.0642201834862,270.0,425.3931792456148,sabre,20180815_ALGPAR_22_14-processed,sabre,0.05293712486470526,ALGPAR,792.3076923076923,competitor,288.75,10,425.5556363636364,214.31053374140782,"{'AF-AH': 1169.57, 'AF-KQ': 1181.69, 'AH-KQ': 1199.57, 'AZ': 449.89, 'BA-IB': 370.64, 'IB': 308.75, 'LH': 456.97, 'TK': 700.19, 'TU': 433.43, 'VY': 288.75}",110,2955.0,1376.0,275.0,539.7951531270446,20180815
