ap,los,ond,dates
8,7,PARTLS,20180815
15,7,PARTLS,20180815
3,2,NCEPAR,20180815
22,14,PARTLS,20180815
15,3,PARTLS,20180815
3,2,PARTLS,20180815
22,7,PARTLS,20180815
8,2,PARTLS,20180815
8,2,NCEPAR,20180815
8,7,NCEPAR,20180815
15,3,NCEPAR,20180815
15,7,NCEPAR,20180815
22,7,NCEPAR,20180815
22,14,NCEPAR,20180815
8,2,MRSPAR,20180815
3,2,MRSPAR,20180815
8,7,MRSPAR,20180815
15,3,MRSPAR,20180815
15,7,MRSPAR,20180815
22,7,MRSPAR,20180815
22,14,MRSPAR,20180815
8,2,ALGPAR,20180815
3,2,ALGPAR,20180815
8,7,ALGPAR,20180815
22,7,ALGPAR,20180815
15,3,ALGPAR,20180815
15,7,ALGPAR,20180815
3,2,BODPAR,20180815
22,14,ALGPAR,20180815
8,2,BODPAR,20180815
8,7,BODPAR,20180815
15,3,BODPAR,20180815
15,7,BODPAR,20180815
22,7,BODPAR,20180815
22,14,BODPAR,20180815
8,7,PARPTP,20180815
3,2,PARPTP,20180815
8,2,PARPTP,20180815
15,3,PARPTP,20180815
15,7,PARPTP,20180815
22,14,PARPTP,20180815
22,7,PARPTP,20180815
3,2,BKKPAR,20180815
8,7,BKKPAR,20180815
8,2,BKKPAR,20180815
15,3,BKKPAR,20180815
22,7,BKKPAR,20180815
15,7,BKKPAR,20180815
22,14,BKKPAR,20180815
3,2,NYCPAR,20180815
8,2,NYCPAR,20180815
8,7,NYCPAR,20180815
15,3,NYCPAR,20180815
15,7,NYCPAR,20180815
22,7,NYCPAR,20180815
22,14,NYCPAR,20180815
8,2,FDFPAR,20180815
3,2,FDFPAR,20180815
8,7,FDFPAR,20180815
15,3,FDFPAR,20180815
15,7,FDFPAR,20180815
22,7,FDFPAR,20180815
22,14,FDFPAR,20180815
3,2,LISPAR,20180815
8,2,LISPAR,20180815
8,7,LISPAR,20180815
15,3,LISPAR,20180815
15,7,LISPAR,20180815
22,7,LISPAR,20180815
3,2,MRUPAR,20180815
22,14,LISPAR,20180815
8,2,MRUPAR,20180815
8,7,MRUPAR,20180815
15,3,MRUPAR,20180815
15,7,MRUPAR,20180815
22,7,MRUPAR,20180815
22,14,MRUPAR,20180815
3,2,PARRUN,20180815
8,2,PARRUN,20180815
8,7,PARRUN,20180815
15,3,PARRUN,20180815
15,7,PARRUN,20180815
22,14,PARRUN,20180815
22,7,PARRUN,20180815
3,2,MADPAR,20180815
8,2,MADPAR,20180815
15,3,MADPAR,20180815
8,7,MADPAR,20180815
22,14,MADPAR,20180815
22,7,MADPAR,20180815
15,7,MADPAR,20180815
3,2,PARTUN,20180815
8,7,PARTUN,20180815
8,2,PARTUN,20180815
15,7,PARTUN,20180815
15,3,PARTUN,20180815
22,7,PARTUN,20180815
8,2,MPLPAR,20180815
22,14,PARTUN,20180815
3,2,MPLPAR,20180815
8,7,MPLPAR,20180815
15,3,MPLPAR,20180815
15,7,MPLPAR,20180815
22,7,MPLPAR,20180815
22,14,MPLPAR,20180815
3,2,HKTPAR,20180815
8,7,HKTPAR,20180815
8,2,HKTPAR,20180815
15,3,HKTPAR,20180815
15,7,HKTPAR,20180815
22,7,HKTPAR,20180815
22,14,HKTPAR,20180815
3,2,CMBPAR,20180815
8,2,CMBPAR,20180815
8,7,CMBPAR,20180815
15,3,CMBPAR,20180815
15,7,CMBPAR,20180815
22,7,CMBPAR,20180815
22,14,CMBPAR,20180815
3,2,PARYMQ,20180815
8,7,PARYMQ,20180815
15,3,PARYMQ,20180815
8,2,PARYMQ,20180815
15,7,PARYMQ,20180815
22,7,PARYMQ,20180815
22,14,PARYMQ,20180815
3,2,PARTLV,20180815
8,7,PARTLV,20180815
8,2,PARTLV,20180815
15,3,PARTLV,20180815
15,7,PARTLV,20180815
22,7,PARTLV,20180815
22,14,PARTLV,20180815
3,2,DPSPAR,20180815
8,7,DPSPAR,20180815
8,2,DPSPAR,20180815
15,3,DPSPAR,20180815
15,7,DPSPAR,20180815
22,7,DPSPAR,20180815
8,2,MILPAR,20180815
3,2,MILPAR,20180815
22,14,DPSPAR,20180815
8,7,MILPAR,20180815
15,3,MILPAR,20180815
15,7,MILPAR,20180815
22,14,MILPAR,20180815
22,7,MILPAR,20180815
3,2,CASPAR,20180815
8,7,CASPAR,20180815
8,2,CASPAR,20180815
15,3,CASPAR,20180815
22,7,CASPAR,20180815
15,7,CASPAR,20180815
22,14,CASPAR,20180815
3,2,DXBPAR,20180815
8,2,DXBPAR,20180815
8,7,DXBPAR,20180815
15,7,DXBPAR,20180815
15,3,DXBPAR,20180815
22,7,DXBPAR,20180815
22,14,DXBPAR,20180815
3,2,PARRAK,20180815
8,2,PARRAK,20180815
8,7,PARRAK,20180815
15,3,PARRAK,20180815
22,7,PARRAK,20180815
15,7,PARRAK,20180815
22,14,PARRAK,20180815
8,2,BCNPAR,20180815
3,2,BCNPAR,20180815
8,7,BCNPAR,20180815
15,3,BCNPAR,20180815
15,7,BCNPAR,20180815
22,7,BCNPAR,20180815
22,14,BCNPAR,20180815
8,2,PARROM,20180815
