Carrier,Code,Branded Fares,Seats,Baggage,Lounge,Meals,Unaccompanied Travel,Pets,Medical,In-Flight Entertainment,Ground Transportation,Travel Services,Frequent Flyer Miles,POS,Branded POS
Adria Airways,JP,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Aegean Airlines,A3,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No
Aeroflot,SU,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Aer Lingus,EI,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Aerogal,2K,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Aerolineas Argentinas ,AR,No,No,No,No,No,No,No,No,No,No,No,No,No,No
AeroMexico,AM,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No
Aigle Azur,ZI,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No
Air Asia,AK,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No
Air Asia India,I5,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Air Asia Phillippines,PQ,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Air Asia X,D7,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No
Air Astana,KC,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Air Austral,UU,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Air Baltic,BT,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No
Air Canada,AC,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Air Caraibes,TX,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No
Air China,CA ,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Air Corsica,XK,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Air Dolomiti,EN,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Air Europa,UX,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Air France,AF,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No
Air Go Egypt,EO,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
Air Iceland,NY,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Air India,AI,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Air Inuit,3H,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Air Labrador,WJ,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Air Madagascar,MD,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Air Mauritius,MK,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No
Air Moldova,9U,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Air Namibia,SW,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Air New Zealand,NZ,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No
Air Serbia,JU,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Air Tahiti Nui,TN,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Air Transat,TS,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Alitalia,AZ,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No
American Airlines,AA,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Asiana Airlines,OZ,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Atlantic Airways,RC,No,No,No,No,No,No,No,No,No,No,No,No,No,No
AtlasJet,KK,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No
Austrian Airlines,OS,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No
Avianca,AV,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No
Azerbaijan Airlines,J2,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
Bangkok Airways,PG,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No
Bearskin,JV,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Belair,4T,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Binter,NT,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
BMI Regional,BM,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Boliviana De Aviacion,OB,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Boutique Air,4B,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Braathens Aviation,TF,No,No,No,No,No,No,No,No,No,No,No,No,No,No
British Airways,BA,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Brussels Airlines,SN,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No
Canadian North,ST,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Cathay Pacific,CX,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
Cayman Airways,KX,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Charlie Airlines,CY,No,No,No,No,No,No,No,No,No,No,No,No,No,No
China Airlines,CI,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
China Southern,CZ,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Condor,DE,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Corsair,SS,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No
Croatia Airlines,OU,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Czech Airlines,OK,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No
Delta Air Lines,DL,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Dragonair,KA,No,Yes, ,No,No,No,No,No,No,No,No,No,No,No
easyJet,U2,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
EL AL,LY,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No
Ellinair,EL,Yes, ,No,No,No,No,No,No,No,No,No,No,No,No
Emirates,EK,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Estonian Air ,OV,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Ethiopian,ET,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Etihad,EY, ,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
EuroAtlantic,YU,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Eurowings,EW,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Fiji Airways,FJ,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Finnair,AY,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No
First Air,7F,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Flexflight,W2,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Flybe,BE,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No
Fly Blue Crane,7B,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
French Blue,BF,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Frontier Airlines,F9,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Garuda,GA,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Germania,GM,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Germanwings,4U,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
GOL,G3,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Gulf Air,GF,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Hahn Air,HR,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Hahn Air Systems,H1,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Hainan Airlines,HU,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Hawaiian Airlines,HA,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Hawkair,BH,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
HongKong Airlines,HX,No,No,No,No,No,No,No,No,No,No,No,No,No,No
HOP!,A5,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Iberia,IB,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No
Icelandair,FI,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No
IndiGo,6E,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No
Indonesia AsiaAir,QZ,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Jambojet.com,JX,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
Japan Airlines,JL,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Jeju Air,7C,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Jet2.com,LS,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No
Jet Airways,9W,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
jetBlue,B6,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Jordan Aviation,R5,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Kenya Airways,KQ,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
KLM,KL,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No
Korean Airlines,KE,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Kulula.com,MN,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
La Compagnie,B0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Lacsa,LR,No,No,No,No,No,No,No,No,No,No,No,No,No,No
LATAM Airlines Argentina,4M,No,No,No,No,No,No,No,No,No,No,No,No,No,No
LATAM Airlines Brasil,JJ,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No
LATAM Airlines Ecuador,XL,No,No,No,No,No,No,No,No,No,No,No,No,No,No
LATAM Airlines Paraguay,PZ,No,No,No,No,No,No,No,No,No,No,No,No,No,No
LATAM Airlines Colunbia,LP,No,No,No,No,No,No,No,No,No,No,No,No,No,No
LATAM Airlines Peru,4C,No,No,No,No,No,No,No,No,No,No,No,No,No,No
LOT Polish Airlines,LO,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Lufthansa,LH,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No
Luxair,LG,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
Malaysia Airlines,MH,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Mango,JE,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Maya Islandair,MY,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Meridiana,IG,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No
MIAT Mongolian,OM,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Middle East Airlines,ME,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Mihin Lanka,MU,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
Myanmar Airways,8M,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Niki,HG,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Nile Air,NP,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Norwegian Air Shuttle,DY,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Oceanair (Avianca Brazil),O6,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No
Oman Air,WY,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No
OneJet,J1,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Onur Airlines,8Q,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Pacific Coastal,8P,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
PAWA Domincana,7N,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Pegasus,PC,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No
Peruvian Airlines,P9,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Phillippine Airlines,PR,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
Porter Airlines,PD,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Qantas,QF,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
Qatar,QR,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Regional Express Airlines,ZL,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Royal Brunei,BI,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Royal Jordanian,RJ,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Rusline,7R,No,No,No,No,No,No,No,No,No,No,No,No,No,No
RwandAir,WB,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Ryanair,FR,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No
STP Airways,8F,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
SATA Group,S4,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No
Saudi Arabian Airlines,SV,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Scandinavian Airlines,SK,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No
Seaport,K5,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Shanghai Airlines,FM,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Siam Air,O8,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Siberia Airlines (S7),S7,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No
Singapore Airlines,SQ,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
SkyWorks Airlines,SX,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Solomons Airlines,IE,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Spirit Airlines,NK,No,No,No,No,No,No,No,No,No,No,No,No,No,No
South African Airways,SA,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No
SriLankan Airlines,UL,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
Sun Express,XQ,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Sun Express Germany,XG,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Sunwing Airlines,WG,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
SWISS,LK,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
TACA,TA,No,No,No,No,No,No,No,No,No,No,No,No,No,No
TAP Portugal,TP,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No
Thai AirAsia,FD,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Thai AirAsia X,XJ,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Thomas Cook Airlines Belgium,HQ,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Thomas Cook Airlines Limited of Manchester,MT,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Tiger Air,TR,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No
Tiger Air Taiwan,IT,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No
Tradewind Aviation,TJ,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Transavia,HV,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No
Transavia France,TO,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Tropic Air,9N,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Ukraine International,PS,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No
United Airlines,UA,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Ural Airlines,U6,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Utair,UT,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Via Air ,VC,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Virgin America,VX,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Virgin Atlantic,VS,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Virgin Australia,VA,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No
Vistara,UK,No,No,No,No,No,No,No,No,No,No,No,No,No,No
VivaAerobus,VB,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Vueling,VY,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
WestJet,WS,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Wideroe,WF,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Windwood Island Airways,WM,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
WOW Air,WW,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
