id,Unnamed: 0,itinerary,ap_los,market,travel_time,fare,provider,search_date,ond,is_duplicate,price_rank_abs,time_rank_abs,price_rank,time_rank
0,67317,VA0204-VA0259-VA0581,3_2,ADLCBR,290,487.67,sabre,20180823,ADLCBR,TRUE,1,2,1,2
1,67318,VA0204-VA0271-VA0581,3_2,ADLCBR,575,487.67,sabre,20180823,ADLCBR,TRUE,1,47,1,42
2,67319,VA0204-VA0271-VA0641-VA0422,3_2,ADLCBR,765,503.98,sabre,20180823,ADLCBR,TRUE,3,83,2,74
3,67320,VA0204-VA0259-VA0645-VA0444,3_2,ADLCBR,770,503.98,sabre,20180823,ADLCBR,TRUE,3,84,2,75
4,67321,VA0204-VA0271-VA0641-VA0436,3_2,ADLCBR,1085,503.98,sabre,20180823,ADLCBR,TRUE,3,134,2,107
5,67322,VA0204-VA0271-VA0641-VA0428,3_2,ADLCBR,960,503.98,sabre,20180823,ADLCBR,TRUE,3,117,2,98
6,67323,VA0204-VA0259-VA0645-VA0436,3_2,ADLCBR,650,503.98,sabre,20180823,ADLCBR,TRUE,3,61,2,55
7,67324,VA0204-VA0271-VA0625-VA0412,3_2,ADLCBR,755,503.98,sabre,20180823,ADLCBR,TRUE,3,81,2,72
8,67325,VA0204-VA0259-VA0651-VA0428,3_2,ADLCBR,405,503.98,sabre,20180823,ADLCBR,TRUE,3,15,2,14
9,67326,VA0204-VA0259-VA0651-VA0444,3_2,ADLCBR,650,503.98,sabre,20180823,ADLCBR,TRUE,3,61,2,55
10,67327,VA0204-VA0259-VA0657-VA0436,3_2,ADLCBR,440,503.98,sabre,20180823,ADLCBR,TRUE,3,21,2,18
11,67328,VA0204-VA0259-VA0657-VA0444,3_2,ADLCBR,560,503.98,sabre,20180823,ADLCBR,TRUE,3,44,2,39
12,67329,VA0204-VA0271-VA0645-VA0428,3_2,ADLCBR,810,503.98,sabre,20180823,ADLCBR,TRUE,3,91,2,81
13,67330,VA0204-VA0271-VA0641-VA0444,3_2,ADLCBR,1205,503.98,sabre,20180823,ADLCBR,TRUE,3,143,2,110
14,67331,VA0204-VA0271-VA0657-VA0436,3_2,ADLCBR,725,503.98,sabre,20180823,ADLCBR,TRUE,3,75,2,67
15,67332,VA0204-VA0271-VA0657-VA0444,3_2,ADLCBR,845,503.98,sabre,20180823,ADLCBR,TRUE,3,96,2,85
16,67333,VA0204-VA0259-VA0645-VA0428,3_2,ADLCBR,525,503.98,sabre,20180823,ADLCBR,TRUE,3,37,2,33
17,67334,VA0204-VA0259-VA0641-VA0444,3_2,ADLCBR,920,503.98,sabre,20180823,ADLCBR,TRUE,3,110,2,95
18,67335,VA0204-VA0259-VA0641-VA0436,3_2,ADLCBR,800,503.98,sabre,20180823,ADLCBR,TRUE,3,89,2,80
19,67336,VA0204-VA0271-VA0645-VA0444,3_2,ADLCBR,1055,503.98,sabre,20180823,ADLCBR,TRUE,3,131,2,104
20,67337,VA0204-VA0259-VA0641-VA0428,3_2,ADLCBR,675,503.98,sabre,20180823,ADLCBR,TRUE,3,65,2,58
21,67338,VA0204-VA0259-VA0641-VA0422,3_2,ADLCBR,480,503.98,sabre,20180823,ADLCBR,TRUE,3,28,2,24
22,67339,VA0204-VA0259-VA0625-VA0412,3_2,ADLCBR,470,503.98,sabre,20180823,ADLCBR,TRUE,3,26,2,22
23,67340,VA0204-VA0271-VA0651-VA0428,3_2,ADLCBR,690,503.98,sabre,20180823,ADLCBR,TRUE,3,68,2,61
