ID,search_date,ond,ap_los,provider,itinerary,fare_sabre,fare_competitor,fare_difference,travel_time_sabre,travel_time_competitor,price_rank_abs_sabre,price_rank_abs_competitor,time_rank_sabre,time_rank_competitor,time_rank_abs_sabre,time_rank_abs_competitor,travel_time_sabre,travel_time_competitor
0,20180823.020180823.0,ADLCBR,3_23_2,sabre_competitor,VA0204-VA0259-VA0581,487.67,487.99,-0.000656181,290,290,1,2,2,1,2,2,290,290
1,20180823.020180823.0,ADLCBR,3_23_2,sabre_competitor,VA0204-VA0271-VA0581,487.67,487.99,-0.000656181,575,575,1,2,42,32,47,47,575,575
2,20180823.020180823.0,ADLCBR,3_23_2,sabre_competitor,VA0204-VA0271-VA0641-VA0422,503.98,503.99,-1.98E-05,765,765,3,4,74,61,83,83,765,765
3,20180823.020180823.0,ADLCBR,3_23_2,sabre_competitor,VA0204-VA0259-VA0645-VA0444,503.98,503.99,-1.98E-05,770,770,3,4,75,62,84,84,770,770
4,20180823.020180823.0,ADLCBR,3_23_2,sabre_competitor,VA0204-VA0271-VA0641-VA0436,503.98,503.99,-1.98E-05,1085,1085,3,4,107,108,134,134,1085,1085
5,20180823.020180823.0,ADLCBR,3_23_2,sabre_competitor,VA0204-VA0271-VA0641-VA0428,503.98,503.99,-1.98E-05,960,960,3,4,98,92,117,117,960,960
6,20180823.020180823.0,ADLCBR,3_23_2,sabre_competitor,VA0204-VA0259-VA0645-VA0436,503.98,503.99,-1.98E-05,650,650,3,4,55,43,61,61,650,650
7,20180823.020180823.0,ADLCBR,3_23_2,sabre_competitor,VA0204-VA0271-VA0625-VA0412,503.98,503.99,-1.98E-05,755,755,3,4,72,59,81,81,755,755
8,20180823.020180823.0,ADLCBR,3_23_2,sabre_competitor,VA0204-VA0259-VA0651-VA0428,503.98,503.99,-1.98E-05,405,405,3,4,14,7,15,15,405,405
9,20180823.020180823.0,ADLCBR,3_23_2,sabre_competitor,VA0204-VA0259-VA0651-VA0444,503.98,503.99,-1.98E-05,650,650,3,4,55,43,61,61,650,650
10,20180823.020180823.0,ADLCBR,3_23_2,sabre_competitor,VA0204-VA0259-VA0657-VA0436,503.98,503.99,-1.98E-05,440,440,3,4,18,11,21,21,440,440
11,20180823.020180823.0,ADLCBR,3_23_2,sabre_competitor,VA0204-VA0259-VA0657-VA0444,503.98,503.99,-1.98E-05,560,560,3,4,39,29,44,44,560,560
12,20180823.020180823.0,ADLCBR,3_23_2,sabre_competitor,VA0204-VA0271-VA0645-VA0428,503.98,503.99,-1.98E-05,810,810,3,4,81,68,91,91,810,810
13,20180823.020180823.0,ADLCBR,3_23_2,sabre_competitor,VA0204-VA0271-VA0641-VA0444,503.98,503.99,-1.98E-05,1205,1205,3,4,110,117,143,143,1205,1205
14,20180823.020180823.0,ADLCBR,3_23_2,sabre_competitor,VA0204-VA0271-VA0657-VA0436,503.98,503.99,-1.98E-05,725,725,3,4,67,54,75,75,725,725
15,20180823.020180823.0,ADLCBR,3_23_2,sabre_competitor,VA0204-VA0271-VA0657-VA0444,503.98,503.99,-1.98E-05,845,845,3,4,85,73,96,96,845,845
16,20180823.020180823.0,ADLCBR,3_23_2,sabre_competitor,VA0204-VA0259-VA0645-VA0428,503.98,503.99,-1.98E-05,525,525,3,4,33,24,37,37,525,525
17,20180823.020180823.0,ADLCBR,3_23_2,sabre_competitor,VA0204-VA0259-VA0641-VA0444,503.98,503.99,-1.98E-05,920,920,3,4,95,85,110,110,920,920
18,20180823.020180823.0,ADLCBR,3_23_2,sabre_competitor,VA0204-VA0259-VA0641-VA0436,503.98,503.99,-1.98E-05,800,800,3,4,80,66,89,89,800,800
19,20180823.020180823.0,ADLCBR,3_23_2,sabre_competitor,VA0204-VA0271-VA0645-VA0444,503.98,503.99,-1.98E-05,1055,1055,3,4,104,105,131,131,1055,1055
20,20180823.020180823.0,ADLCBR,3_23_2,sabre_competitor,VA0204-VA0259-VA0641-VA0428,503.98,503.99,-1.98E-05,675,675,3,4,58,47,65,65,675,675
21,20180823.020180823.0,ADLCBR,3_23_2,sabre_competitor,VA0204-VA0259-VA0641-VA0422,503.98,503.99,-1.98E-05,480,480,3,4,24,17,28,28,480,480
22,20180823.020180823.0,ADLCBR,3_23_2,sabre_competitor,VA0204-VA0259-VA0625-VA0412,503.98,503.99,-1.98E-05,470,470,3,4,22,15,26,26,470,470
23,20180823.020180823.0,ADLCBR,3_23_2,sabre_competitor,VA0204-VA0271-VA0651-VA0428,503.98,503.99,-1.98E-05,690,690,3,4,61,50,68,68,690,690
24,20180823.020180823.0,ADLCBR,3_23_2,sabre_competitor,VA0204-VA0271-VA0645-VA0436,503.98,503.99,-1.98E-05,935,935,3,4,96,87,112,112,935,935
25,20180823.020180823.0,ADLCBR,3_23_2,sabre_competitor,VA0204-VA0271-VA0651-VA0444,503.98,503.99,-1.98E-05,935,935,3,4,96,87,112,112,935,935
26,20180823.020180823.0,ADLCBR,3_23_2,sabre_competitor,VA0204-VA0259-VA0256-VA0239,505.34,505.99,-0.001286263,795,795,5,6,79,65,88,88,795,795
