id,Unnamed: 0,itinerary,ap_los,market,travel_time,fare,provider,search_date,ond,is_duplicate,price_rank_abs,time_rank_abs,price_rank,time_rank
0,0,QF0559-JQ0820,3_2,BNESYD,185.0,305.94,sabre,20180823,BNESYD,Y,29.0,1.0,1.0,1.0
1,4,QF0559-JQ0810,3_2,BNESYD,185.0,305.94,sabre,20180823,BNESYD,Y,29.0,1.0,1.0,1.0
2,6,QF0559-JQ0826,3_2,BNESYD,185.0,305.94,sabre,20180823,BNESYD,Y,29.0,1.0,1.0,1.0
3,9,QF0559-JQ0824,3_2,BNESYD,185.0,305.94,sabre,20180823,BNESYD,Y,29.0,1.0,1.0,1.0
4,12,QF0559-JQ0818,3_2,BNESYD,185.0,317.94,sabre,20180823,BNESYD,Y,37.0,1.0,2.0,1.0
5,15,QF0557-JQ0826,3_2,BNESYD,185.0,339.94,sabre,20180823,BNESYD,Y,50.0,1.0,3.0,1.0
6,18,QF0557-JQ0824,3_2,BNESYD,185.0,339.94,sabre,20180823,BNESYD,Y,50.0,1.0,3.0,1.0
7,22,QF0557-JQ0820,3_2,BNESYD,185.0,339.94,sabre,20180823,BNESYD,Y,50.0,1.0,3.0,1.0
8,25,QF0557-JQ0810,3_2,BNESYD,185.0,339.94,sabre,20180823,BNESYD,Y,50.0,1.0,3.0,1.0
9,28,QF0547-JQ0826,3_2,BNESYD,185.0,344.94,sabre,20180823,BNESYD,Y,51.0,1.0,4.0,1.0
10,30,QF0547-JQ0810,3_2,BNESYD,185.0,344.94,sabre,20180823,BNESYD,Y,51.0,1.0,4.0,1.0
11,33,QF0547-JQ0820,3_2,BNESYD,185.0,344.94,sabre,20180823,BNESYD,Y,51.0,1.0,4.0,1.0
12,36,QF0539-JQ0826,3_2,BNESYD,185.0,344.94,sabre,20180823,BNESYD,Y,51.0,1.0,4.0,1.0
13,39,QF0539-JQ0824,3_2,BNESYD,185.0,344.94,sabre,20180823,BNESYD,Y,51.0,1.0,4.0,1.0
14,42,QF0539-JQ0820,3_2,BNESYD,185.0,344.94,sabre,20180823,BNESYD,Y,51.0,1.0,4.0,1.0
15,45,QF0547-JQ0824,3_2,BNESYD,185.0,344.94,sabre,20180823,BNESYD,Y,51.0,1.0,4.0,1.0
16,48,QF0545-JQ0826,3_2,BNESYD,185.0,344.94,sabre,20180823,BNESYD,Y,51.0,1.0,4.0,1.0
17,51,QF0545-JQ0824,3_2,BNESYD,185.0,344.94,sabre,20180823,BNESYD,Y,51.0,1.0,4.0,1.0
18,54,QF0545-JQ0820,3_2,BNESYD,185.0,344.94,sabre,20180823,BNESYD,Y,51.0,1.0,4.0,1.0
19,57,QF0545-JQ0810,3_2,BNESYD,185.0,344.94,sabre,20180823,BNESYD,Y,51.0,1.0,4.0,1.0
20,60,QF0539-JQ0810,3_2,BNESYD,185.0,344.94,sabre,20180823,BNESYD,Y,51.0,1.0,4.0,1.0
21,62,VA0986-VA0901,3_2,BNESYD,185.0,350.0,sabre,20180823,BNESYD,Y,55.0,1.0,5.0,1.0
22,65,VA0986-VA0947,3_2,BNESYD,185.0,350.0,sabre,20180823,BNESYD,Y,55.0,1.0,5.0,1.0
23,68,VA0986-VA0905,3_2,BNESYD,185.0,350.0,sabre,20180823,BNESYD,Y,55.0,1.0,5.0,1.0
24,71,VA0986-VA0925,3_2,BNESYD,185.0,350.0,sabre,20180823,BNESYD,Y,55.0,1.0,5.0,1.0
25,74,VA0986-VA0913,3_2,BNESYD,185.0,350.0,sabre,20180823,BNESYD,Y,55.0,1.0,5.0,1.0
26,77,VA0986-VA0935,3_2,BNESYD,185.0,350.0,sabre,20180823,BNESYD,Y,55.0,1.0,5.0,1.0
27,80,VA0986-VA0939,3_2,BNESYD,185.0,350.0,sabre,20180823,BNESYD,Y,55.0,1.0,5.0,1.0
28,82,VA0986-VA0951,3_2,BNESYD,185.0,350.0,sabre,20180823,BNESYD,Y,55.0,1.0,5.0,1.0
29,85,VA0986-VA0999,3_2,BNESYD,185.0,350.0,sabre,20180823,BNESYD,Y,55.0,1.0,5.0,1.0
30,88,VA0986-VA0989,3_2,BNESYD,185.0,350.0,sabre,20180823,BNESYD,Y,55.0,1.0,5.0,1.0
31,91,VA0986-VA0957,3_2,BNESYD,185.0,350.0,sabre,20180823,BNESYD,Y,55.0,1.0,5.0,1.0
32,94,VA0986-VA0931,3_2,BNESYD,185.0,350.0,sabre,20180823,BNESYD,Y,55.0,1.0,5.0,1.0
33,98,VA0986-VA0965,3_2,BNESYD,185.0,350.0,sabre,20180823,BNESYD,Y,55.0,1.0,5.0,1.0
34,101,VA0986-VA0943,3_2,BNESYD,185.0,350.0,sabre,20180823,BNESYD,Y,55.0,1.0,5.0,1.0
35,104,QF0557-JQ0818,3_2,BNESYD,185.0,351.95,sabre,20180823,BNESYD,Y,57.0,1.0,6.0,1.0
36,107,QF0547-JQ0818,3_2,BNESYD,185.0,356.94,sabre,20180823,BNESYD,Y,59.0,1.0,7.0,1.0
37,109,QF0545-JQ0818,3_2,BNESYD,185.0,356.94,sabre,20180823,BNESYD,Y,59.0,1.0,7.0,1.0
38,112,QF0539-JQ0818,3_2,BNESYD,185.0,356.94,sabre,20180823,BNESYD,Y,59.0,1.0,7.0,1.0
39,115,QF0559-QF0504,3_2,BNESYD,185.0,360.03,sabre,20180823,BNESYD,N,62.0,1.0,8.0,1.0
40,118,QF0559-QF0512,3_2,BNESYD,185.0,360.03,sabre,20180823,BNESYD,N,62.0,1.0,8.0,1.0
41,121,QF0559-QF0510,3_2,BNESYD,185.0,360.03,sabre,20180823,BNESYD,N,62.0,1.0,8.0,1.0
42,124,QF0559-QF0508,3_2,BNESYD,185.0,360.03,sabre,20180823,BNESYD,N,62.0,1.0,8.0,1.0
43,127,QF0559-QF0506,3_2,BNESYD,185.0,360.03,sabre,20180823,BNESYD,N,62.0,1.0,8.0,1.0
44,130,QF0559-QF0528,3_2,BNESYD,185.0,360.03,sabre,20180823,BNESYD,N,62.0,1.0,8.0,1.0
45,133,QF0559-QF0502,3_2,BNESYD,185.0,360.03,sabre,20180823,BNESYD,N,62.0,1.0,8.0,1.0
46,136,QF0559-QF0500,3_2,BNESYD,185.0,360.03,sabre,20180823,BNESYD,N,62.0,1.0,8.0,1.0
