,ap_los,both,competitor_cheapest,competitor_cxr_div,competitor_fare_mean,competitor_fare_std,competitor_min_carrier,competitor_only,competitor_time_max,competitor_time_mean,competitor_time_min,competitor_time_std,cxr_div,file_name,lfe,lfe_fare_difference,ond,overlap,quickest,sabre_cheapest,sabre_cxr_div,sabre_fare_mean,sabre_fare_std,sabre_min_carrier,sabre_only,sabre_time_max,sabre_time_mean_sabre,sabre_time_min,sabre_time_std,search_date
0,15_315_3,19,274.99,7,433.22499999999985,31.990730048644185,"{'QF-VA': 442.99, 'JQ-VA': 344.99, 'TT': 274.99, 'JQ': 376.99, 'JQ-TT': 285.99, 'QF-TT': 383.99, 'TT-VA': 333.99}",200,1405.0,812.95,305.0,348.36127135042494,sabre,20180823_ADLBNE_15_3-2,competitor,-0.6967889741445144,ADLBNE,5.248618784530387,tie,466.6,4,577.8778000000001,225.16775010109225,"{'JQ-QF': 472.86, 'VA': 466.6, 'JQ': 470.2, 'QF': 516.02}",200,915.0,529.05,305.0,144.7475622728051,20180823
1,15_715_7,38,285.99,8,448.5680346820808,39.76999252473396,"{'VA': 477.99, 'QF-VA': 448.99, 'JQ-VA': 344.99, 'TT': 285.99, 'JQ': 382.99, 'JQ-TT': 285.99, 'QF-TT': 388.99, 'TT-VA': 334.99}",173,1320.0,690.9537572254335,305.0,300.0055002408367,sabre,20180823_ADLBNE_15_7-2,competitor,-0.7084513444526033,ADLBNE,14.074074074074074,tie,488.6,4,592.4732947976879,223.06068967182875,"{'JQ-QF': 488.93, 'VA': 488.6, 'JQ': 510.1, 'QF': 521.03}",173,870.0,540.7514450867052,305.0,127.3934190219765,20180823
2,22_1422_14,25,310.99,8,514.1727956989246,46.40595167713661,"{'VA': 518.99, 'QF-VA': 479.99, 'JQ-VA': 375.99, 'TT': 310.99, 'JQ': 515.99, 'JQ-TT': 321.99, 'QF-TT': 424.99, 'TT-VA': 364.99}",186,1165.0,678.7903225806451,305.0,285.15621913478714,sabre,20180823_ADLBNE_22_14-2,competitor,-0.7554583748673589,ADLBNE,7.763975155279503,tie,545.93,4,623.7156989247312,41.918174601732076,"{'JQ-QF': 545.93, 'VA': 553.6, 'JQ': 568.11, 'QF': 557.02}",186,895.0,535.5376344086021,305.0,147.57309204226314,20180823
3,22_722_7,20,274.99,7,472.75719576719564,39.97710492467257,"{'QF-VA': 479.99, 'JQ-VA': 375.99, 'TT': 274.99, 'JQ-TT': 285.99, 'JQ-QF': 414.99, 'QF-TT': 388.99, 'TT-VA': 358.99}",189,1170.0,647.936507936508,305.0,260.74713884413035,sabre,20180823_ADLBNE_22_7-2,competitor,-0.8480308374849994,ADLBNE,5.9171597633136095,tie,508.19,4,585.7211111111111,43.52602891268399,"{'JQ-QF': 511.27, 'VA': 515.0, 'JQ': 508.19, 'QF': 521.03}",189,905.0,512.010582010582,305.0,128.65581617774455,20180823
4,3_23_2,17,383.99,8,569.9302985074625,34.359662657110704,"{'QF-VA': 532.99, 'JQ-VA': 586.99, 'TT': 405.99, 'JQ': 574.99, 'JQ-TT': 482.99, 'JQ-QF': 460.99, 'QF-TT': 383.99, 'TT-VA': 501.99}",201,1790.0,886.542288557214,310.0,366.2712238939012,sabre,20180823_ADLBNE_3_2-2,competitor,-0.50748717414516,ADLBNE,4.619565217391305,tie,578.86,3,723.7140298507463,131.83767825693496,"{'JQ-QF': 578.86, 'VA': 700.0, 'QF': 590.94}",201,925.0,608.1343283582089,310.0,155.46342613512556,20180823
5,8_28_2,47,223.99,7,465.74147928994074,51.42676034270771,"{'QF-VA': 473.99, 'JQ-VA': 385.99, 'TT': 223.99, 'JQ': 472.99, 'JQ-TT': 244.99, 'QF-TT': 332.99, 'TT-VA': 333.99}",169,1450.0,605.2366863905326,305.0,247.8447638733383,sabre,20180823_ADLBNE_8_2-2,competitor,-1.1859011563016206,ADLBNE,19.262295081967213,tie,489.62,4,608.7579289940828,88.18965583491435,"{'JQ-QF': 489.62, 'VA': 569.59, 'JQ': 586.25, 'QF': 551.02}",169,1005.0,532.9289940828403,305.0,150.91930885506875,20180823
6,8_78_7,34,223.99,9,462.1190322580644,55.96962995139642,"{'VA': 518.99, 'QF-VA': 448.99, 'JQ-VA': 375.99, 'TT': 223.99, 'JQ': 395.99, 'JQ-TT': 234.99, 'JQ-QF': 465.99, 'QF-TT': 337.99, 'TT-VA': 307.99}",186,1380.0,737.8225806451613,305.0,347.1921591557768,sabre,20180823_ADLBNE_8_7-2,competitor,-1.3635876601633998,ADLBNE,11.18421052631579,tie,529.42,4,605.9767204301075,94.06616083689016,"{'JQ-QF': 529.42, 'VA': 541.6, 'JQ': 563.56, 'QF': 531.94}",186,870.0,507.4193548387097,305.0,121.85306371560303,20180823
7,15_315_3,81,486.99,2,501.14447154471526,4.593353216967208,"{'VA': 486.99, 'QF-VA': 490.99}",123,1475.0,910.0813008130082,205.0,215.08193610258925,tie,20180823_ADLCBR_15_3-2,sabre,0.001396332573564153,ADLCBR,96.42857142857143,tie,486.31,2,519.1291056910569,47.39095678775888,"{'VA': 486.31, 'QF': 528.7}",123,915.0,538.780487804878,205.0,155.5797479648597,20180823
8,15_715_7,65,486.99,2,503.1899999999998,2.780197187768828,"{'VA': 486.99, 'QF-VA': 490.99}",140,2125.0,1231.1785714285713,205.0,313.98552566779216,tie,20180823_ADLCBR_15_7-2,competitor,-0.034887780036551075,ADLCBR,43.333333333333336,tie,503.98,2,526.1669285714287,61.874434765489525,"{'VA': 503.98, 'QF': 528.7}",140,1360.0,625.0357142857143,205.0,246.89838327731866,20180823
9,22_14,18,507.99,3,548.1244086021504,14.056188362069555,"{'VA': 557.99, 'QF-VA': 507.99, 'QF': 533.99}",186,1675.0,981.2096774193549,205.0,308.292181722545,tie,20180823_ADLCBR_22_14-2,competitor,-0.040768519065336004,ADLCBR,5.357142857142857,tie,528.7,3,583.35311827957,35.581569735164386,"{'JQ-QF': 592.78, 'VA': 557.67, 'QF': 528.7}",186,1050.0,630.2688172043011,205.0,210.5691971921843,20180823
