MVD|MVD|2020-06-16|2020-06-23|50|200
MVD|MVD|2020-06-16|2020-06-30|50|200
MVD|MVD|2020-06-23|2020-06-30|50|200
MVD|BUE|2020-06-16|2020-06-30|50|200
MVD|BUE|2020-06-23|2020-06-30|50|200
MVD|BUE|2020-06-23|2020-07-07|50|200
MVD|SCL|2020-06-16|2020-06-23|50|200
MVD|SCL|2020-06-16|2020-06-30|50|200
MVD|SCL|2020-06-23|2020-06-30|50|200
MVD|SCL|2020-06-23|2020-07-07|50|200
BUE|MVD|2020-06-16|2020-06-23|50|200
BUE|MVD|2020-06-16|2020-06-30|50|200
BUE|MVD|2020-06-23|2020-06-30|50|200
BUE|MVD|2020-06-23|2020-07-07|50|200
BUE|BUE|2020-06-16|2020-06-23|50|200
BUE|BUE|2020-06-16|2020-06-30|50|200
BUE|BUE|2020-06-23|2020-06-30|50|200
BUE|BUE|2020-06-23|2020-07-07|50|200
BUE|SCL|2020-06-16|2020-06-23|50|200
BUE|SCL|2020-06-16|2020-06-30|50|200
BUE|SCL|2020-06-23|2020-06-30|50|200
BUE|SCL|2020-06-23|2020-07-07|50|200
SCL|MVD|2020-06-16|2020-06-23|50|200
SCL|MVD|2020-06-16|2020-06-30|50|200
SCL|MVD|2020-06-23|2020-06-30|50|200
SCL|MVD|2020-06-23|2020-07-07|50|200
SCL|BUE|2020-06-16|2020-06-23|50|200
SCL|BUE|2020-06-16|2020-06-30|50|200
SCL|BUE|2020-06-23|2020-06-30|50|200
SCL|BUE|2020-06-23|2020-07-07|50|200
SCL|SCL|2020-06-16|2020-06-23|50|200
SCL|SCL|2020-06-16|2020-06-30|50|200
SCL|SCL|2020-06-23|2020-06-30|50|200
SCL|SCL|2020-06-23|2020-07-07|50|200
MVD|MVD|2020-06-16|2020-06-23|50|200|
MVD|BUE|2020-06-09|2020-06-16|50|200|
MVD|BUE|2020-06-09|2020-06-16|50|200|
MVD|MAD|2020-06-09|2020-06-16|50|200|
MVD|MAD|2020-06-09|2020-06-16|50|200|
MVD|LON|2020-06-09|2020-06-16|50|200|
MVD|BUE|2020-06-09|2020-06-16|50|200|
MVD|BUE|2020-06-09|2020-06-16|50|200|
MVD|BUE|2020-06-09|2020-06-16|50|200|
MVD|BUE|2020-06-09|2020-06-16|50|200|
MVD|BUE|2020-06-09|2020-06-16|50|200|
MVD|BUE|2020-06-09|2020-06-16|50|200|
MVD|BUE|2020-06-09|2020-06-16|50|200|
MVD|BUE|2020-06-09|2020-06-16|50|200|
MVD|BUE|2020-06-09|2020-06-16|50|200|
MVD|BUE|2020-06-09|2020-06-16|50|200|
MVD|BUE|2020-06-09|2020-06-16|50|200|
MVD|BUE|2020-06-09|2020-06-16|50|200|
MVD|SCL|2020-06-09|2020-06-16|50|200|
MVD|BUE|2020-06-09|2020-06-16|50|200|
MVD|BUE|2020-06-11|2020-06-18|50|200|
MVD|BUE|2020-06-11|2020-06-18|50|200|
MVD|BUE|2020-04-17|2020-12-20|50|200|
MVD|BUE|2020-06-19|2020-06-26|50|200|
MVD|SCL|2020-06-11|2020-06-18|50|200|
MVD|BUE|2020-06-11|2020-06-18|50|200|
MVD|BUE|2020-06-11|2020-06-18|50|200|
MVD|BUE|2020-06-11|2020-06-18|50|200|
MVD|BUE|2020-06-11|2020-06-18|50|200|
MVD|BUE|2020-06-11|2020-06-18|50|200|
MVD|BUE|2020-06-11|2020-06-18|50|200|
MVD|BUE|2020-06-11|2020-06-18|50|200|
MVD|BUE|2020-06-11|2020-06-18|50|200|
MVD|BUE|2020-06-11|2020-06-18|50|200|
