,type,name,continent,iso_country,iso_region,iata_code,coordinates
6187,medium_airport,Aleknagik / New Airport,,US,US-AK,WKK,"59.2826004028, -158.617996216"
10435,medium_airport,Honiara International Airport,OC,SB,SB-CT,HIR,"-9.4280004501343, 160.05499267578"
10440,medium_airport,Munda Airport,OC,SB,SB-WE,MUA,"-8.327969551086426, 157.26300048828125"
10462,medium_airport,Hongyuan Airport,AS,CN,CN-51,AHJ,"32.53154, 102.35224"
10686,medium_airport,Nauru International Airport,OC,NR,NR-14,INU,"-0.547458, 166.919006"
11618,medium_airport,YKCY,OC,AU,AU-QLD,,"-26.971197, 152.566855"
11648,medium_airport,Alxa Left Banner Bayanhot Airport,AS,CN,CN-15,AXF,"38.74831, 105.58858"
11652,medium_airport,Buka Airport,OC,PG,PG-NSB,BUA,"-5.4223198890686035, 154.67300415039062"
11659,medium_airport,Chimbu Airport,OC,PG,PG-CPK,CMU,"-6.024290084838867, 144.9709930419922"
11668,medium_airport,Daru Airport,OC,PG,PG-WPD,DAU,"-9.08675956726, 143.207992554"
11691,medium_airport,Goroka Airport,OC,PG,PG-EHG,GKA,"-6.081689834590001, 145.391998291"
11698,medium_airport,Gurney Airport,OC,PG,PG-MBA,GUR,"-10.3114995956, 150.333999634"
11702,medium_airport,Girua Airport,OC,PG,PG-NPP,PNP,"-8.80453968048, 148.309005737"
11711,medium_airport,Kimbe Airport,OC,PG,PG-WBK,HKN,"-5.462170124053955, 150.40499877929688"
11739,medium_airport,Kerema Airport,OC,PG,PG-GPK,KMA,"-7.96361017227, 145.770996094"
11744,medium_airport,Kavieng Airport,OC,PG,PG-NIK,KVG,"-2.57940006256, 150.807998657"
11761,medium_airport,Madang Airport,OC,PG,PG-MPM,MAG,"-5.20707988739, 145.789001465"
11762,medium_airport,Mount Hagen Kagamuga Airport,OC,PG,PG-WHM,HGU,"-5.826789855957031, 144.29600524902344"
11765,medium_airport,Mendi Airport,OC,PG,PG-SHM,MDU,"-6.14774, 143.656998"
11766,medium_airport,Momote Airport,OC,PG,PG-MRL,MAS,"-2.06189, 147.423996"
11778,medium_airport,Nadzab Airport,OC,PG,PG-MPL,LAE,"-6.569803, 146.725977"
11800,large_airport,Port Moresby Jacksons International Airport,OC,PG,PG-NCD,POM,"-9.443380355834961, 147.22000122070312"
11839,medium_airport,Tokua Airport,OC,PG,PG-EBR,RAB,"-4.34045982361, 152.380004883"
11869,medium_airport,Vanimo Airport,OC,PG,PG-SAN,VAI,"-2.6926, 141.3028"
11873,medium_airport,Wapenamanda Airport,OC,PG,PG-EPW,WBM,"-5.6433000564575195, 143.89500427246094"
11875,medium_airport,Wewak International Airport,OC,PG,PG-ESW,WWK,"-3.58383011818, 143.669006348"
11911,medium_airport,Zabrat Airport,AS,AZ,AZ-BA,ZXT,"40.4955422161, 49.9768066406"
11923,medium_airport,Sital Chay Airport,AS,AZ,AZ-XIZ,,"40.8073129238, 49.431481361399996"
11931,medium_airport,Kyzylagadzh Air Base,AS,AZ,AZ-MAS,,"39.006162267899995, 48.806312084199995"
12049,medium_airport,Benguera Island Airport,AF,MZ,MZ-I,BCW,"-21.853300094604492, 35.43830108642578"
12140,medium_airport,Bezmer Air Base,EU,BG,BG-28,JAM,"42.4548988342, 26.3521995544"
12141,medium_airport,Aasiaat Airport,,GL,GL-U-A,JEG,"68.7218017578, -52.7846984863"
12149,medium_airport,Narsarsuaq Airport,,GL,GL-U-A,UAK,"61.1604995728, -45.4259986877"
12159,medium_airport,Godthaab / Nuuk Airport,,GL,GL-U-A,GOH,"64.19090271, -51.6781005859"
12197,medium_airport,Kangerlussuaq Airport,,GL,GL-U-A,SFJ,"67.0122218992, -50.7116031647"
12206,medium_airport,Thule Air Base,,GL,GL-U-A,THU,"76.5311965942, -68.7032012939"
12220,medium_airport,Akureyri Airport,EU,IS,IS-6,AEY,"65.66000366210938, -18.07270050048828"
12231,medium_airport,Egilsstaðir Airport,EU,IS,IS-7,EGS,"65.2833023071289, -14.401399612426758"
12247,medium_airport,Hornafjörður Airport,EU,IS,IS-8,HFN,"64.295601, -15.2272"
12251,medium_airport,Húsavík Airport,EU,IS,IS-6,HZK,"65.952301, -17.426001"
12257,medium_airport,Ísafjörður Airport,EU,IS,IS-4,IFJ,"66.05809783935547, -23.135299682617188"
12261,large_airport,Keflavik International Airport,EU,IS,IS-2,KEF,"63.985000610352, -22.605600357056"
12277,medium_airport,Reykjavik Airport,EU,IS,IS-1,RKV,"64.1299972534, -21.9405994415"
12284,medium_airport,Siglufjörður Airport,EU,IS,IS-6,SIJ,"66.133301, -18.9167"
12301,medium_airport,Vestmannaeyjar Airport,EU,IS,IS-8,VEY,"63.42430114746094, -20.278900146484375"
12308,large_airport,Priština International Airport,EU,XK,XK-01,PRN,"42.5728, 21.035801"
12853,medium_airport,Balbasovo Air Base,EU,BY,BY-VI,,"54.439998626708984, 30.29669952392578"
12855,medium_airport,Bobrovichi Air Base,EU,BY,BY-HO,,"52.27830123901367, 29.360000610351562"
12858,medium_airport,Osovtsy Air Base,EU,BY,BY-BR,,"52.5569992065, 24.884000778199997"
12902,medium_airport,Big Creek Airport,,BZ,BZ-SC,BGK,"16.51936912536621, -88.40791320800781"
12903,medium_airport,Caye Caulker Airport,,BZ,BZ-BZ,CUK,"17.734699249267578, -88.03250122070312"
12904,medium_airport,Caye Chapel Airport,,BZ,BZ-BZ,CYC,"17.7007999420166, -88.04109954833984"
12905,medium_airport,Corozal Municipal Airport,,BZ,BZ-CZL,CZH,"18.382200241088867, -88.41190338134766"
12906,medium_airport,Dangriga Airport,,BZ,BZ-SC,DGA,"16.98250961303711, -88.23098754882812"
12910,medium_airport,Placencia Airport,,BZ,BZ-SC,PLJ,"16.536956787109375, -88.36151123046875"
12911,medium_airport,Punta Gorda Airport,,BZ,BZ-TOL,PND,"16.102399826, -88.80829620360001"
12912,medium_airport,Sartaneja Airport,,BZ,BZ-CZL,SJX,"18.35610008239746, -88.13079833984375"
12913,medium_airport,San Pedro Airport,,BZ,BZ-CY,SPR,"17.9139, -87.9711"
12917,medium_airport,Belize City Municipal Airport,,BZ,BZ-BZ,TZA,"17.516389846801758, -88.19444274902344"
12918,medium_airport,Bazaruto Island Airport,AF,MZ,MZ-I,BZB,"-21.5411, 35.4729"
13616,large_airport,Cyll,,CA,CA-U-A,,"53.310365, -110.072021"
13618,medium_airport,Cycd,,CA,CA-BC,,"49.05497, -123.87085"
15078,medium_airport,Nanjing Air Base,AS,CN,CN-32,,"31.998300552368164, 118.81199645996094"
15079,medium_airport,Laohutun Air Base,AS,CN,CN-21,,"39.66999816894531, 121.76599884033203"
15080,medium_airport,Pulandian Air Base,AS,CN,CN-21,,"39.45090103149414, 122.01799774169922"
15082,medium_airport,Beijing Shahezhen Air Base,AS,CN,CN-11,,"40.149166107177734, 116.3213882446289"
15083,medium_airport,Beijing Tongxian Air Base,AS,CN,CN-11,,"39.81111145019531, 116.70833587646484"
15086,medium_airport,Yinchuan Hedong International Airport,AS,CN,CN-64,INC,"38.322758, 106.393214"
15087,medium_airport,Yuanmou Air Base,AS,CN,CN-53,YUA,"25.737499237061, 101.88200378418"
15088,medium_airport,Fengning Air Base,AS,CN,CN-13,,"41.260799407958984, 116.61799621582031"
15089,medium_airport,Hohhot Air Base,AS,CN,CN-15,,"40.73720169067383, 111.22899627685547"
15090,medium_airport,Huairen Air Base,AS,CN,CN-14,,"39.717498779299994, 113.142997742"
15091,medium_airport,Liangxiangzhen Air Base,AS,CN,CN-11,,"39.7578010559082, 116.1259994506836"
15093,medium_airport,Tangguantun Air Base,AS,CN,CN-12,,"38.78110122680664, 117.06800079345703"
15095,medium_airport,Wenshui Air Base,AS,CN,CN-14,,"37.407798767089844, 111.96600341796875"
15096,medium_airport,Yangcun Air Base,AS,CN,CN-12,,"39.37329864501953, 117.09500122070312"
15097,medium_airport,Yongning Air Base,AS,CN,CN-11,,"40.50310134887695, 116.10800170898438"
15099,medium_airport,Zhangjiakou Ningyuan Airport,AS,CN,CN-13,ZQZ,"40.7386016846, 114.930000305"
15100,medium_airport,Zunhua Air Base,AS,CN,CN-13,,"40.102500915527344, 117.88700103759766"
15101,medium_airport,Chengdu Air Base,AS,CN,CN-51,,"30.705299377441406, 103.94999694824219"
15102,medium_airport,Baoshan Yunduan Airport,AS,CN,CN-53,BSD,"25.053301, 99.168297"
15105,medium_airport,Chongqing Air Base,AS,CN,CN-50,,"29.49530029296875, 106.35900115966797"
15115,medium_airport,Lintsang Airfield,AS,CN,CN-53,LNJ,"23.738100051900002, 100.025001526"
15116,medium_airport,Luliang Air Base,AS,CN,CN-53,,"24.988300323486328, 103.64199829101562"
15118,medium_airport,Mengzi Air Base,AS,CN,CN-53,,"23.395299911499023, 103.33399963378906"
15120,medium_airport,Qionglai Air Base,AS,CN,CN-51,,"30.489999771118164, 103.46499633789062"
15121,medium_airport,Shigatse Air Base,AS,CN,CN-54,RKZ,"29.3519, 89.311401"
15123,medium_airport,Wenshan Air Base,AS,CN,CN-53,,"23.715599060058594, 103.8270034790039"
15124,medium_airport,Xiangyun Midu Air Base,AS,CN,CN-53,,"25.44529914855957, 100.73500061035156"
15125,medium_airport,Bao'anying Airport,AS,CN,CN-51,PZI,"26.54, 101.79852"
15128,medium_airport,Baihe Ning Ming Air Base,AS,CN,CN-45,,"22.1205997467041, 107.125"
15130,medium_airport,Changsha Datuopu Airport/AFB,AS,CN,CN-43,,"28.0688991547, 112.958000183"
15131,medium_airport,Dangyang Air Base,AS,CN,CN-42,,"30.798599243164062, 111.80999755859375"
15132,medium_airport,Foluo Northeast Air Base,AS,CN,CN-46,,"18.69219970703125, 109.16100311279297"
15136,medium_airport,Foshan Shadi Airport,AS,CN,CN-44,FUO,"23.083299636799996, 113.069999695"
15138,medium_airport,Guiping Mengshu Air Base,AS,CN,CN-45,,"23.330799102783203, 110.00900268554688"
15143,medium_airport,Huizhou Airport,AS,CN,CN-44,HUZ,"23.0499992371, 114.599998474"
15144,medium_airport,Jialaishi Air Base,AS,CN,CN-46,,"19.697200775146484, 109.72599792480469"
15146,medium_airport,Leiyang Air Base,AS,CN,CN-43,,"26.587200164794922, 112.89199829101562"
15147,medium_airport,Lingshui Air Base,AS,CN,CN-46,,"18.494400024414062, 109.98799896240234"
15149,medium_airport,Shangqiu Air Base,AS,CN,CN-41,,"34.449507, 115.459261"
15151,medium_airport,Zhengzhou Air Base,AS,CN,CN-41,,"34.86125, 113.729631"
15154,medium_airport,Shaoguan Guitou Airport,AS,CN,CN-44,HSC,"24.9785995483, 113.42099762"
15155,medium_airport,Suixi Air Base,AS,CN,CN-44,,"21.39579963684082, 110.19999694824219"
15156,medium_airport,Jinggangshan Airport,AS,CN,CN-36,JGS,"26.856899261499997, 114.736999512"
15157,medium_airport,Baise Youjiang Airport,AS,CN,CN-45,AEB,"23.7206001282, 106.959999084"
15158,large_airport,Guodu air base,AS,CN,CN-U-A,,"36.001741, 117.63201"
15160,medium_airport,Xiaogan Air Base,AS,CN,CN-42,,"30.95439910888672, 113.91100311279297"
15161,medium_airport,Baitabu Air Base,AS,CN,CN-32,,"34.5713996887207, 118.875"
15162,medium_airport,Cangxian Air Base,AS,CN,CN-13,,"38.40250015258789, 116.92900085449219"
15163,medium_airport,Dongying Shengli Airport,AS,CN,CN-37,DOY,"37.5085983276, 118.788002014"
15164,medium_airport,Jiaozhou/Jiaocheng Air Base,AS,CN,CN-37,,"36.33060073852539, 120.02400207519531"
15165,medium_airport,Jinan Air Base,AS,CN,CN-37,,"36.67919921875, 116.9209976196289"
15166,medium_airport,Jiugucheng Air Base,AS,CN,CN-13,,"37.4900016784668, 116.11799621582031"
15167,medium_airport,Kaifeng Air Base,AS,CN,CN-41,,"34.75389862060547, 114.33899688720703"
15168,medium_airport,Laiyang Air Base,AS,CN,CN-37,,"36.963600158691406, 120.59100341796875"
15169,medium_airport,Luyang Air Base,AS,CN,CN-41,,"33.68470001220703, 112.89099884033203"
15170,medium_airport,Qingdao-Cangkou Air Base,AS,CN,CN-37,,"36.15919876098633, 120.39199829101562"
15172,medium_airport,Wendeng Air Base,AS,CN,CN-37,,"37.26470184326172, 122.02300262451172"
15173,medium_airport,Xingcheng Air Base,AS,CN,CN-21,XEN,"40.580299377399996, 120.697998047"
15174,medium_airport,Xuzhou Daguozhang Air Base,AS,CN,CN-32,,"34.05889892578125, 117.55799865722656"
15175,medium_airport,Xuzhou Jiulishan Air Base,AS,CN,CN-32,,"34.23059844970703, 117.24600219726562"
15176,medium_airport,Yidu Air Base,AS,CN,CN-37,,"36.591400146484375, 118.5270004272461"
15177,medium_airport,Zhucheng Air Base,AS,CN,CN-37,,"36.02750015258789, 119.43900299072266"
15178,medium_airport,Altay Air Base,AS,CN,CN-65,AAT,"47.7498855591, 88.08580780030002"
15179,medium_airport,Baoji Air Base,AS,CN,CN-61,,"34.531700134277344, 107.47200012207031"
15180,medium_airport,Gonghe Air Base,AS,CN,CN-63,,"36.336700439453125, 100.4800033569336"
15181,medium_airport,Lanzhou Air Base,AS,CN,CN-62,,"35.91780090332031, 104.21800231933594"
15182,medium_airport,Ljtao Air Base,AS,CN,CN-62,,"35.30830001831055, 103.83599853515625"
15183,medium_airport,Qingshui Air Base,AS,CN,CN-62,,"39.5546989440918, 98.88420104980469"
15185,medium_airport,Tianshui Maijishan Airport,AS,CN,CN-62,THQ,"34.5593986511, 105.86000061"
15186,medium_airport,Urumqi South Air Base,AS,CN,CN-65,,"43.46580123901367, 87.5322036743164"
15187,medium_airport,Uxxaktal Air Base,AS,CN,CN-65,,"42.181400299072266, 87.18810272216797"
15188,medium_airport,Wugong Air Base,AS,CN,CN-61,,"34.274200439453125, 108.26599884033203"
15189,medium_airport,Wulumuqi Air Base,AS,CN,CN-65,,"43.9502983093, 87.0785980225"
