,Unnamed: 0,x
0,6187,"Aleknagik / New Airport,Aleknagik / New Airport(WKK)"
1,10435,"Honiara International Airport,Honiara International Airport(HIR)"
2,10440,"Munda Airport,Munda Airport(MUA)"
3,10462,"Hongyuan Airport,Hongyuan Airport(AHJ)"
4,10686,"Nauru International Airport,Nauru International Airport(INU)"
6,11648,"Alxa Left Banner Bayanhot Airport,Alxa Left Banner Bayanhot Airport(AXF)"
7,11652,"Buka Airport,Buka Airport(BUA)"
8,11659,"Chimbu Airport,Chimbu Airport(CMU)"
9,11668,"Daru Airport,Daru Airport(DAU)"
10,11691,"Goroka Airport,Goroka Airport(GKA)"
11,11698,"Gurney Airport,Gurney Airport(GUR)"
12,11702,"Girua Airport,Girua Airport(PNP)"
13,11711,"Kimbe Airport,Kimbe Airport(HKN)"
14,11739,"Kerema Airport,Kerema Airport(KMA)"
15,11744,"Kavieng Airport,Kavieng Airport(KVG)"
16,11761,"Madang Airport,Madang Airport(MAG)"
17,11762,"Mount Hagen Kagamuga Airport,Mount Hagen Kagamuga Airport(HGU)"
18,11765,"Mendi Airport,Mendi Airport(MDU)"
19,11766,"Momote Airport,Momote Airport(MAS)"
20,11778,"Nadzab Airport,Nadzab Airport(LAE)"
21,11800,"Port Moresby Jacksons International Airport,Port Moresby Jacksons International Airport(POM)"
22,11839,"Tokua Airport,Tokua Airport(RAB)"
23,11869,"Vanimo Airport,Vanimo Airport(VAI)"
24,11873,"Wapenamanda Airport,Wapenamanda Airport(WBM)"
25,11875,"Wewak International Airport,Wewak International Airport(WWK)"
26,11911,"Zabrat Airport,Zabrat Airport(ZXT)"
29,12049,"Benguera Island Airport,Benguera Island Airport(BCW)"
30,12140,"Bezmer Air Base,Bezmer Air Base(JAM)"
31,12141,"Aasiaat Airport,Aasiaat Airport(JEG)"
32,12149,"Narsarsuaq Airport,Narsarsuaq Airport(UAK)"
33,12159,"Godthaab / Nuuk Airport,Godthaab / Nuuk Airport(GOH)"
34,12197,"Kangerlussuaq Airport,Kangerlussuaq Airport(SFJ)"
35,12206,"Thule Air Base,Thule Air Base(THU)"
36,12220,"Akureyri Airport,Akureyri Airport(AEY)"
37,12231,"Egilsstaðir Airport,Egilsstaðir Airport(EGS)"
38,12247,"Hornafjörður Airport,Hornafjörður Airport(HFN)"
39,12251,"Húsavík Airport,Húsavík Airport(HZK)"
40,12257,"Ísafjörður Airport,Ísafjörður Airport(IFJ)"
41,12261,"Keflavik International Airport,Keflavik International Airport(KEF)"
42,12277,"Reykjavik Airport,Reykjavik Airport(RKV)"
43,12284,"Siglufjörður Airport,Siglufjörður Airport(SIJ)"
44,12301,"Vestmannaeyjar Airport,Vestmannaeyjar Airport(VEY)"
45,12308,"Priština International Airport,Priština International Airport(PRN)"
49,12902,"Big Creek Airport,Big Creek Airport(BGK)"
50,12903,"Caye Caulker Airport,Caye Caulker Airport(CUK)"
51,12904,"Caye Chapel Airport,Caye Chapel Airport(CYC)"
52,12905,"Corozal Municipal Airport,Corozal Municipal Airport(CZH)"
53,12906,"Dangriga Airport,Dangriga Airport(DGA)"
54,12910,"Placencia Airport,Placencia Airport(PLJ)"
55,12911,"Punta Gorda Airport,Punta Gorda Airport(PND)"
56,12912,"Sartaneja Airport,Sartaneja Airport(SJX)"
57,12913,"San Pedro Airport,San Pedro Airport(SPR)"
58,12917,"Belize City Municipal Airport,Belize City Municipal Airport(TZA)"
59,12918,"Bazaruto Island Airport,Bazaruto Island Airport(BZB)"
67,15086,"Yinchuan Hedong International Airport,Yinchuan Hedong International Airport(INC)"
68,15087,"Yuanmou Air Base,Yuanmou Air Base(YUA)"
77,15099,"Zhangjiakou Ningyuan Airport,Zhangjiakou Ningyuan Airport(ZQZ)"
80,15102,"Baoshan Yunduan Airport,Baoshan Yunduan Airport(BSD)"
82,15115,"Lintsang Airfield,Lintsang Airfield(LNJ)"
86,15121,"Shigatse Air Base,Shigatse Air Base(RKZ)"
89,15125,"Bao'anying Airport,Bao'anying Airport(PZI)"
94,15136,"Foshan Shadi Airport,Foshan Shadi Airport(FUO)"
96,15143,"Huizhou Airport,Huizhou Airport(HUZ)"
102,15154,"Shaoguan Guitou Airport,Shaoguan Guitou Airport(HSC)"
104,15156,"Jinggangshan Airport,Jinggangshan Airport(JGS)"
105,15157,"Baise Youjiang Airport,Baise Youjiang Airport(AEB)"
110,15163,"Dongying Shengli Airport,Dongying Shengli Airport(DOY)"
119,15173,"Xingcheng Air Base,Xingcheng Air Base(XEN)"
124,15178,"Altay Air Base,Altay Air Base(AAT)"
130,15185,"Tianshui Maijishan Airport,Tianshui Maijishan Airport(THQ)"
140,15195,"Zhangye Ganzhou Airport,Zhangye Ganzhou Airport(YZY)"
158,15216,"Dandong Airport,Dandong Airport(DDG)"
173,16207,"Lefkoniko Airport,Lefkoniko Airport(GEC)"
174,16216,"Cat Lake Airport,Cat Lake Airport(YAC)"
175,16218,"Fort Frances Municipal Airport,Fort Frances Municipal Airport(YAG)"
176,16219,"La Grande-4 Airport,La Grande-4 Airport(YAH)"
177,16220,"Alert Bay Airport,Alert Bay Airport(YAL)"
178,16221,"Sault Ste Marie Airport,Sault Ste Marie Airport(YAM)"
179,16222,"Kasabonika Airport,Kasabonika Airport(XKS)"
180,16223,"Kangirsuk Airport,Kangirsuk Airport(YKG)"
181,16224,"Attawapiskat Airport,Attawapiskat Airport(YAT)"
185,16229,"St. Anthony Airport,St. Anthony Airport(YAY)"
186,16230,"Tofino / Long Beach Airport,Tofino / Long Beach Airport(YAZ)"
187,16233,"Kugaaruk Airport,Kugaaruk Airport(YBB)"
188,16234,"Baie Comeau Airport,Baie Comeau Airport(YBC)"
189,16235,"Bella Coola Airport,Bella Coola Airport(QBC)"
190,16236,"Uranium City Airport,Uranium City Airport(YBE)"
191,16237,"Bonnyville Airport,Bonnyville Airport(YBY)"
192,16238,"CFB Bagotville,CFB Bagotville(YBG)"
193,16239,"Baker Lake Airport,Baker Lake Airport(YBK)"
194,16240,"Campbell River Airport,Campbell River Airport(YBL)"
195,16243,"Tadoule Lake Airport,Tadoule Lake Airport(XTL)"
196,16244,"Brandon Municipal Airport,Brandon Municipal Airport(YBR)"
197,16245,"Brochet Airport,Brochet Airport(YBT)"
