,Unnamed: 0,name,iso_country,municipality,iata_code
0,1438,Loring Seaplane Base,US,Loring,WLR
1,1574,Port Alice Seaplane Base,US,Port Alice,PTC
2,1758,Port Protection Seaplane Base,US,Port Protection,PPV
3,2383,Ellamar Seaplane Base,US,Ellamar,ELW
4,3642,Entrance Island Seaplane Base,US,Entrance Island,HBH
5,3646,False Island Seaplane Base,US,False Island,FAK
6,4728,Golden Horn Lodge Seaplane Base,US,Golden Horn Lodge,GDH
7,5730,Hyder Seaplane Base,US,Hyder,WHD
8,6053,Tokeen Seaplane Base,US,Tokeen,TKI
9,6187,Aleknagik / New Airport,US,Aleknagik,WKK
10,6381,Ketchikan Harbor Seaplane Base,US,Ketchikan,WFB
11,6730,Lake Brooks Seaplane Base,US,Katmai National Park,BKF
12,7432,New York Skyports Inc Seaplane Base,US,New York,QNY
13,8041,Yes Bay Lodge Seaplane Base,US,Yes Bay,WYB
14,8741,Port of Poulsbo Marina Moorage Seaplane Base,US,Poulsbo,PUL
15,8766,Meyers Chuck Seaplane Base,US,Meyers Chuck,WMK
16,9714,Whale Pass Seaplane Float Harbor Facility,US,Whale Pass,WWP
17,10077,Philadelphia Seaplane Base,US,Essington,PSQ
18,10325,Saginaw Seaplane Base,US,Saginaw Bay,SGW
19,10383,Jebel Ali Seaplane Base,AE,Jebel Ali,DJH
20,10422,Kondavattavana Tank Seaplane Base,LK,Ampara,AFK
21,10435,Honiara International Airport,SB,Honiara,HIR
23,10462,Hongyuan Airport,CN,Aba,AHJ
24,10524,Tikchik Lodge Seaplane Base,US,Tikchik,KTH
25,10530,Naukati Bay Seaplane Base,US,Tuxekan Island,NKI
26,10548,Amook Bay Seaplane Base,US,Amook Bay,AOS
27,10670,Alitak Seaplane Base,US,Lazy Bay,ALZ
28,10686,Nauru International Airport,NR,Yaren District,INU
29,11627,Hayman Island Resort Seaplane Base,AU,Hayman Island,HIS
30,11648,Alxa Left Banner Bayanhot Airport,CN,Bayanhot,AXF
31,11652,Buka Airport,PG,Buka Island,BUA
32,11659,Chimbu Airport,PG,Kundiawa,CMU
33,11668,Daru Airport,PG,Daru,DAU
34,11691,Goroka Airport,PG,Goronka,GKA
35,11698,Gurney Airport,PG,Gurney,GUR
36,11702,Girua Airport,PG,Popondetta,PNP
37,11711,Kimbe Airport,PG,Hoskins,HKN
38,11739,Kerema Airport,PG,Kerema,KMA
39,11744,Kavieng Airport,PG,Kavieng,KVG
40,11758,Yas Island Seaplane Base,AE,Abu Dhabi,AYM
41,11761,Madang Airport,PG,Madang,MAG
42,11762,Mount Hagen Kagamuga Airport,PG,Mount Hagen,HGU
43,11765,Mendi Airport,PG,Mendi,MDU
44,11766,Momote Airport,PG,Manus Island,MAS
45,11778,Nadzab Airport,PG,Lae,LAE
46,11800,Port Moresby Jacksons International Airport,PG,Port Moresby,POM
47,11839,Tokua Airport,PG,Tokua,RAB
48,11869,Vanimo Airport,PG,Vanimo,VAI
50,11875,Wewak International Airport,PG,Wewak,WWK
51,11890,Arugam Bay SPB,LK,Pottuvil,AYY
52,11911,Zabrat Airport,AZ,Baku,ZXT
