,type,name,iso_country,iata_code
6187,medium_airport,Aleknagik / New Airport,US,WKK
10435,medium_airport,Honiara International Airport,SB,HIR
10440,medium_airport,Munda Airport,SB,MUA
10462,medium_airport,Hongyuan Airport,CN,AHJ
10686,medium_airport,Nauru International Airport,NR,INU
11648,medium_airport,Alxa Left Banner Bayanhot Airport,CN,AXF
11652,medium_airport,Buka Airport,PG,BUA
11659,medium_airport,Chimbu Airport,PG,CMU
11668,medium_airport,Daru Airport,PG,DAU
11691,medium_airport,Goroka Airport,PG,GKA
11698,medium_airport,Gurney Airport,PG,GUR
11702,medium_airport,Girua Airport,PG,PNP
11711,medium_airport,Kimbe Airport,PG,HKN
11739,medium_airport,Kerema Airport,PG,KMA
11744,medium_airport,Kavieng Airport,PG,KVG
11761,medium_airport,Madang Airport,PG,MAG
11762,medium_airport,Mount Hagen Kagamuga Airport,PG,HGU
11765,medium_airport,Mendi Airport,PG,MDU
11766,medium_airport,Momote Airport,PG,MAS
11778,medium_airport,Nadzab Airport,PG,LAE
11800,large_airport,Port Moresby Jacksons International Airport,PG,POM
11839,medium_airport,Tokua Airport,PG,RAB
11869,medium_airport,Vanimo Airport,PG,VAI
11873,medium_airport,Wapenamanda Airport,PG,WBM
11875,medium_airport,Wewak International Airport,PG,WWK
11911,medium_airport,Zabrat Airport,AZ,ZXT
12049,medium_airport,Benguera Island Airport,MZ,BCW
12140,medium_airport,Bezmer Air Base,BG,JAM
12141,medium_airport,Aasiaat Airport,GL,JEG
12149,medium_airport,Narsarsuaq Airport,GL,UAK
12159,medium_airport,Godthaab / Nuuk Airport,GL,GOH
12197,medium_airport,Kangerlussuaq Airport,GL,SFJ
12206,medium_airport,Thule Air Base,GL,THU
12220,medium_airport,Akureyri Airport,IS,AEY
12231,medium_airport,Egilsstaðir Airport,IS,EGS
12247,medium_airport,Hornafjörður Airport,IS,HFN
12251,medium_airport,Húsavík Airport,IS,HZK
12257,medium_airport,Ísafjörður Airport,IS,IFJ
12261,large_airport,Keflavik International Airport,IS,KEF
12277,medium_airport,Reykjavik Airport,IS,RKV
12284,medium_airport,Siglufjörður Airport,IS,SIJ
12301,medium_airport,Vestmannaeyjar Airport,IS,VEY
12308,large_airport,Priština International Airport,XK,PRN
12902,medium_airport,Big Creek Airport,BZ,BGK
12903,medium_airport,Caye Caulker Airport,BZ,CUK
12904,medium_airport,Caye Chapel Airport,BZ,CYC
12905,medium_airport,Corozal Municipal Airport,BZ,CZH
12906,medium_airport,Dangriga Airport,BZ,DGA
12910,medium_airport,Placencia Airport,BZ,PLJ
12911,medium_airport,Punta Gorda Airport,BZ,PND
12912,medium_airport,Sartaneja Airport,BZ,SJX
12913,medium_airport,San Pedro Airport,BZ,SPR
12917,medium_airport,Belize City Municipal Airport,BZ,TZA
12918,medium_airport,Bazaruto Island Airport,MZ,BZB
15086,medium_airport,Yinchuan Hedong International Airport,CN,INC
15087,medium_airport,Yuanmou Air Base,CN,YUA
15099,medium_airport,Zhangjiakou Ningyuan Airport,CN,ZQZ
15102,medium_airport,Baoshan Yunduan Airport,CN,BSD
15115,medium_airport,Lintsang Airfield,CN,LNJ
15121,medium_airport,Shigatse Air Base,CN,RKZ
15125,medium_airport,Bao'anying Airport,CN,PZI
15136,medium_airport,Foshan Shadi Airport,CN,FUO
15143,medium_airport,Huizhou Airport,CN,HUZ
15154,medium_airport,Shaoguan Guitou Airport,CN,HSC
15156,medium_airport,Jinggangshan Airport,CN,JGS
15157,medium_airport,Baise Youjiang Airport,CN,AEB
15163,medium_airport,Dongying Shengli Airport,CN,DOY
15173,medium_airport,Xingcheng Air Base,CN,XEN
15178,medium_airport,Altay Air Base,CN,AAT
15185,medium_airport,Tianshui Maijishan Airport,CN,THQ
15195,medium_airport,Zhangye Ganzhou Airport,CN,YZY
15216,medium_airport,Dandong Airport,CN,DDG
16207,medium_airport,Lefkoniko Airport,CY,GEC
16216,medium_airport,Cat Lake Airport,CA,YAC
16218,medium_airport,Fort Frances Municipal Airport,CA,YAG
16219,medium_airport,La Grande-4 Airport,CA,YAH
